,Season,Team ID,TKey,FD Pass,FD Penalty,FD Rush,FD Total
15,2012,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602012,237,25,76,338
16,2012,386bdbf9-9eea-4869-bb9a-274b0bc66e80,386bdbf9-9eea-4869-bb9a-274b0bc66e802012,190,31,111,332
17,2012,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,04aa1c9d-66da-489d-b16a-1dee3f2eec4d2012,187,37,103,327
18,2012,22052ff7-c065-42ee-bc8f-c4691c50e624,22052ff7-c065-42ee-bc8f-c4691c50e6242012,171,26,144,341
19,2012,7b112545-38e6-483c-a55c-96cf6ee49cb8,7b112545-38e6-483c-a55c-96cf6ee49cb82012,163,30,99,292
20,2012,c5a59daa-53a7-4de0-851f-fb12be893e9e,c5a59daa-53a7-4de0-851f-fb12be893e9e2012,272,26,84,382
21,2012,a20471b4-a8d9-40c7-95ad-90cc30e46932,a20471b4-a8d9-40c7-95ad-90cc30e469322012,213,43,85,341
22,2012,33405046-04ee-4058-a950-d606f8c30852,33405046-04ee-4058-a950-d606f8c308522012,163,30,113,306
23,2012,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692012,188,24,89,301
24,2012,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292012,246,26,70,342
25,2012,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,f14bf5cc-9a82-4a38-bc15-d39f75ed53142012,171,34,123,328
26,2012,0d855753-ea21-4953-89f9-0e20aff9eb73,0d855753-ea21-4953-89f9-0e20aff9eb732012,267,21,64,352
27,2012,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92012,172,22,128,322
28,2012,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2012,168,20,58,246
29,2012,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82012,153,29,129,311
30,2013,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242013,149,39,113,301
31,2013,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062013,205,12,61,278
32,2013,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32013,154,21,105,280
33,2013,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2013,225,43,110,378
34,2013,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232013,205,24,101,330
35,2013,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2013,200,24,77,301
36,2013,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2013,189,38,68,295
37,2013,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982013,207,24,81,312
38,2013,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92013,191,39,88,318
39,2013,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2013,176,24,71,271
40,2013,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72013,198,19,90,307
41,2013,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152013,172,36,103,311
42,2013,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02013,293,35,107,435
43,2013,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22013,179,34,110,323
44,2013,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12013,168,17,90,275
45,2013,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602013,213,32,80,325
46,2013,386bdbf9-9eea-4869-bb9a-274b0bc66e80,386bdbf9-9eea-4869-bb9a-274b0bc66e802013,197,25,133,355
47,2013,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,04aa1c9d-66da-489d-b16a-1dee3f2eec4d2013,176,27,77,280
48,2013,22052ff7-c065-42ee-bc8f-c4691c50e624,22052ff7-c065-42ee-bc8f-c4691c50e6242013,198,19,112,329
49,2013,7b112545-38e6-483c-a55c-96cf6ee49cb8,7b112545-38e6-483c-a55c-96cf6ee49cb82013,215,27,102,344
50,2013,c5a59daa-53a7-4de0-851f-fb12be893e9e,c5a59daa-53a7-4de0-851f-fb12be893e9e2013,221,23,106,350
51,2013,a20471b4-a8d9-40c7-95ad-90cc30e46932,a20471b4-a8d9-40c7-95ad-90cc30e469322013,201,31,119,351
52,2013,33405046-04ee-4058-a950-d606f8c30852,33405046-04ee-4058-a950-d606f8c308522013,173,30,106,309
53,2013,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692013,157,37,75,269
54,2013,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292013,227,39,64,330
55,2013,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,f14bf5cc-9a82-4a38-bc15-d39f75ed53142013,169,28,122,319
56,2013,0d855753-ea21-4953-89f9-0e20aff9eb73,0d855753-ea21-4953-89f9-0e20aff9eb732013,244,28,87,359
57,2013,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92013,148,23,115,286
58,2013,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2013,205,40,84,329
59,2013,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82013,160,31,116,307
