,Season,Team ID,TKey,Rec Air Yards,Rec Avg Yards,Rec Broken Tackles,Rec Catchable Passes,Rec Dropped Passes,Rec Longest,Rec Longest TD,Rec Receptions,Rec Red Zone Targets,Rec Targets,Rec Touchdowns,Rec Yards,Rec Yards After Catch,Rec Yards After Contact
32,2013,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32013,1925,12.293,0,0,28,69,69,266,49,478,13,3270,1345,0
33,2013,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2013,2329,11.429,0,0,53,81,81,380,80,618,25,4343,2014,0
34,2013,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232013,2238,11.863,0,0,35,82,82,364,64,576,33,4318,2080,0
35,2013,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2013,2397,11.536,0,0,51,95,95,379,73,670,26,4372,1975,0
36,2013,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2013,2163,10.782,0,0,34,74,66,363,75,614,19,3914,1751,0
37,2013,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982013,2279,11.422,0,0,36,56,55,377,87,579,28,4306,2027,0
38,2013,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92013,1966,11.291,0,0,34,73,73,350,73,577,23,3952,1986,0
39,2013,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2013,1673,10.748,0,0,37,67,67,349,76,585,16,3751,2078,0
40,2013,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72013,2531,11.275,0,0,30,66,62,371,64,621,19,4183,1652,0
41,2013,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152013,2049,11.311,0,0,39,77,77,328,54,526,22,3710,1661,0
42,2013,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02013,2920,12.087,0,0,44,78,78,461,110,670,55,5572,2652,0
43,2013,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22013,1657,10.694,0,0,39,71,71,333,75,535,24,3561,1904,0
44,2013,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12013,1906,12.178,0,0,28,73,73,298,53,508,17,3629,1723,0
45,2013,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602013,2219,11.269,0,0,33,82,82,375,65,580,33,4226,2007,0
46,2013,386bdbf9-9eea-4869-bb9a-274b0bc66e80,386bdbf9-9eea-4869-bb9a-274b0bc66e802013,2371,14.213,0,0,24,70,63,310,56,494,32,4406,2035,0
47,2013,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,04aa1c9d-66da-489d-b16a-1dee3f2eec4d2013,2385,11.923,0,0,32,70,70,325,55,560,18,3875,1490,0
48,2013,22052ff7-c065-42ee-bc8f-c4691c50e624,22052ff7-c065-42ee-bc8f-c4691c50e6242013,2214,11.428,0,0,46,62,62,355,62,599,20,4057,1843,0
49,2013,7b112545-38e6-483c-a55c-96cf6ee49cb8,7b112545-38e6-483c-a55c-96cf6ee49cb82013,2687,11.93,0,0,33,80,80,373,83,570,32,4450,1763,0
50,2013,c5a59daa-53a7-4de0-851f-fb12be893e9e,c5a59daa-53a7-4de0-851f-fb12be893e9e2013,2380,12.534,0,0,58,87,79,371,76,623,29,4650,2270,0
51,2013,a20471b4-a8d9-40c7-95ad-90cc30e46932,a20471b4-a8d9-40c7-95ad-90cc30e469322013,2306,12.399,0,0,29,83,83,366,85,555,25,4538,2232,0
52,2013,33405046-04ee-4058-a950-d606f8c30852,33405046-04ee-4058-a950-d606f8c308522013,2061,11.215,0,0,26,79,79,325,60,535,18,3645,1584,0
53,2013,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692013,2045,10.931,0,0,31,85,85,291,52,494,22,3181,1136,0
54,2013,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292013,2403,10.204,0,0,40,81,81,445,91,649,26,4541,2138,0
55,2013,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,f14bf5cc-9a82-4a38-bc15-d39f75ed53142013,1766,11.572,0,0,23,79,79,292,52,467,24,3379,1613,0
56,2013,0d855753-ea21-4953-89f9-0e20aff9eb73,0d855753-ea21-4953-89f9-0e20aff9eb732013,2727,11.574,0,0,25,76,76,446,81,644,39,5162,2435,0
57,2013,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92013,1871,13.156,0,0,26,64,64,244,49,411,21,3210,1339,0
58,2013,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2013,2535,11.821,0,0,20,91,91,363,67,562,24,4291,1756,0
