,Key,Player Name,Player Team,Season,Position,Games Played,Games Started,Season Age,Rec Red Zone Targets PG,Rec Receptions PG,Rec Touchdowns PG,Rec Yards PG,Fumbles PG,Lost Fumbles PG,Rush Attempts PG,Rush Avg Yards PG,Rush Red Zone Attempts PG,Rush Scrambles PG,Rush Touchdowns PG,Rush Yards PG,Passing Completion Pct,Passing Hurries PG,Passing Interceptions PG,Passing Redzone Attempts PG,Passing Touchdowns PG,Passing Yards PG,Field Goal Attempts PG,Field Goal Longest,Field Goal Made PG,Field Goal Yards PG,Extra Pts Attempts PG,Extra Pts Made PG,PID
375,1f09583f-dcc1-43e8-a7fc-f063d2c96508 2016 e6aa13a4-0055-48a9-bc41-be28dc106929,Matt Schaub,Falcons,2016,QB,4,0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.25,0.0,0.0,0.0,-0.5,33.333,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1f09583f-dcc1-43e8-a7fc-f063d2c96508
377,1f09583f-dcc1-43e8-a7fc-f063d2c96508 2018 e6aa13a4-0055-48a9-bc41-be28dc106929,Matt Schaub,Falcons,2018,QB,3,0,37,0.0,0.3333333333333333,0.0,-2.333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,71.429,0.0,0.0,0.0,0.0,6.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,1f09583f-dcc1-43e8-a7fc-f063d2c96508
382,441e8866-33f1-4820-9fa3-3aa2c7535975 2012 d26a1ca5-722d-4274-8f97-c92e49c96315,Kendall Wright,Titans,2012,WR,15,5,23,0.06666666666666668,4.266666666666667,0.26666666666666666,41.73333333333333,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.26666666666666666,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441e8866-33f1-4820-9fa3-3aa2c7535975
383,441e8866-33f1-4820-9fa3-3aa2c7535975 2013 d26a1ca5-722d-4274-8f97-c92e49c96315,Kendall Wright,Titans,2013,WR,16,12,24,0.5,5.875,0.125,67.4375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441e8866-33f1-4820-9fa3-3aa2c7535975
384,441e8866-33f1-4820-9fa3-3aa2c7535975 2014 d26a1ca5-722d-4274-8f97-c92e49c96315,Kendall Wright,Titans,2014,WR,14,11,25,0.5714285714285714,4.071428571428571,0.42857142857142855,51.07142857142857,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.9642857142857144,0.0,0.0,0.0,3.8571428571428568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441e8866-33f1-4820-9fa3-3aa2c7535975
385,441e8866-33f1-4820-9fa3-3aa2c7535975 2015 d26a1ca5-722d-4274-8f97-c92e49c96315,Kendall Wright,Titans,2015,WR,10,9,26,0.5,3.6,0.3,40.8,0.0,0.0,0.5,0.34,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441e8866-33f1-4820-9fa3-3aa2c7535975
386,441e8866-33f1-4820-9fa3-3aa2c7535975 2016 d26a1ca5-722d-4274-8f97-c92e49c96315,Kendall Wright,Titans,2016,WR,11,4,27,0.09090909090909093,2.636363636363636,0.2727272727272727,37.81818181818182,0.0,0.0,0.09090909090909093,1.3636363636363635,0.0,0.0,0.0,1.3636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441e8866-33f1-4820-9fa3-3aa2c7535975
387,441e8866-33f1-4820-9fa3-3aa2c7535975 2017 7b112545-38e6-483c-a55c-96cf6ee49cb8,Kendall Wright,Bears,2017,WR,16,4,28,0.1875,3.6875,0.0625,38.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441e8866-33f1-4820-9fa3-3aa2c7535975
622,a261fd0a-b096-4db7-bd51-2f13bde485da 2013 7b112545-38e6-483c-a55c-96cf6ee49cb8,Josh McCown,Bears,2013,QB,8,5,34,0.0,0.0,0.0,0.0,0.375,0.125,1.625,0.6635,0.375,0.0,0.125,8.625,66.518,0.0,0.125,3.875,1.625,228.625,0.0,0.0,0.0,0.0,0.0,0.0,a261fd0a-b096-4db7-bd51-2f13bde485da
623,a261fd0a-b096-4db7-bd51-2f13bde485da 2014 4254d319-1bc7-4f81-b4ab-b5e6f3402b69,Josh McCown,Buccaneers,2014,QB,11,11,35,0.0,0.0,0.0,0.0,0.9090909090909092,0.3636363636363637,2.272727272727273,0.4618181818181818,0.5454545454545454,0.0,0.2727272727272727,11.545454545454545,56.269,0.0,1.2727272727272727,2.4545454545454546,1.0,200.54545454545453,0.0,0.0,0.0,0.0,0.0,0.0,a261fd0a-b096-4db7-bd51-2f13bde485da
624,a261fd0a-b096-4db7-bd51-2f13bde485da 2015 d5a2eb42-8065-4174-ab79-0a6fa820e35e,Josh McCown,Browns,2015,QB,8,8,36,0.0,0.0,0.0,0.0,1.125,0.75,2.5,0.6125,0.625,1.5,0.125,12.25,63.699,6.75,0.5,5.0,1.5,263.625,0.0,0.0,0.0,0.0,0.0,0.0,a261fd0a-b096-4db7-bd51-2f13bde485da
625,a261fd0a-b096-4db7-bd51-2f13bde485da 2016 d5a2eb42-8065-4174-ab79-0a6fa820e35e,Josh McCown,Browns,2016,QB,5,3,37,0.0,0.0,0.0,0.0,1.4,0.8,1.4,0.6,0.2,0.8,0.0,4.2,54.545,4.2,1.2,1.8,1.2,220.0,0.0,0.0,0.0,0.0,0.0,0.0,a261fd0a-b096-4db7-bd51-2f13bde485da
626,a261fd0a-b096-4db7-bd51-2f13bde485da 2017 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,Josh McCown,Jets,2017,QB,13,13,38,0.0,0.0,0.0,0.0,0.8461538461538461,0.3076923076923077,2.8461538461538463,0.2577692307692308,0.38461538461538464,1.0769230769230769,0.38461538461538464,9.538461538461537,67.25399999999999,4.9230769230769225,0.6923076923076923,1.1538461538461535,1.3846153846153846,225.0769230769231,0.0,0.0,0.0,0.0,0.0,0.0,a261fd0a-b096-4db7-bd51-2f13bde485da
627,a261fd0a-b096-4db7-bd51-2f13bde485da 2018 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,Josh McCown,Jets,2018,QB,4,3,39,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.6,0.0,1.25,0.0,8.0,54.545,2.0,1.0,1.5,0.25,134.75,0.0,0.0,0.0,0.0,0.0,0.0,a261fd0a-b096-4db7-bd51-2f13bde485da
