,Player ID,Season,Penalties,Penalty Yards
0,0742d2ea-1cf2-49a6-a150-77ba6e034d8c,2012,2,8
1,cf23126f-055b-4617-819b-bb4bcb84541a,2012,6,54
2,5812204c-6dae-4450-8011-99e0f72864ac,2012,1,3
3,969a4d68-1d76-4e64-bfff-e898a9ac6bd4,2012,1,5
4,a212c5d8-67f8-48b9-99be-2c121ee56366,2012,1,10
5,4a38cda2-e92f-47f8-b324-0c34e09d83f2,2012,1,10
6,769d7178-df4e-4127-8166-8116165921e8,2012,1,5
7,e6c40f79-1bbd-4f62-9391-7f535f110c0d,2012,2,10
8,eeb9e3f4-e378-44ca-94b6-a724011ad710,2012,2,20
9,170b4c5f-a345-4899-8d81-e8982b0f3d65,2012,2,6
10,2142a164-48ad-47d6-bb27-0bc58c6b2e62,2012,4,35
11,2bb70d56-a79a-4fa1-ae37-99858a3ffd55,2012,2,15
12,41c44740-d0f6-44ab-8347-3b5d515e5ecf,2012,2,19
13,9d04accc-a404-406f-b93c-0878410e55a6,2012,1,3
14,9d404288-65c5-414f-8ea5-ceb97eccaea0,2012,1,5
15,1726a359-9444-4761-a1f2-cb35ee6fa60e,2012,1,10
16,1a2fbc23-e6db-4d2f-a152-2c774341b7c4,2012,2,10
17,b44773b9-af17-4d6c-a453-132e20849712,2012,9,75
18,b6325c85-c313-4cfb-a299-9884d5e9e389,2012,4,40
19,c9701373-23f6-4058-9189-8d9c085f3c49,2012,4,35
20,d2a0e5af-3850-4f16-8e40-a0b1d15c2ce1,2012,5,35
21,01291a8d-d97c-4d88-b497-b5ad4b72f626,2012,3,31
22,3699dfd9-d437-43f7-b674-adbb31e7e64b,2012,1,5
23,d81844de-54c3-42ee-9850-072dc4131b6f,2012,5,35
24,64797df2-efd3-4b27-86ee-1d48f7edb09f,2012,2,10
25,a735765c-3ca8-4557-b06e-a30fd415982c,2012,6,42
26,c323cdb9-74bc-4d68-9358-609f80eedbb7,2012,1,1
27,16e33176-b73e-49b7-b0aa-c405b47a706e,2012,2,10
28,b37b5be9-4771-4368-988f-fb936f4fc0ad,2012,3,18
29,ea357add-1a41-4a8b-8f34-bbfade7f4d98,2012,3,20
30,fd4e8681-f2f4-47c7-b954-a72be9b1ca00,2012,1,5
31,9ecf8040-10f9-4a5c-92da-1b4d77bd6760,2012,2,10
32,b8426cea-f8b9-4061-8d56-e70d1230103e,2012,1,5
33,cc745cc3-d52a-454b-98c8-ac9155a9405c,2012,4,40
34,e3181493-6a2a-4e95-aa6f-3fc1ddeb7512,2012,4,33
35,9c21e9af-681c-41ef-9b00-fbc9e1668ed1,2012,3,24
36,de816e24-8442-49a4-99cd-dde7e7c05863,2012,1,5
37,f55053e4-4bfd-495d-981a-d62e3662f01b,2012,1,5
38,1f09583f-dcc1-43e8-a7fc-f063d2c96508,2012,3,15
39,3b7a1409-d154-4e5c-8c94-9d4a0e0993c7,2012,2,15
40,441e8866-33f1-4820-9fa3-3aa2c7535975,2012,3,20
41,0847010c-9a77-4f0b-9d63-c8b4b224d263,2012,1,5
42,6e444737-a1e1-4ddd-b963-cd6a9496fde0,2012,1,4
43,1b8db398-7a7e-44df-922e-d979507e6bdb,2012,1,5
44,8263e101-aa33-435f-bf0f-388e1c4eeb59,2012,4,23
45,aca06a5e-0e3a-4285-a025-199f8fa0376f,2012,1,5
46,5a20a439-bebc-4ef7-8b9f-30e1d677a26b,2012,1,10
47,adadafa1-dc37-486d-8538-7db1e1b5f71e,2012,2,16
48,af48c3f0-040b-40f9-95ab-6ebcb4c16cf8,2012,1,10
49,d2cad5f8-b35f-4cf4-9567-57c387ba6225,2012,2,15
50,c43cf6a1-8faa-4f95-aa2a-f1aac3ffe103,2012,3,25
51,166292fc-629e-4c7b-b7bf-f572ca9eeb43,2012,1,5
52,c8232b55-6617-4dd9-a7cf-cf14cd9a29ab,2012,3,15
53,6cb6226e-f08c-4192-95f1-69709ed686c6,2012,5,35
54,38f5843a-8318-4eb7-b517-c83d415e77a4,2012,4,25
55,518c96c5-65bb-4559-8074-9cdb2ca32f99,2012,7,55
56,8dfb370d-460c-4bfc-9d62-888687248783,2012,5,43
57,a824d9ff-12a4-4ed2-812d-404b0b4e52f9,2012,4,48
58,b030b668-0f41-484f-8e94-9fc576b8af63,2012,2,15
59,bbd0942c-6f77-4f83-a6d0-66ec6548019e,2012,1,10
