,Player Season,Player ID,Punt Returns Avg Yards,Punt Returns Fair Catches,Punt Returns Longest,Punt Returns Longest TD,Punt Returns Returns,Punt Returns Touchdowns,Punt Returns Yards
56,2015,06e41dc1-d5dc-4bdc-8fc3-e0d7c3a99ac4,9.889,16,69,69,36,1,356
57,2015,969a4d68-1d76-4e64-bfff-e898a9ac6bd4,9.0,0,9,0,1,0,9
58,2015,769d7178-df4e-4127-8166-8116165921e8,8.563,19,58,0,48,0,411
59,2015,2bb70d56-a79a-4fa1-ae37-99858a3ffd55,8.1,1,19,0,10,0,81
60,2015,973bfe3c-6d0d-4130-a79c-f860650b1da6,12.0,12,82,0,23,0,276
61,2015,3289f9ce-e1d1-40ed-9d3f-242a1712c586,6.333,11,18,0,27,0,171
62,2015,4f0053fc-5559-4551-bd81-dcd1cdf3a9ec,11.571,10,78,78,28,1,324
63,2015,c5f35a06-791b-43e1-befc-df0c54b3b486,10.609,3,82,82,23,1,244
64,2015,16e33176-b73e-49b7-b0aa-c405b47a706e,9.636,13,71,71,22,1,212
65,2015,b8426cea-f8b9-4061-8d56-e70d1230103e,4.0,2,10,0,4,0,16
66,2015,c682e8ea-fe48-45d2-af60-682a6125ab22,0.5,1,1,0,2,0,1
67,2015,73d6cb8a-3d72-4a6a-b3c9-fe61dfd1bd41,16.722,8,73,73,18,1,301
68,2015,fd4e8681-f2f4-47c7-b954-a72be9b1ca00,6.059,20,14,0,17,0,103
69,2015,35823109-daf1-4825-92b8-564271398ecb,7.828,2,37,0,29,0,227
70,2015,00f88be8-45f9-4237-b2b8-3271ec790d07,5.125,0,18,0,8,0,41
71,2015,7092bb09-a161-4ab9-8d19-fdcf1a91bb3d,5.75,17,22,0,12,0,69
72,2015,15b156b5-30cc-4070-b60a-1c09e62c5a9b,11.737,18,89,89,38,2,446
73,2015,5ec072b3-2837-4cf1-bb4f-ecd873949626,-3.0,0,-3,0,1,0,-3
74,2015,354dec38-b88b-4ba0-8974-859123f27c45,13.0,2,21,0,2,0,26
75,2015,5ed2cea8-e0c6-482c-9ee1-548c06612226,10.029,7,80,80,34,1,341
76,2015,3e618eb6-41f2-4f20-ad70-2460f9366f43,-2.5,1,2,0,2,0,-5
77,2015,8002dd5e-a75a-4d72-9a8c-0f4dbc80d459,5.267,16,16,0,30,0,158
78,2015,40958157-617f-40b4-91e5-9895f66da29c,8.429,6,28,0,7,0,59
79,2015,c88d9352-b835-45ed-a909-1cfec09a58bc,7.45,14,23,0,20,0,149
80,2015,3283f152-d373-43b3-b88f-f6f261c48e81,2.5,4,10,0,4,0,10
81,2015,3aef6950-1c19-4454-a3d0-0afe9634ea9f,10.259,22,37,0,27,0,277
82,2015,36007e6e-ca6b-42ee-b9f8-79a9a964f5bc,9.321,7,74,74,28,1,261
83,2015,b4ce3e07-7848-4da2-a33e-4f04ce540ba5,1.0,1,1,0,1,0,1
84,2015,b6b954eb-4591-4b7a-86b9-a481f15fdd58,6.0,0,6,0,2,0,12
85,2015,617435c6-4a3f-4689-ab15-44bd93b33615,7.211,17,36,0,19,0,137
86,2015,617269c1-88b3-45a6-b4a8-b2806a0cdaea,3.25,4,11,0,4,0,13
87,2015,dffa69ad-331e-4f09-ae38-40a5a4406be6,9.475,21,66,57,40,1,379
88,2016,3289f9ce-e1d1-40ed-9d3f-242a1712c586,11.577,14,43,0,26,0,301
89,2016,06e41dc1-d5dc-4bdc-8fc3-e0d7c3a99ac4,10.188,15,20,0,16,0,163
90,2016,5de11f0b-8da9-42ba-9a93-db7f0a58543b,8.25,3,74,74,20,1,165
91,2016,2bb70d56-a79a-4fa1-ae37-99858a3ffd55,9.0,7,23,0,15,0,135
92,2016,973bfe3c-6d0d-4130-a79c-f860650b1da6,6.722,7,30,0,18,0,121
93,2016,6bb4d6f8-c8fb-4ca7-a416-a7010526114d,6.964,19,24,0,28,0,195
94,2016,31c376b7-2e10-473a-aa54-d9f709a5b93e,6.588,1,18,0,17,0,112
95,2016,16e33176-b73e-49b7-b0aa-c405b47a706e,9.333,15,33,0,15,0,140
96,2016,bb818cdc-cc6e-4e57-90bd-5a9d5f23f48e,6.429,4,15,0,7,0,45
97,2016,958c9833-2e55-411a-8e0e-ecc229bbeb14,9.154,12,30,0,13,0,119
98,2016,b8426cea-f8b9-4061-8d56-e70d1230103e,5.0,1,5,0,1,0,5
99,2016,c682e8ea-fe48-45d2-af60-682a6125ab22,0.0,1,0,0,0,0,0
100,2016,4c3c6b63-aa1f-4452-9d1d-662073f06142,1.5,3,3,0,2,0,3
101,2016,73d6cb8a-3d72-4a6a-b3c9-fe61dfd1bd41,6.238,5,42,0,21,0,131
102,2016,095e0c1a-0bea-4bc6-868f-e4bbe2ce6c30,15.0,6,67,67,11,1,165
103,2016,442eb96a-deb6-4e73-b65a-a2bb25ffa968,9.667,23,57,0,27,0,261
104,2016,01d8aee3-e1c4-4988-970a-8c0c2d08bd83,15.179,8,95,95,39,2,592
105,2016,c78c299b-7c73-40fc-9155-2ede7f9849c7,9.0,5,47,0,34,0,306
106,2016,7092bb09-a161-4ab9-8d19-fdcf1a91bb3d,1.0,9,3,0,3,0,3
107,2016,15b156b5-30cc-4070-b60a-1c09e62c5a9b,13.176,13,66,0,17,0,224
108,2016,5ec072b3-2837-4cf1-bb4f-ecd873949626,11.0,0,22,0,2,0,22
109,2016,354dec38-b88b-4ba0-8974-859123f27c45,6.6,6,19,0,10,0,66
110,2016,5ed2cea8-e0c6-482c-9ee1-548c06612226,5.862,10,17,0,29,0,170
111,2016,8002dd5e-a75a-4d72-9a8c-0f4dbc80d459,12.148,15,85,85,27,1,328
112,2016,9691f874-be36-4529-a7eb-dde22ee4a848,12.3,16,85,85,20,2,246
113,2016,3283f152-d373-43b3-b88f-f6f261c48e81,13.5,4,23,0,4,0,54
114,2016,bc175901-4a1f-4132-abb4-e49cc7d35e12,12.778,11,55,0,9,0,115
115,2016,2fa2b2da-4aa9-44b5-b27e-56876dfe2ad4,1.333,3,9,0,6,0,8
116,2016,a1c40664-b265-4083-aad2-54b4c734f2c5,7.5,1,19,0,6,0,45
117,2016,da85107c-365c-4d58-90ab-479d97d798b4,9.0,1,9,0,1,0,9
118,2016,d6d41a89-a8af-48b9-bf75-561de99a1d87,9.875,22,25,0,24,0,237
119,2016,3aef6950-1c19-4454-a3d0-0afe9634ea9f,6.966,24,19,0,29,0,202
120,2016,36007e6e-ca6b-42ee-b9f8-79a9a964f5bc,9.5,0,22,0,6,0,57
121,2016,b103b096-6be9-4f87-9ae4-5d217f560685,11.429,8,59,0,14,0,160
122,2016,b6b954eb-4591-4b7a-86b9-a481f15fdd58,2.0,0,2,0,1,0,2
123,2016,769d7178-df4e-4127-8166-8116165921e8,7.524,36,26,0,21,0,158
124,2016,b040e601-ec40-4757-bf3d-71bf64ef99cf,0.0,0,33,0,0,0,33
125,2016,9b13d2bc-b22c-4f91-8eeb-309f43422d6e,7.0,11,32,0,17,0,119
126,2016,4f724338-aa8c-436d-90b2-45299572c53e,1.0,3,6,0,5,0,5
127,2016,502b3a6c-e965-478a-858e-964b4ac2296c,8.273,16,47,0,44,0,364
128,2016,dffa69ad-331e-4f09-ae38-40a5a4406be6,8.379,22,62,0,29,0,243
129,2017,3289f9ce-e1d1-40ed-9d3f-242a1712c586,9.65,6,40,0,20,0,193
130,2017,c5f35a06-791b-43e1-befc-df0c54b3b486,1.0,1,2,0,2,0,2
131,2017,06e41dc1-d5dc-4bdc-8fc3-e0d7c3a99ac4,6.75,3,16,0,12,0,81
132,2017,5de11f0b-8da9-42ba-9a93-db7f0a58543b,7.6,11,27,0,25,0,190
133,2017,13ade86a-20c7-48fe-9d18-b3bfc135f5e9,10.0,2,10,0,1,0,10
134,2017,2d52ede5-1c65-4f18-a8ac-9306192ef625,2.375,8,17,0,16,0,38
135,2017,769d7178-df4e-4127-8166-8116165921e8,5.313,9,15,0,16,0,85
136,2017,973bfe3c-6d0d-4130-a79c-f860650b1da6,8.556,18,40,0,27,0,231
137,2017,6bb4d6f8-c8fb-4ca7-a416-a7010526114d,7.128,19,29,0,39,0,278
138,2017,31c376b7-2e10-473a-aa54-d9f709a5b93e,5.667,1,12,0,3,0,17
139,2017,16e33176-b73e-49b7-b0aa-c405b47a706e,5.545,10,16,0,11,0,61
140,2017,bb818cdc-cc6e-4e57-90bd-5a9d5f23f48e,7.684,10,27,0,19,0,146
141,2017,958c9833-2e55-411a-8e0e-ecc229bbeb14,8.0,5,30,0,10,0,80
142,2017,a2368d42-9e6b-4268-883a-f23ef7ef5638,0.0,0,-8,0,0,0,-8
143,2017,046c51bc-319e-4fbb-9cf3-f6ab808b8edf,19.0,0,19,0,1,0,19
144,2017,4c3c6b63-aa1f-4452-9d1d-662073f06142,2.6,6,7,0,5,0,13
145,2017,a02175de-7356-40c9-a14f-f90de29830d7,0.0,4,0,0,1,0,0
146,2017,a0498a95-9dc3-4df5-8f51-a1564fb3de57,10.63,19,72,63,27,1,287
147,2017,a8c96abf-a911-47a0-ac16-dd51a8782b5e,0.0,1,0,0,0,0,0
148,2017,af944a80-eba7-479d-b3b1-73279abdc67a,0.0,0,6,0,0,0,6
149,2017,095e0c1a-0bea-4bc6-868f-e4bbe2ce6c30,15.0,6,49,0,9,0,135
150,2017,442eb96a-deb6-4e73-b65a-a2bb25ffa968,7.5,4,21,0,8,0,60
151,2017,617435c6-4a3f-4689-ab15-44bd93b33615,9.4,4,21,0,5,0,47
152,2017,132721b4-fd32-4795-b214-ab4baaaceb3a,6.0,0,6,0,1,0,6
153,2017,6130be96-edf3-4361-b666-860c4ec46e7d,8.714,7,44,0,21,0,183
154,2017,77c7d2cf-2cbf-4901-8a42-863720980754,11.0,1,16,0,5,0,55
155,2017,fd4e8681-f2f4-47c7-b954-a72be9b1ca00,-1.0,0,3,0,2,0,-2
156,2017,4f0053fc-5559-4551-bd81-dcd1cdf3a9ec,9.519,25,65,65,27,1,257
157,2017,01d8aee3-e1c4-4988-970a-8c0c2d08bd83,8.16,9,82,82,25,1,204
158,2017,35823109-daf1-4825-92b8-564271398ecb,2.5,0,8,0,8,0,20
159,2017,46b16198-116f-4913-85db-2bc21462bd66,-4.0,1,-4,0,1,0,-4
160,2017,0ee05dd7-e99e-43c8-ba2b-0922be1d8be1,0.0,0,0,0,1,0,0
161,2017,c78c299b-7c73-40fc-9155-2ede7f9849c7,5.962,13,19,0,26,0,155
162,2017,6259f62d-e16f-4369-a3be-ca02f79f3026,8.828,10,83,83,29,1,256
163,2017,7092bb09-a161-4ab9-8d19-fdcf1a91bb3d,9.5,5,15,0,2,0,19
164,2017,15b156b5-30cc-4070-b60a-1c09e62c5a9b,10.0,5,10,0,1,0,10
165,2017,5ec072b3-2837-4cf1-bb4f-ecd873949626,8.889,15,76,0,27,0,240
166,2017,a735765c-3ca8-4557-b06e-a30fd415982c,9.0,0,9,0,1,0,9
167,2017,5ed2cea8-e0c6-482c-9ee1-548c06612226,6.857,9,17,0,7,0,48
168,2017,77c7d2cf-2cbf-4901-8a42-863720980754,6.333,3,13,0,3,0,19
169,2017,8002dd5e-a75a-4d72-9a8c-0f4dbc80d459,6.333,21,29,0,27,0,171
170,2017,c1ca7e3d-f072-41c7-8017-53401dbdd4d4,0.0,1,0,0,0,0,0
171,2017,a8342d20-9901-49a6-bc45-79f192418188,9.379,15,61,61,29,1,272
172,2017,40958157-617f-40b4-91e5-9895f66da29c,7.833,4,17,0,6,0,47
173,2017,c88d9352-b835-45ed-a909-1cfec09a58bc,11.5,2,13,0,2,0,23
174,2017,bc175901-4a1f-4132-abb4-e49cc7d35e12,12.042,22,65,0,24,0,289
175,2017,cadecca8-a102-43a5-9a0c-f7cef0b9a579,0.0,0,0,0,1,0,0
176,2017,16cd3b59-18a2-40a0-9236-e222bed17044,0.0,2,0,0,0,0,0
177,2017,d6d41a89-a8af-48b9-bf75-561de99a1d87,8.167,7,19,0,6,0,49
178,2017,9691f874-be36-4529-a7eb-dde22ee4a848,7.444,21,27,0,27,0,201
179,2017,48d7bc31-808f-423c-afc8-45c2c5dfa45f,9.0,0,9,0,1,0,9
180,2017,c5f35a06-791b-43e1-befc-df0c54b3b486,8.647,8,60,60,17,1,147
181,2017,f96db0af-5e25-42d1-a07a-49b4e065b364,7.364,9,25,0,22,0,162
182,2017,3aef6950-1c19-4454-a3d0-0afe9634ea9f,5.421,13,17,0,19,0,103
183,2017,8482bc94-0eb0-4e92-8f99-ced135f3cd5d,0.0,0,0,0,1,0,0
