,Player ID,Season,Passing Avg Yards,Passing Blitzes,Passing Completion Pct,Passing Completions,Passing Defended Passes,Passing Dropped Passes,Passing Gross Yards,Passing Hurries,Passing Interceptions,Passing Knockdowns,Passing Longest,Passing Longest TD,Passing Net Yds,Passing Pocket Time,Passing Rating,Passing Redzone Attempts,Passing Sack Yds,Passing Sacks,Passing Spikes,Passing Throw Away,Passing Touchdowns,Passing Yards
30,72fbe462-91c5-4c84-9640-e8ad7cad6447,2012,14.5,0,100.0,4,0,0,58,0,0,0,23,0,58,0.0,118.8,0,0,0,0,0,0,58
31,0045a36c-f464-49e0-a25a-9210edc94bc1,2012,10.0,1,100.0,1,0,0,10,0,0,0,10,0,10,0.0,108.3,0,0,0,0,0,0,10
32,bb5957e6-ce7d-47ab-8036-22191ffc1c44,2012,7.727,198,62.985,422,0,49,5177,0,19,0,80,80,4987,0.0,96.3,13,190,26,0,0,43,5177
33,2fda010a-8c62-4c07-b601-4ba03f57e6af,2012,7.968,87,70.183,153,0,12,1737,0,5,0,55,47,1600,0.0,104.1,0,137,24,0,0,13,1737
34,af4ba620-2f00-4b00-9111-7897f2b1cde8,2012,6.226,9,56.604,30,0,1,330,0,2,0,53,37,300,0.0,65.8,3,30,4,0,0,1,330
35,409d4cac-ee90-4470-9710-ebe671678339,2012,7.934,150,64.122,252,0,24,3118,0,10,0,67,46,2915,0.0,100.0,2,203,33,0,0,26,3118
36,c88d9352-b835-45ed-a909-1cfec09a58bc,2012,23.0,1,100.0,1,0,0,23,0,0,0,23,23,23,0.0,158.3,0,0,0,0,0,1,23
37,5812204c-6dae-4450-8011-99e0f72864ac,2013,6.655,210,60.374,355,0,32,3913,0,17,0,67,53,0,0.0,81.7,64,399,58,0,26,24,3913
38,4a38cda2-e92f-47f8-b324-0c34e09d83f2,2013,30.0,1,100.0,1,0,0,30,0,0,0,30,0,30,0.0,118.8,0,0,0,0,0,0,30
39,769d7178-df4e-4127-8166-8116165921e8,2013,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,39.6,0,0,0,0,0,0,0
40,cfc93f5e-105e-4a5e-88d3-f4279893cfa8,2013,6.876,206,55.756,247,0,26,3046,0,21,0,69,69,2731,0.0,66.5,44,315,43,0,26,12,3046
41,41c44740-d0f6-44ab-8347-3b5d515e5ecf,2013,6.916,203,60.51,380,0,53,4343,0,11,0,81,81,4087,0.0,87.3,83,256,40,0,13,25,4343
42,1726a359-9444-4761-a1f2-cb35ee6fa60e,2013,25.0,1,100.0,1,0,0,25,0,0,0,25,0,25,0.0,118.8,0,0,0,0,0,0,25
43,d2a0e5af-3850-4f16-8e40-a0b1d15c2ce1,2013,7.326,213,61.945,363,0,35,4293,0,20,0,82,82,4111,0.0,88.8,65,182,29,0,21,33,4293
44,01291a8d-d97c-4d88-b497-b5ad4b72f626,2013,6.483,87,52.809,141,0,24,1731,0,9,0,95,95,1551,0.0,70.3,28,180,27,0,17,9,1731
45,af4ba620-2f00-4b00-9111-7897f2b1cde8,2013,6.406,36,59.375,57,0,6,615,0,3,0,47,47,567,0.0,82.6,13,48,6,0,7,5,615
