,Player Season,Player ID,Int Ret Avg Yds,Int Ret Longest,Int Ret Longest TD,Int Ret Returns,Int Ret Touchdowns,Int Ret Yds
0,2016,eeb9e3f4-e378-44ca-94b6-a724011ad710,4.0,4,0,1,0,4
1,2017,5f424505-f29f-433c-b3f2-1a143a04a010,32.0,32,0,1,0,32
