,Player Season,Player ID,Extra Pts Attempts,Extra Pts Blocked,Extra Pts Made
70,2015,abd73d50-ce60-47f1-b37f-2f9a05b0d7b9,28,1,28
71,2015,67f5e782-f91c-4536-9818-cf4a0e7e821d,38,1,36
72,2015,e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8,36,0,36
73,2015,218d1644-603e-4da3-9ce1-48ce3927494f,26,0,26
74,2015,63f8a401-f308-4463-9d0b-4335b98da682,58,1,56
75,2015,5514afb6-bd43-49a8-9bf7-b8baaaecdabe,34,0,33
76,2015,e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d,20,1,20
77,2015,0d1171d4-c955-4966-9257-640b569866d1,58,0,53
78,2015,40cda44b-2ee3-4ad1-834e-995e30db84d4,42,2,40
79,2016,a527b7db-0b52-4379-9e4c-2e08c1fe1bed,49,0,46
80,2016,c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e,6,0,6
81,2016,e017e12b-07a7-4a35-b837-2faa9ffe3ce8,29,0,23
82,2016,4b99ead5-0f79-4899-84a7-075c08890698,21,0,20
83,2016,20a0bad2-d530-4ff4-a2df-5c0a21a1f5db,27,0,27
84,2016,441eb531-1ec8-4f65-9174-78bc6adada63,36,0,36
85,2016,c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e,1,0,1
86,2016,9ecf8040-10f9-4a5c-92da-1b4d77bd6760,44,0,44
87,2016,7af4c94b-529b-4403-ab66-2bfed3fcf0c7,32,0,29
88,2016,ecc4f0c1-64e0-46cc-9b58-91c2b215e62a,41,1,39
89,2016,6444feb1-f5a4-4b45-9a45-79308a4445fd,33,1,32
90,2016,d96ff17c-841a-4768-8e08-3a4cfcb7f717,39,1,36
91,2016,480277d1-47c9-44df-969e-038a84cd0fea,39,1,37
92,2016,beb64618-614c-49f7-a3aa-c0c75b7839ea,46,0,46
93,2016,596c4000-ede5-45b0-8336-33efeb686d2b,31,0,30
94,2016,abd73d50-ce60-47f1-b37f-2f9a05b0d7b9,23,0,20
95,2016,c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e,3,0,2
96,2016,058c99fc-470c-4579-a165-03e043335cc1,39,0,36
97,2016,67f5e782-f91c-4536-9818-cf4a0e7e821d,33,1,31
