,Player ID,Season,Rec Air Yards,Rec Avg Yards,Rec Broken Tackles,Rec Catchable Passes,Rec Dropped Passes,Rec Longest,Rec Longest TD,Rec Receptions,Rec Red Zone Targets,Rec Targets,Rec Touchdowns,Rec Yards,Rec Yards After Catch,Rec Yards After Contact
0,0742d2ea-1cf2-49a6-a150-77ba6e034d8c,2012,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,8fc65820-f565-44e2-8635-3e1cdf165bf6,2012,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2,cf23126f-055b-4617-819b-bb4bcb84541a,2012,8,3.25,0,0,0,5,2,4,1,4,2,13,5,0
3,04ca4fb9-194e-47fe-8fc8-adb5790a8e78,2012,131,11.778,0,0,6,31,31,18,0,33,2,212,81,0
4,5812204c-6dae-4450-8011-99e0f72864ac,2012,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,969a4d68-1d76-4e64-bfff-e898a9ac6bd4,2012,121,13.727,0,0,0,30,0,11,0,20,0,151,30,0
6,a212c5d8-67f8-48b9-99be-2c121ee56366,2012,5,7.5,0,0,1,12,0,6,1,9,0,45,40,0
7,4a38cda2-e92f-47f8-b324-0c34e09d83f2,2012,20,8.235,0,0,3,16,0,17,1,36,0,140,120,0
8,769d7178-df4e-4127-8166-8116165921e8,2012,535,14.768,0,0,4,66,12,56,1,96,2,827,292,0
9,e6c40f79-1bbd-4f62-9391-7f535f110c0d,2012,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
10,eeb9e3f4-e378-44ca-94b6-a724011ad710,2012,9,23.0,0,0,0,23,0,1,0,1,0,23,14,0
11,170b4c5f-a345-4899-8d81-e8982b0f3d65,2012,4,8.5,0,0,2,20,0,6,0,14,0,51,47,0
12,2142a164-48ad-47d6-bb27-0bc58c6b2e62,2012,490,14.364,0,0,7,41,28,55,0,80,11,790,300,0
13,2bb70d56-a79a-4fa1-ae37-99858a3ffd55,2012,94,11.19,0,0,2,56,56,21,0,32,3,235,141,0
14,3058b3c8-0fa3-4bd4-9df9-6a56a7b4af88,2012,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
15,41c44740-d0f6-44ab-8347-3b5d515e5ecf,2012,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
16,9d04accc-a404-406f-b93c-0878410e55a6,2012,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
17,9d404288-65c5-414f-8ea5-ceb97eccaea0,2012,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
18,a527b7db-0b52-4379-9e4c-2e08c1fe1bed,2012,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
19,dba5e3ec-2c77-4f65-ad6e-cee246f816ef,2012,1,5.5,0,0,0,11,0,2,0,2,0,11,10,0
20,1726a359-9444-4761-a1f2-cb35ee6fa60e,2012,83,9.625,0,0,0,34,14,16,0,25,4,154,71,0
21,1a2fbc23-e6db-4d2f-a152-2c774341b7c4,2012,167,11.167,0,0,2,23,11,18,2,32,1,201,34,0
22,3289f9ce-e1d1-40ed-9d3f-242a1712c586,2012,147,16.231,0,0,0,44,44,13,0,25,1,211,64,0
23,b44773b9-af17-4d6c-a453-132e20849712,2012,324,11.516,0,0,8,55,55,64,1,94,5,737,413,0
24,b6325c85-c313-4cfb-a299-9884d5e9e389,2012,53,12.625,0,0,0,25,0,8,0,10,0,101,48,0
25,c9701373-23f6-4058-9189-8d9c085f3c49,2012,969,13.918,0,0,10,73,73,97,1,164,11,1350,381,0
26,d2a0e5af-3850-4f16-8e40-a0b1d15c2ce1,2012,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
27,e017e12b-07a7-4a35-b837-2faa9ffe3ce8,2012,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
28,01291a8d-d97c-4d88-b497-b5ad4b72f626,2012,-16,0.0,0,0,0,-9,0,0,0,0,0,-9,7,0
29,3699dfd9-d437-43f7-b674-adbb31e7e64b,2012,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
30,4f0053fc-5559-4551-bd81-dcd1cdf3a9ec,2012,233,16.556,0,0,2,69,69,18,0,37,2,298,65,0
31,73e133bf-d3f7-4fda-bd25-2fde66cb8ee1,2012,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
32,b228c353-bb1f-4ba8-aa6d-d18ecf297259,2012,495,16.1,0,0,4,71,71,50,3,95,5,805,310,0
33,d81844de-54c3-42ee-9850-072dc4131b6f,2012,286,10.224,0,0,3,27,17,49,2,81,3,501,215,0
34,e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d,2012,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,20a0bad2-d530-4ff4-a2df-5c0a21a1f5db,2012,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,46bb9a85-523c-4530-95c3-2c2a9737e65f,2012,142,10.714,0,0,1,40,0,21,0,33,0,225,83,0
37,64797df2-efd3-4b27-86ee-1d48f7edb09f,2012,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,7f3ef024-eb34-46af-8b9e-544cdf09378f,2012,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,a735765c-3ca8-4557-b06e-a30fd415982c,2012,644,17.449,0,0,6,54,47,49,0,110,8,855,211,0
40,c323cdb9-74bc-4d68-9358-609f80eedbb7,2012,28,10.2,0,0,0,25,0,5,0,6,0,51,23,0
41,16e33176-b73e-49b7-b0aa-c405b47a706e,2012,439,11.924,0,0,4,60,60,66,2,106,5,787,348,0
