,Player ID,Season,Kick Return Yards,Kick Return Avg Yards,Kick Return Fair Catches,Kick Return Longest,Kick Return Returns,Kick Return Touchdowns
58,cccc9f16-9508-434f-b7a4-9a29cb0cacf9,2013,7,7.0,0,0,1,0
59,da85107c-365c-4d58-90ab-479d97d798b4,2013,1393,32.395,0,109,43,2
60,5c2a0c83-e18a-43dd-bd65-704771157e42,2013,40,40.0,0,0,1,0
61,349f647e-bfc3-4d84-af89-b33f8a08e26e,2013,21,21.0,0,0,1,0
62,91a95850-9514-49d5-b2b0-f8e21156daa0,2013,575,23.0,0,0,25,0
63,3aef6950-1c19-4454-a3d0-0afe9634ea9f,2013,595,23.8,0,0,25,0
64,5ec072b3-2837-4cf1-bb4f-ecd873949626,2013,17,8.5,0,0,2,0
65,15b156b5-30cc-4070-b60a-1c09e62c5a9b,2013,255,21.25,0,0,12,0
66,b4ce3e07-7848-4da2-a33e-4f04ce540ba5,2013,239,26.556,0,0,9,0
67,16c67c97-ffd9-4f92-917d-ad6124ce1f6e,2013,15,15.0,0,0,1,0
68,63fd9abe-4bdf-4611-9497-0c67e030ce01,2013,177,22.125,0,0,8,0
69,7e5b8212-df93-4069-b3f0-be4b5cb47389,2013,283,21.769,0,0,13,0
70,c88d9352-b835-45ed-a909-1cfec09a58bc,2013,57,19.0,0,0,3,0
71,e0a63251-5428-43a1-88c1-c000215ac5ce,2013,0,0.0,0,0,1,0
72,e1b29179-074b-4c91-8797-763b76ac618a,2013,57,28.5,0,0,2,0
73,bf52ff53-35a6-4696-ac6d-3fa952dc2c87,2014,84,21.0,0,0,4,0
74,06e41dc1-d5dc-4bdc-8fc3-e0d7c3a99ac4,2014,954,28.059,0,0,34,0
75,90908a56-901b-466d-8689-943075da96fe,2014,102,20.4,1,0,5,0
76,4a38cda2-e92f-47f8-b324-0c34e09d83f2,2014,34,17.0,0,0,2,0
77,769d7178-df4e-4127-8166-8116165921e8,2014,12,12.0,0,0,1,0
78,5707d2b0-ea9e-4a5e-8289-9d52197301d9,2014,0,0.0,0,0,1,0
79,973bfe3c-6d0d-4130-a79c-f860650b1da6,2014,482,24.1,0,0,20,0
80,9d404288-65c5-414f-8ea5-ceb97eccaea0,2014,44,22.0,0,0,2,0
81,3289f9ce-e1d1-40ed-9d3f-242a1712c586,2014,397,22.056,0,0,18,0
82,4b3677f5-712e-43f2-b7bb-51ac6f291b86,2014,96,24.0,0,0,4,0
83,4f0053fc-5559-4551-bd81-dcd1cdf3a9ec,2014,246,20.5,0,0,12,0
84,67da5b5c-0db9-4fbc-b98d-7eb8e97b69f6,2014,28,14.0,0,0,2,0
85,16e33176-b73e-49b7-b0aa-c405b47a706e,2014,0,0.0,0,0,1,0
86,f5d20030-d934-45e3-8282-e34c6c83ad84,2014,103,20.6,0,0,5,0
87,f9036897-99d5-4d9a-8965-0c7e0f9e43bd,2014,494,24.7,0,0,20,0
88,b8426cea-f8b9-4061-8d56-e70d1230103e,2014,0,0.0,0,0,1,0
89,fbb1cc32-4cbd-4089-b8ec-1e7bce8da408,2014,22,11.0,0,0,2,0
90,fd4e8681-f2f4-47c7-b954-a72be9b1ca00,2014,54,18.0,0,0,3,0
91,2958ea86-e2dc-4719-93e5-cc9d093ca963,2014,21,21.0,0,0,1,0
92,35823109-daf1-4825-92b8-564271398ecb,2014,428,30.571,0,0,14,0
93,e033ce15-9fc5-430b-90e2-90dfe52b21c1,2014,13,13.0,0,0,1,0
94,540f8b30-900e-4d17-8756-c262ba5fa039,2014,429,22.579,0,0,19,0
95,5ed2cea8-e0c6-482c-9ee1-548c06612226,2014,742,24.733,0,0,30,0
96,15b156b5-30cc-4070-b60a-1c09e62c5a9b,2014,15,15.0,0,0,1,0
97,38f5843a-8318-4eb7-b517-c83d415e77a4,2014,36,18.0,0,0,2,0
98,518c96c5-65bb-4559-8074-9cdb2ca32f99,2014,10,10.0,0,0,1,0
99,9691f874-be36-4529-a7eb-dde22ee4a848,2014,710,23.667,0,0,30,0
100,3d94860c-82db-43fd-aa99-3b72390111a4,2014,88,22.0,0,0,4,0
101,3283f152-d373-43b3-b88f-f6f261c48e81,2014,0,0.0,0,0,1,0
102,9f2aebe4-b654-4f0e-a437-ec46f20b6bfe,2014,0,0.0,0,0,1,0
103,e00b3426-238b-4bdb-85c3-bbf08b7469e3,2014,0,0.0,1,0,0,0
104,2fa2b2da-4aa9-44b5-b27e-56876dfe2ad4,2014,33,16.5,0,0,2,0
105,cccc9f16-9508-434f-b7a4-9a29cb0cacf9,2014,23,11.5,0,0,2,0
106,da85107c-365c-4d58-90ab-479d97d798b4,2014,871,25.618,0,0,34,0
107,67d56171-7522-430c-b7d9-8f7e2b6624d3,2014,0,0.0,0,0,1,0
108,91a95850-9514-49d5-b2b0-f8e21156daa0,2014,10,10.0,0,0,1,0
109,250199f2-1387-4b55-b96f-17fedea6db7f,2014,53,26.5,0,0,2,0
110,b4ce3e07-7848-4da2-a33e-4f04ce540ba5,2014,364,24.267,0,0,15,0
111,b6b954eb-4591-4b7a-86b9-a481f15fdd58,2014,12,12.0,0,0,1,0
112,3a29784c-832f-4e41-a4ac-71d4f9ad410c,2014,268,24.364,0,0,11,0
113,617435c6-4a3f-4689-ab15-44bd93b33615,2014,614,25.583,0,0,24,0
114,3aef6950-1c19-4454-a3d0-0afe9634ea9f,2014,417,18.955,0,0,22,0
115,16c67c97-ffd9-4f92-917d-ad6124ce1f6e,2014,37,12.333,0,0,3,0
116,cf1a34f1-1aa7-45a1-b2b3-ffbecc8834f7,2014,376,23.5,0,0,16,0
117,e1b29179-074b-4c91-8797-763b76ac618a,2014,81,16.2,0,0,5,0
118,bf52ff53-35a6-4696-ac6d-3fa952dc2c87,2015,33,16.5,0,0,2,0
119,06e41dc1-d5dc-4bdc-8fc3-e0d7c3a99ac4,2015,321,24.692,0,0,13,0
120,90908a56-901b-466d-8689-943075da96fe,2015,457,21.762,0,0,21,0
121,b040e601-ec40-4757-bf3d-71bf64ef99cf,2015,57,28.5,0,0,2,0
122,bb78a66a-a8ec-4294-8858-c7e5a1d15106,2015,20,20.0,0,0,1,0
123,4a38cda2-e92f-47f8-b324-0c34e09d83f2,2015,20,20.0,0,0,1,0
124,2142a164-48ad-47d6-bb27-0bc58c6b2e62,2015,5,5.0,0,0,1,0
125,973bfe3c-6d0d-4130-a79c-f860650b1da6,2015,172,21.5,0,0,8,0
126,1726a359-9444-4761-a1f2-cb35ee6fa60e,2015,2,2.0,0,0,1,0
127,24cf6148-f0af-4103-a215-e06956764953,2015,6,6.0,0,0,1,0
128,3289f9ce-e1d1-40ed-9d3f-242a1712c586,2015,413,22.944,0,0,18,0
129,31c376b7-2e10-473a-aa54-d9f709a5b93e,2015,52,26.0,0,0,2,0
130,865d8df9-06ec-40c3-8c71-637f9fd0bcbf,2015,158,22.571,0,0,7,0
131,b040e601-ec40-4757-bf3d-71bf64ef99cf,2015,309,25.75,0,0,12,0
132,52f4a43a-64a9-4d69-a9e2-28bd60f68e49,2015,6,6.0,0,0,1,0
133,67da5b5c-0db9-4fbc-b98d-7eb8e97b69f6,2015,7,7.0,0,0,1,0
134,9480dd9f-151f-4e6d-b5a3-35f07bda4cac,2015,10,10.0,0,0,1,0
135,b040e601-ec40-4757-bf3d-71bf64ef99cf,2015,164,32.8,0,0,5,0
136,c5f35a06-791b-43e1-befc-df0c54b3b486,2015,343,24.5,0,0,14,0
137,f9036897-99d5-4d9a-8965-0c7e0f9e43bd,2015,105,21.0,0,0,5,0
138,bd413539-9351-454e-9d61-4e8635d7e9f5,2015,22,11.0,0,0,2,0
139,c682e8ea-fe48-45d2-af60-682a6125ab22,2015,12,12.0,0,0,1,0
140,f404283a-7c04-4a1c-899c-3243424a8d70,2015,5,5.0,0,0,1,0
141,af944a80-eba7-479d-b3b1-73279abdc67a,2015,220,27.5,0,0,8,0
142,4402b8d5-d6bf-43d0-9198-651506abba76,2015,15,15.0,0,0,1,0
143,fbb1cc32-4cbd-4089-b8ec-1e7bce8da408,2015,27,0.0,0,0,0,0
144,fd4e8681-f2f4-47c7-b954-a72be9b1ca00,2015,13,13.0,0,0,1,0
145,35823109-daf1-4825-92b8-564271398ecb,2015,138,23.0,0,0,6,0
146,bbb63a36-8613-4675-8e5e-34200d245ff0,2015,14,14.0,0,0,1,0
147,bd01d907-cd57-48cb-9136-5692a4764a20,2015,14,14.0,0,0,1,0
148,e033ce15-9fc5-430b-90e2-90dfe52b21c1,2015,20,10.0,0,0,2,0
149,27e60657-f73d-4125-906d-aa72cc3477dc,2015,47,23.5,0,0,2,0
150,adadafa1-dc37-486d-8538-7db1e1b5f71e,2015,829,26.742,0,0,31,0
151,cf23126f-055b-4617-819b-bb4bcb84541a,2015,8,8.0,0,0,1,0
152,37339e36-741c-4c1c-a9ab-bd89ed866fa0,2015,26,26.0,0,0,1,0
153,3c2db5b7-77bf-4c52-bb77-b0fe3cf89e5e,2015,9,9.0,0,0,1,0
154,15b156b5-30cc-4070-b60a-1c09e62c5a9b,2015,20,20.0,0,0,1,0
155,5ec072b3-2837-4cf1-bb4f-ecd873949626,2015,10,10.0,0,0,1,0
156,de3421f7-2147-4835-89a5-724e87bad463,2015,9,9.0,0,0,1,0
157,5ed2cea8-e0c6-482c-9ee1-548c06612226,2015,631,28.682,0,100,22,1
158,0366fd06-19a3-4b69-8448-6bfbfad1250b,2015,63,21.0,0,0,3,0
159,3e618eb6-41f2-4f20-ad70-2460f9366f43,2015,8,8.0,0,0,1,0
160,8002dd5e-a75a-4d72-9a8c-0f4dbc80d459,2015,13,13.0,0,0,1,0
161,9691f874-be36-4529-a7eb-dde22ee4a848,2015,231,33.0,0,99,7,1
162,1b8db398-7a7e-44df-922e-d979507e6bdb,2015,12,0.0,0,0,0,0
163,91a95850-9514-49d5-b2b0-f8e21156daa0,2015,15,15.0,0,0,1,0
164,c323cdb9-74bc-4d68-9358-609f80eedbb7,2015,409,29.214,0,0,14,0
165,40958157-617f-40b4-91e5-9895f66da29c,2015,106,21.2,0,0,5,0
166,c5e430c5-7a8e-4e29-b30f-1a527f05cb89,2015,1077,29.108,0,0,37,0
167,c88d9352-b835-45ed-a909-1cfec09a58bc,2015,26,26.0,0,0,1,0
168,0c39e276-7a5b-448f-a696-532506f1035a,2015,218,31.143,0,0,7,0
169,8c5067dc-1617-42fa-82eb-0596392ab20a,2015,43,14.333,0,0,3,0
170,a1c40664-b265-4083-aad2-54b4c734f2c5,2015,22,22.0,0,0,1,0
171,da85107c-365c-4d58-90ab-479d97d798b4,2015,1019,31.844,0,101,32,2
172,f22b34cf-6ecf-4522-9c77-1da275dfda7d,2015,12,12.0,0,0,1,0
173,349f647e-bfc3-4d84-af89-b33f8a08e26e,2015,19,19.0,0,0,1,0
174,250199f2-1387-4b55-b96f-17fedea6db7f,2015,178,22.25,0,0,8,0
175,3aef6950-1c19-4454-a3d0-0afe9634ea9f,2015,8,8.0,0,0,1,0
176,46bb9a85-523c-4530-95c3-2c2a9737e65f,2015,1,0.5,0,0,2,0
177,36007e6e-ca6b-42ee-b9f8-79a9a964f5bc,2015,300,25.0,0,0,12,0
178,687cdc33-bd0d-4b70-adb3-33f97dc26a3c,2015,0,0.0,0,0,1,0
179,b4ce3e07-7848-4da2-a33e-4f04ce540ba5,2015,94,31.333,0,0,3,0
180,617435c6-4a3f-4689-ab15-44bd93b33615,2015,665,25.577,0,0,26,0
181,2c8670ae-0c23-4d20-9d2b-f4c3e25f8938,2015,598,27.182,0,108,22,1
182,dffa69ad-331e-4f09-ae38-40a5a4406be6,2015,852,25.818,0,105,33,1
183,3289f9ce-e1d1-40ed-9d3f-242a1712c586,2016,662,22.828,0,0,29,0
184,c257b2e6-dfc9-45c8-b30c-a497f2ce82a2,2016,27,13.5,0,0,2,0
185,d08da2a3-8296-4038-bb46-ab1feca4bbd4,2016,19,19.0,0,0,1,0
186,5de11f0b-8da9-42ba-9a93-db7f0a58543b,2016,439,23.105,0,0,19,0
187,90908a56-901b-466d-8689-943075da96fe,2016,32,16.0,0,0,2,0
188,a0b93053-d349-4dd1-a840-24577102699b,2016,397,30.538,0,96,13,1
189,0adf5b2c-35bd-41f2-8e73-3dad53454d78,2016,54,54.0,0,0,1,0
190,2bb70d56-a79a-4fa1-ae37-99858a3ffd55,2016,44,14.667,0,0,3,0
191,39f70428-a78a-494c-8676-438d953c289e,2016,28,14.0,0,0,2,0
192,973bfe3c-6d0d-4130-a79c-f860650b1da6,2016,129,25.8,0,0,5,0
193,9d04accc-a404-406f-b93c-0878410e55a6,2016,35,11.667,0,0,3,0
194,9d404288-65c5-414f-8ea5-ceb97eccaea0,2016,52,17.333,0,0,3,0
195,b25ba2bd-80bd-4295-9034-cf9242fb207b,2016,35,17.5,0,0,2,0
196,6bb4d6f8-c8fb-4ca7-a416-a7010526114d,2016,810,27.931,0,0,29,0
197,bd8052bd-0898-430b-99c9-2529e895ae79,2016,114,19.0,0,0,6,0
198,31c376b7-2e10-473a-aa54-d9f709a5b93e,2016,19,19.0,0,0,1,0
199,a2451bf7-83dd-496c-b527-c14d8d518598,2016,13,13.0,0,0,1,0
200,0b504d67-639b-4ba8-979a-498a3086257b,2016,162,23.143,0,0,7,0
