,Season,Team ID,TKey,Punt Attempts,Punt Avg Hang Time,Punt Avg Net Yards,Punt Avg Yards,Punt Blocked,Punt Hangtime,Punt Inside 20,Punt Longest,Punt Net Yards,Punt Return Yards,Punt Touchbacks,Punt Yards
12,2012,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02012,67,4.551,42.119,46.343,0,304.9,27,67,2822,203,4,3105
13,2012,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22012,83,4.457,40.783,46.831,0,369.90000000000003,45,71,3385,362,7,3887
14,2012,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12012,82,4.216,39.457,47.235,1,341.5,21,68,3196,450,9,3826
15,2012,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602012,69,4.257,39.706,44.691,1,289.5,28,64,2700,279,3,3039
16,2012,386bdbf9-9eea-4869-bb9a-274b0bc66e80,386bdbf9-9eea-4869-bb9a-274b0bc66e802012,72,4.27,37.38,46.986,1,303.20000000000005,15,66,2654,542,7,3336
17,2012,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,04aa1c9d-66da-489d-b16a-1dee3f2eec4d2012,58,4.196,39.379,47.534,0,243.36999999999998,22,68,2284,353,6,2757
18,2012,22052ff7-c065-42ee-bc8f-c4691c50e624,22052ff7-c065-42ee-bc8f-c4691c50e6242012,70,4.465,38.294,43.882,2,303.59999999999997,22,61,2604,320,3,2984
19,2012,7b112545-38e6-483c-a55c-96cf6ee49cb8,7b112545-38e6-483c-a55c-96cf6ee49cb82012,81,4.265,39.444,41.963,0,345.5,34,64,3195,84,6,3399
20,2012,c5a59daa-53a7-4de0-851f-fb12be893e9e,c5a59daa-53a7-4de0-851f-fb12be893e9e2012,76,4.283,36.855,41.434,0,325.5,24,58,2801,328,1,3149
21,2012,a20471b4-a8d9-40c7-95ad-90cc30e46932,a20471b4-a8d9-40c7-95ad-90cc30e469322012,71,4.43,39.486,43.471,1,310.1,30,65,2764,179,5,3043
22,2012,33405046-04ee-4058-a950-d606f8c30852,33405046-04ee-4058-a950-d606f8c308522012,72,4.326,39.667,44.958,0,311.44,18,59,2856,341,2,3237
23,2012,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692012,77,4.343,37.895,45.263,1,330.1,22,64,2880,440,6,3440
24,2012,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292012,62,4.667,42.1,47.45,2,280.0,22,63,2526,241,4,2847
25,2012,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,f14bf5cc-9a82-4a38-bc15-d39f75ed53142012,77,4.318,36.961,42.987,1,328.2,20,63,2809,318,7,3267
