,Season,Team ID,TKey,3D Attempt,3D Successes,3D Pct,4D Attempt,4D Successes,4D Pct,Goal to Go Attempts,Goal to Go Successes,Goal to Go Pct,RedZone Attempts,RedZone Successes,RedZone Pct
33,2013,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2013,221,83,37.557,15,7,46.667,36,25,69.444,65,36,55.385
34,2013,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232013,225,92,40.889,21,12,57.143,25,21,84.0,46,34,73.913
35,2013,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2013,237,83,35.021,31,14,45.161,25,15,60.0,36,19,52.778
36,2013,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2013,253,92,36.364,16,6,37.5,25,17,68.0,52,24,46.154
37,2013,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982013,216,82,37.963,15,9,60.0,24,18,75.0,53,28,52.83
38,2013,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92013,213,80,37.559,10,3,30.0,22,14,63.636,50,28,56.0
39,2013,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2013,225,70,31.111,30,13,43.333,20,10,50.0,41,18,43.902
40,2013,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72013,231,83,35.931,17,6,35.294,21,14,66.667,40,20,50.0
41,2013,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152013,227,94,41.41,17,11,64.706,24,19,79.167,49,28,57.143
42,2013,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02013,205,95,46.341,9,8,88.889,47,37,78.723,67,51,76.119
43,2013,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22013,213,74,34.742,11,4,36.364,34,25,73.529,57,33,57.895
44,2013,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12013,223,78,34.978,12,7,58.333,23,17,73.913,42,25,59.524
45,2013,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602013,180,63,35.0,6,4,66.667,32,25,78.125,51,35,68.627
46,2013,386bdbf9-9eea-4869-bb9a-274b0bc66e80,386bdbf9-9eea-4869-bb9a-274b0bc66e802013,213,83,38.967,14,7,50.0,34,24,70.588,57,30,52.632
47,2013,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,04aa1c9d-66da-489d-b16a-1dee3f2eec4d2013,211,69,32.701,12,6,50.0,17,11,64.706,36,17,47.222
48,2013,22052ff7-c065-42ee-bc8f-c4691c50e624,22052ff7-c065-42ee-bc8f-c4691c50e6242013,235,95,40.426,20,6,30.0,26,19,73.077,50,26,52.0
49,2013,7b112545-38e6-483c-a55c-96cf6ee49cb8,7b112545-38e6-483c-a55c-96cf6ee49cb82013,197,83,42.132,13,8,61.538,33,23,69.697,60,35,58.333
50,2013,c5a59daa-53a7-4de0-851f-fb12be893e9e,c5a59daa-53a7-4de0-851f-fb12be893e9e2013,221,95,42.986,14,5,35.714,28,23,82.143,56,35,62.5
51,2013,a20471b4-a8d9-40c7-95ad-90cc30e46932,a20471b4-a8d9-40c7-95ad-90cc30e469322013,216,89,41.204,13,9,69.231,40,24,60.0,65,33,50.769
52,2013,33405046-04ee-4058-a950-d606f8c30852,33405046-04ee-4058-a950-d606f8c308522013,214,78,36.449,19,10,52.632,24,17,70.833,48,25,52.083
53,2013,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692013,221,69,31.222,22,8,36.364,20,15,75.0,37,19,51.351
54,2013,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292013,207,89,42.995,14,6,42.857,26,17,65.385,52,27,51.923
55,2013,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,f14bf5cc-9a82-4a38-bc15-d39f75ed53142013,208,91,43.75,13,10,76.923,26,19,73.077,50,29,58.0
56,2013,0d855753-ea21-4953-89f9-0e20aff9eb73,0d855753-ea21-4953-89f9-0e20aff9eb732013,221,97,43.891,19,9,47.368,31,23,74.194,57,32,56.14
57,2013,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92013,211,77,36.493,11,7,63.636,31,21,67.742,55,31,56.364
58,2013,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2013,210,74,35.238,9,5,55.556,27,20,74.074,50,26,52.0
59,2013,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82013,204,76,37.255,11,6,54.545,34,24,70.588,57,32,56.14
60,2014,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242014,229,84,36.681,14,6,42.857,24,18,75.0,51,22,43.137
61,2014,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062014,200,80,40.0,19,7,36.842,34,21,61.765,68,35,51.471
62,2014,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32014,234,91,38.889,16,9,56.25,19,11,57.895,47,17,36.17
63,2014,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2014,221,98,44.344,13,7,53.846,41,32,78.049,67,39,58.209
64,2014,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232014,211,84,39.81,13,7,53.846,23,18,78.261,49,28,57.143
65,2014,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2014,207,61,29.469,14,5,35.714,25,18,72.0,49,24,48.98
66,2014,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2014,205,84,40.976,18,9,50.0,29,19,65.517,63,33,52.381
67,2014,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982014,208,93,44.712,10,5,50.0,30,20,66.667,55,29,52.727
68,2014,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92014,217,89,41.014,15,6,40.0,38,26,68.421,60,33,55.0
69,2014,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2014,216,69,31.944,19,7,36.842,15,10,66.667,32,13,40.625
70,2014,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72014,235,91,38.723,17,10,58.824,27,21,77.778,48,26,54.167
71,2014,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152014,196,59,30.102,17,6,35.294,20,12,60.0,39,19,48.718
72,2014,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02014,213,94,44.131,13,6,46.154,37,27,72.973,62,39,62.903
73,2014,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22014,201,80,39.801,12,5,41.667,25,17,68.0,48,28,58.333
74,2014,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12014,236,80,33.898,15,9,60.0,17,15,88.235,29,21,72.414
75,2014,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602014,201,95,47.264,6,3,50.0,23,19,82.609,51,33,64.706
76,2014,386bdbf9-9eea-4869-bb9a-274b0bc66e80,386bdbf9-9eea-4869-bb9a-274b0bc66e802014,237,103,43.46,11,7,63.636,32,20,62.5,59,29,49.153
77,2014,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,04aa1c9d-66da-489d-b16a-1dee3f2eec4d2014,235,101,42.979,16,5,31.25,34,26,76.471,61,36,59.016
78,2014,22052ff7-c065-42ee-bc8f-c4691c50e624,22052ff7-c065-42ee-bc8f-c4691c50e6242014,197,62,31.472,16,4,25.0,26,16,61.538,48,23,47.917
79,2014,7b112545-38e6-483c-a55c-96cf6ee49cb8,7b112545-38e6-483c-a55c-96cf6ee49cb82014,207,78,37.681,28,13,46.429,26,19,73.077,47,30,63.83
80,2014,c5a59daa-53a7-4de0-851f-fb12be893e9e,c5a59daa-53a7-4de0-851f-fb12be893e9e2014,223,86,38.565,20,10,50.0,25,17,68.0,47,25,53.191
81,2014,a20471b4-a8d9-40c7-95ad-90cc30e46932,a20471b4-a8d9-40c7-95ad-90cc30e469322014,197,93,47.208,10,4,40.0,37,25,67.568,64,37,57.813
82,2014,33405046-04ee-4058-a950-d606f8c30852,33405046-04ee-4058-a950-d606f8c308522014,211,82,38.863,12,6,50.0,24,16,66.667,39,21,53.846
83,2014,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692014,203,76,37.438,12,4,33.333,23,15,65.217,39,21,53.846
84,2014,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292014,210,93,44.286,16,8,50.0,26,20,76.923,44,27,61.364
85,2014,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,f14bf5cc-9a82-4a38-bc15-d39f75ed53142014,222,93,41.892,10,6,60.0,21,15,71.429,47,22,46.809
86,2014,0d855753-ea21-4953-89f9-0e20aff9eb73,0d855753-ea21-4953-89f9-0e20aff9eb732014,203,98,48.276,15,8,53.333,33,28,84.848,65,39,60.0
87,2014,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92014,213,86,40.376,18,10,55.556,24,15,62.5,44,19,43.182
88,2014,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2014,224,90,40.179,4,3,75.0,18,10,55.556,38,16,42.105
89,2014,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82014,212,90,42.453,11,3,27.273,35,21,60.0,60,31,51.667
90,2015,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242015,227,86,37.885,16,7,43.75,18,11,61.111,38,19,50.0
91,2015,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062015,205,63,30.732,22,8,36.364,25,15,60.0,43,23,53.488
92,2015,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32015,229,93,40.611,14,6,42.857,26,22,84.615,53,35,66.038
93,2015,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2015,215,88,40.93,15,9,60.0,34,26,76.471,61,40,65.574
94,2015,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232015,201,81,40.299,12,7,58.333,32,25,78.125,58,38,65.517
95,2015,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2015,227,95,41.85,24,10,41.667,26,12,46.154,47,18,38.298
96,2015,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2015,226,85,37.611,24,12,50.0,21,14,66.667,47,23,48.936
97,2015,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982015,193,75,38.86,12,4,33.333,31,23,74.194,56,34,60.714
98,2015,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92015,235,94,40.0,13,7,53.846,18,12,66.667,49,26,53.061
99,2015,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2015,205,72,35.122,15,8,53.333,29,21,72.414,54,29,53.704
100,2015,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72015,249,96,38.554,19,6,31.579,22,15,68.182,45,26,57.778
101,2015,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152015,201,64,31.841,15,7,46.667,23,19,82.609,40,26,65.0
102,2015,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02015,224,79,35.268,14,7,50.0,19,12,63.158,44,21,47.727
103,2015,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22015,199,76,38.191,9,6,66.667,26,20,76.923,54,31,57.407
104,2015,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12015,220,86,39.091,13,5,38.462,21,14,66.667,41,25,60.976
105,2015,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602015,191,66,34.555,16,8,50.0,27,15,55.556,45,20,44.444
106,2015,386bdbf9-9eea-4869-bb9a-274b0bc66e80,386bdbf9-9eea-4869-bb9a-274b0bc66e802015,230,91,39.565,16,8,50.0,24,17,70.833,43,24,55.814
