Key,Rec Avg Yards,Rec Broken Tackles,Rec Catchable Passes,Rec Dropped Passes,Rec Longest,Rec Longest TD,Rec Receptions,Rec Red Zone Targets,Rec Targets,Rec Touchdowns,Rec Yards,Rec Yards After Catch,Rec Yards After Contact
b8426cea-f8b9-4061-8d56-e70d1230103e 2012 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,17.22,0,0,10,70,70,50,1,90,7,861,387,0
cc745cc3-d52a-454b-98c8-ac9155a9405c 2012 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,11.578,0,0,3,40,8,45,1,66,3,521,242,0
9c21e9af-681c-41ef-9b00-fbc9e1668ed1 2012 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,10.385,0,0,6,26,13,52,1,77,4,540,244,0
f55053e4-4bfd-495d-981a-d62e3662f01b 2012 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,-6.0,0,0,0,-6,0,1,0,1,0,-6,0,0
1f09583f-dcc1-43e8-a7fc-f063d2c96508 2012 82d2d380-3834-4938-835f-aec541e5ece7,-6.0,0,0,0,-6,0,1,0,1,0,-6,0,0
3b7a1409-d154-4e5c-8c94-9d4a0e0993c7 2012 d26a1ca5-722d-4274-8f97-c92e49c96315,11.886,0,0,5,61,61,44,2,72,4,523,157,0
441e8866-33f1-4820-9fa3-3aa2c7535975 2012 d26a1ca5-722d-4274-8f97-c92e49c96315,9.781,0,0,7,38,23,64,1,104,4,626,314,0
6e444737-a1e1-4ddd-b963-cd6a9496fde0 2012 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,15.255,0,0,10,71,71,94,3,141,10,1434,551,0
6ef43c53-53d7-4b0f-ad99-17664d663ae8 2012 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,12.6,0,0,0,28,0,5,1,6,0,63,62,0
349f647e-bfc3-4d84-af89-b33f8a08e26e 2012 6680d28d-d4d2-49f6-aace-5292d3ec02c2,0.0,0,0,0,0,0,0,0,1,0,0,0,0
aca06a5e-0e3a-4285-a025-199f8fa0376f 2012 6680d28d-d4d2-49f6-aace-5292d3ec02c2,6.742999999999999,0,0,4,22,13,35,0,48,1,236,255,0
adadafa1-dc37-486d-8538-7db1e1b5f71e 2012 1c1cec48-6352-4556-b789-35304c1a6ae1,5.5,0,0,0,7,0,2,0,2,0,11,16,0
af48c3f0-040b-40f9-95ab-6ebcb4c16cf8 2012 1c1cec48-6352-4556-b789-35304c1a6ae1,22.0,0,0,0,22,0,1,0,1,0,22,21,0
c456e060-d4d8-46cb-acf4-296edfb4f7bd 2012 1c1cec48-6352-4556-b789-35304c1a6ae1,14.78,0,0,6,59,56,41,2,80,5,606,231,0
d2cad5f8-b35f-4cf4-9567-57c387ba6225 2012 1c1cec48-6352-4556-b789-35304c1a6ae1,14.974,0,0,7,64,64,39,0,75,3,584,140,0
5ed2cea8-e0c6-482c-9ee1-548c06612226 2012 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,13.059000000000001,0,0,1,36,16,17,0,31,1,222,110,0
7092bb09-a161-4ab9-8d19-fdcf1a91bb3d 2012 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,8.533,0,0,2,20,0,15,1,24,0,128,59,0
996974b8-2e0a-47d9-90a7-c3455192d06b 2012 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,5.5,0,0,0,7,0,2,0,2,0,11,3,0
c43cf6a1-8faa-4f95-aa2a-f1aac3ffe103 2012 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,6.875,0,0,0,19,1,8,0,10,1,55,6,0
166292fc-629e-4c7b-b7bf-f572ca9eeb43 2012 386bdbf9-9eea-4869-bb9a-274b0bc66e80,6.907,0,0,3,36,15,54,0,67,3,373,473,0
3e618eb6-41f2-4f20-ad70-2460f9366f43 2012 386bdbf9-9eea-4869-bb9a-274b0bc66e80,15.556,0,0,1,77,77,45,0,88,2,700,223,0
b25ba2bd-80bd-4295-9034-cf9242fb207b 2012 386bdbf9-9eea-4869-bb9a-274b0bc66e80,12.0,0,0,0,28,0,2,0,2,0,24,29,0
c8232b55-6617-4dd9-a7cf-cf14cd9a29ab 2012 386bdbf9-9eea-4869-bb9a-274b0bc66e80,0.0,0,0,0,0,0,0,0,0,0,0,-5,0
38f5843a-8318-4eb7-b517-c83d415e77a4 2012 22052ff7-c065-42ee-bc8f-c4691c50e624,19.0,0,0,2,37,29,8,0,15,1,152,56,0
518c96c5-65bb-4559-8074-9cdb2ca32f99 2012 22052ff7-c065-42ee-bc8f-c4691c50e624,12.32,0,0,3,31,17,25,0,37,1,308,109,0
8dfb370d-460c-4bfc-9d62-888687248783 2012 22052ff7-c065-42ee-bc8f-c4691c50e624,0.0,0,0,0,0,0,0,0,1,0,0,0,0
a824d9ff-12a4-4ed2-812d-404b0b4e52f9 2012 22052ff7-c065-42ee-bc8f-c4691c50e624,14.386,0,0,5,88,88,44,1,67,4,633,309,0
b030b668-0f41-484f-8e94-9fc576b8af63 2012 22052ff7-c065-42ee-bc8f-c4691c50e624,21.545,0,0,3,68,68,11,0,19,3,237,62,0
bd10efdf-d8e7-4e23-ab1a-1e42fb65131b 2012 22052ff7-c065-42ee-bc8f-c4691c50e624,7.0,0,0,1,20,0,11,0,16,0,77,65,0
5c529c33-8a1d-413a-b635-880ac86f30c1 2012 7b112545-38e6-483c-a55c-96cf6ee49cb8,15.292,0,0,2,55,42,24,0,48,3,367,65,0
bbca096b-fd15-498a-86c2-feb44737363f 2012 7b112545-38e6-483c-a55c-96cf6ee49cb8,12.78,0,0,13,56,39,118,6,194,11,1508,347,0
ade43b1a-0601-4672-83b6-d246bc066a19 2012 c5a59daa-53a7-4de0-851f-fb12be893e9e,3.0,0,0,0,3,0,1,0,1,0,3,2,0
0ce48193-e2fa-466e-a986-33f751add206 2012 a20471b4-a8d9-40c7-95ad-90cc30e46932,-1.0,0,0,0,-1,0,1,0,1,0,-1,5,0
3283f152-d373-43b3-b88f-f6f261c48e81 2012 a20471b4-a8d9-40c7-95ad-90cc30e46932,11.925,0,0,12,39,39,80,0,104,8,954,455,0
9f2aebe4-b654-4f0e-a437-ec46f20b6bfe 2012 a20471b4-a8d9-40c7-95ad-90cc30e46932,15.204,0,0,8,73,61,49,2,73,7,745,251,0
1059e9dc-97df-4643-9116-883a0573d8b1 2012 33405046-04ee-4058-a950-d606f8c30852,9.302,0,0,6,29,20,53,1,94,9,493,275,0
6a11f09e-268c-4e5a-9b0f-cc0f4bc353c3 2012 33405046-04ee-4058-a950-d606f8c30852,14.091,0,0,4,65,8,22,2,36,2,310,109,0
ab58c0ac-a747-47e6-9b3c-505e41d2bd3d 2012 33405046-04ee-4058-a950-d606f8c30852,5.425,0,0,3,20,2,40,1,51,1,217,186,0
cccc9f16-9508-434f-b7a4-9a29cb0cacf9 2012 33405046-04ee-4058-a950-d606f8c30852,9.286,0,0,0,29,0,7,0,9,0,65,66,0
5b712aed-201c-43dd-b978-b7b6ef91178e 2012 4254d319-1bc7-4f81-b4ab-b5e6f3402b69,10.312999999999999,0,0,2,33,1,16,0,28,1,165,88,0
5c2a0c83-e18a-43dd-bd65-704771157e42 2012 4254d319-1bc7-4f81-b4ab-b5e6f3402b69,9.633,0,0,7,64,64,49,0,70,1,472,436,0
f5d20030-d934-45e3-8282-e34c6c83ad84 2012 4254d319-1bc7-4f81-b4ab-b5e6f3402b69,2.0,0,0,0,2,0,1,0,2,0,2,7,0
0b3217b9-ba37-4222-95cb-a7a222441e8b 2012 e6aa13a4-0055-48a9-bc41-be28dc106929,15.165,0,0,7,80,80,79,2,129,10,1198,464,0
91a95850-9514-49d5-b2b0-f8e21156daa0 2012 e6aa13a4-0055-48a9-bc41-be28dc106929,7.585,0,0,2,32,8,53,0,59,1,402,437,0
214e55e4-a089-412d-9598-a16495df0d25 2012 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,0.0,0,0,0,6,0,0,0,0,0,6,4,0
5707d2b0-ea9e-4a5e-8289-9d52197301d9 2012 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,15.386,0,0,3,62,43,44,2,76,4,677,312,0
587d0a98-7ec5-45a5-adba-8af26e8f256b 2012 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,12.217,0,0,4,47,47,69,2,104,5,843,246,0
96a1fc85-5af7-49fa-a5ac-ddc06c205ced 2012 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,9.235,0,0,1,30,17,17,0,23,1,157,179,0
15b156b5-30cc-4070-b60a-1c09e62c5a9b 2012 0d855753-ea21-4953-89f9-0e20aff9eb73,8.892999999999999,0,0,10,44,33,75,4,104,7,667,665,0
72f5a27a-544f-468a-b10b-89a1fc5d0e9f 2012 0d855753-ea21-4953-89f9-0e20aff9eb73,7.5,0,0,0,13,0,2,0,3,0,15,28,0
b4ce3e07-7848-4da2-a33e-4f04ce540ba5 2012 0d855753-ea21-4953-89f9-0e20aff9eb73,8.8,0,0,0,17,0,5,0,8,0,44,54,0
f336567d-44a9-4245-8452-1dd485fd70fb 2012 0d855753-ea21-4953-89f9-0e20aff9eb73,4.833,0,0,0,16,0,6,0,10,0,29,32,0
fd85786d-3900-4dc0-9b30-334ee30413ed 2012 0d855753-ea21-4953-89f9-0e20aff9eb73,11.552999999999999,0,0,15,46,29,85,4,135,9,982,306,0
0a95e792-6455-4927-9539-f95fa7f41fbb 2012 f0e724b0-4cbf-495a-be47-013907608da9,13.366,0,0,3,53,23,41,0,61,5,548,169,0
16cc9ade-f9ad-4d32-b5b9-d7568ee80f58 2012 f0e724b0-4cbf-495a-be47-013907608da9,12.75,0,0,1,35,0,4,0,7,0,51,21,0
3aef6950-1c19-4454-a3d0-0afe9634ea9f 2012 f0e724b0-4cbf-495a-be47-013907608da9,0.5,0,0,0,1,0,2,0,2,0,1,5,0
6a2b129d-a9e5-4131-b491-82269b323f77 2012 f0e724b0-4cbf-495a-be47-013907608da9,8.357000000000001,0,0,4,26,6,28,0,36,1,234,221,0
ccce5e8e-52ca-4f0f-a40f-fe5e7227d156 2012 f0e724b0-4cbf-495a-be47-013907608da9,16.381,0,0,9,45,34,21,0,39,3,344,55,0
fe767946-236d-4c04-9c59-5e3edd51acfe 2012 f0e724b0-4cbf-495a-be47-013907608da9,13.0,0,0,7,49,49,85,2,126,9,1105,544,0
471dbe81-54c4-4b52-8bd1-4933c9800e1f 2012 de760528-1dc0-416a-a978-b510d20692ff,12.489,0,0,5,53,37,45,0,86,2,562,156,0
9691f874-be36-4529-a7eb-dde22ee4a848 2012 de760528-1dc0-416a-a978-b510d20692ff,11.859000000000002,0,0,10,46,46,64,1,114,5,759,221,0
b6a61b38-5cfa-46eb-b1c5-b0255d7ebaf5 2012 de760528-1dc0-416a-a978-b510d20692ff,11.239,0,0,5,37,37,71,2,156,4,798,272,0
e033ce15-9fc5-430b-90e2-90dfe52b21c1 2012 de760528-1dc0-416a-a978-b510d20692ff,7.8,0,0,0,19,0,5,0,8,0,39,41,0
63fd9abe-4bdf-4611-9497-0c67e030ce01 2012 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,9.526,0,0,2,20,0,19,0,23,0,181,127,0
7e5b8212-df93-4069-b3f0-be4b5cb47389 2012 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,10.333,0,0,3,17,0,3,0,7,0,31,1,0
82bce0be-9a87-4b6d-a85b-623bf8d1674e 2012 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,8.522,0,0,3,27,9,23,1,30,1,196,199,0
c88d9352-b835-45ed-a909-1cfec09a58bc 2012 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,15.289000000000001,0,0,2,51,41,45,1,67,7,688,259,0
e1b29179-074b-4c91-8797-763b76ac618a 2012 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,12.620999999999999,0,0,5,50,24,29,1,50,3,366,78,0
618bedee-9259-4536-b0ff-fec98d2a20de 2013 768c92aa-75ff-4a43-bcc0-f2798c2e1724,14.675,0,0,4,57,42,40,6,85,3,587,111,0
8fc65820-f565-44e2-8635-3e1cdf165bf6 2013 768c92aa-75ff-4a43-bcc0-f2798c2e1724,8.3,0,0,0,16,0,10,0,17,0,83,27,0
bf52ff53-35a6-4696-ac6d-3fa952dc2c87 2013 768c92aa-75ff-4a43-bcc0-f2798c2e1724,16.647000000000002,0,0,1,59,59,17,1,32,3,283,45,0
cf23126f-055b-4617-819b-bb4bcb84541a 2013 768c92aa-75ff-4a43-bcc0-f2798c2e1724,15.6,0,0,1,28,0,5,1,9,0,78,41,0
04ca4fb9-194e-47fe-8fc8-adb5790a8e78 2013 4809ecb0-abd3-451d-9c4a-92a90b83ca06,11.0,0,0,7,67,39,69,15,102,6,759,357,0
969a4d68-1d76-4e64-bfff-e898a9ac6bd4 2013 4809ecb0-abd3-451d-9c4a-92a90b83ca06,10.927,0,0,1,29,19,41,5,67,2,448,151,0
9c04a540-cb7c-41dc-8e7c-50b7af29a3a2 2013 4809ecb0-abd3-451d-9c4a-92a90b83ca06,5.332999999999999,0,0,1,8,1,6,1,10,1,32,4,0
a212c5d8-67f8-48b9-99be-2c121ee56366 2013 4809ecb0-abd3-451d-9c4a-92a90b83ca06,6.537999999999999,0,0,1,22,0,26,5,35,0,170,171,0
b37b5be9-4771-4368-988f-fb936f4fc0ad 2013 4809ecb0-abd3-451d-9c4a-92a90b83ca06,12.74,0,0,12,57,53,73,11,141,5,930,273,0
4a38cda2-e92f-47f8-b324-0c34e09d83f2 2013 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,7.556,0,0,5,36,0,36,3,57,0,272,313,0
72f5a27a-544f-468a-b10b-89a1fc5d0e9f 2013 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5.0,0,0,4,12,0,2,1,7,0,10,8,0
769d7178-df4e-4127-8166-8116165921e8 2013 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,12.163,0,0,1,26,25,43,8,72,3,523,178,0
97c96dce-9b33-4d0e-ba01-5eb629192d19 2013 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,6.273,0,0,0,21,0,11,1,16,0,69,61,0
cfc93f5e-105e-4a5e-88d3-f4279893cfa8 2013 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,13.0,0,0,0,13,0,1,0,1,0,13,0,0
170b4c5f-a345-4899-8d81-e8982b0f3d65 2013 97354895-8c77-4fd4-a860-32e62ea7382a,6.2,0,0,0,24,0,10,1,12,0,62,57,0
2142a164-48ad-47d6-bb27-0bc58c6b2e62 2013 97354895-8c77-4fd4-a860-32e62ea7382a,15.179,0,0,2,50,23,39,8,66,4,592,194,0
2bb70d56-a79a-4fa1-ae37-99858a3ffd55 2013 97354895-8c77-4fd4-a860-32e62ea7382a,10.057,0,0,13,44,24,105,23,151,6,1056,497,0
973bfe3c-6d0d-4130-a79c-f860650b1da6 2013 97354895-8c77-4fd4-a860-32e62ea7382a,11.722000000000001,0,0,8,57,34,54,6,83,2,633,252,0
9d04accc-a404-406f-b93c-0878410e55a6 2013 97354895-8c77-4fd4-a860-32e62ea7382a,15.5,0,0,0,31,0,4,0,4,0,62,32,0
dba5e3ec-2c77-4f65-ad6e-cee246f816ef 2013 97354895-8c77-4fd4-a860-32e62ea7382a,7.2379999999999995,0,0,4,18,0,21,0,29,0,152,159,0
f5d20030-d934-45e3-8282-e34c6c83ad84 2013 97354895-8c77-4fd4-a860-32e62ea7382a,19.0,0,0,0,32,0,2,0,5,0,38,41,0
14ecf9dd-3a77-4847-8e62-407cd1182f1c 2013 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,11.41,0,0,5,61,32,39,7,59,2,445,227,0
1726a359-9444-4761-a1f2-cb35ee6fa60e 2013 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,9.681000000000001,0,0,6,32,7,47,11,78,2,455,254,0
1a2fbc23-e6db-4d2f-a152-2c774341b7c4 2013 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,13.960999999999999,0,0,3,45,29,51,14,80,10,712,224,0
24cf6148-f0af-4103-a215-e06956764953 2013 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,9.179,0,0,4,41,27,56,6,70,3,514,528,0
3289f9ce-e1d1-40ed-9d3f-242a1712c586 2013 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,6.0,0,0,0,6,0,1,0,2,0,6,0,0
b44773b9-af17-4d6c-a453-132e20849712 2013 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,9.957,0,0,3,30,25,46,4,67,4,458,265,0
b6325c85-c313-4cfb-a299-9884d5e9e389 2013 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,8.0,0,0,0,8,0,1,0,2,0,8,7,0
c9701373-23f6-4058-9189-8d9c085f3c49 2013 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,14.550999999999998,0,0,11,82,82,98,21,178,11,1426,393,0
4f0053fc-5559-4551-bd81-dcd1cdf3a9ec 2013 d5a2eb42-8065-4174-ab79-0a6fa820e35e,21.0,0,0,1,39,0,5,0,13,0,105,60,0
b228c353-bb1f-4ba8-aa6d-d18ecf297259 2013 d5a2eb42-8065-4174-ab79-0a6fa820e35e,18.92,0,0,9,95,95,87,18,159,9,1646,631,0
46bb9a85-523c-4530-95c3-2c2a9737e65f 2013 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,10.92,0,0,5,43,1,25,2,43,1,273,101,0
67da5b5c-0db9-4fbc-b98d-7eb8e97b69f6 2013 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,0.0,0,0,0,0,0,0,0,1,0,0,0,0
7f3ef024-eb34-46af-8b9e-544cdf09378f 2013 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,6.0,0,0,0,6,0,1,0,1,0,6,8,0
a735765c-3ca8-4557-b06e-a30fd415982c 2013 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,17.354,0,0,5,74,26,65,17,137,4,1128,360,0
c323cdb9-74bc-4d68-9358-609f80eedbb7 2013 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,9.6,0,0,0,33,0,10,2,19,0,96,17,0
16e33176-b73e-49b7-b0aa-c405b47a706e 2013 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,13.627,0,0,8,56,47,110,21,166,8,1499,620,0
ea357add-1a41-4a8b-8f34-bbfade7f4d98 2013 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,0.0,0,0,0,5,0,0,0,0,0,5,-6,0
f9036897-99d5-4d9a-8965-0c7e0f9e43bd 2013 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,10.667,0,0,2,21,0,6,2,13,0,64,36,0
fd4e8681-f2f4-47c7-b954-a72be9b1ca00 2013 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,11.045,0,0,5,55,55,67,16,112,6,740,295,0
b8426cea-f8b9-4061-8d56-e70d1230103e 2013 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,13.207,0,0,6,73,73,82,14,138,5,1083,380,0
bd413539-9351-454e-9d61-4e8635d7e9f5 2013 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,3.8,0,0,0,8,0,5,2,7,0,19,13,0
c456e060-d4d8-46cb-acf4-296edfb4f7bd 2013 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,10.655,0,0,9,27,11,29,10,64,1,309,124,0
cc745cc3-d52a-454b-98c8-ac9155a9405c 2013 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,20.0,0,0,0,20,20,1,0,2,1,20,5,0
9c21e9af-681c-41ef-9b00-fbc9e1668ed1 2013 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,14.36,0,0,4,41,13,25,10,47,4,359,225,0
5c48ade7-4b9a-4757-9643-87a6e3839e2b 2013 82d2d380-3834-4938-835f-aec541e5ece7,15.423,0,0,1,66,29,52,11,91,2,802,181,0
cb1df42c-b59c-4e23-a9a2-fbfc2b39ef71 2013 82d2d380-3834-4938-835f-aec541e5ece7,12.842,0,0,1,40,2,19,1,28,1,244,98,0
0742d2ea-1cf2-49a6-a150-77ba6e034d8c 2013 d26a1ca5-722d-4274-8f97-c92e49c96315,0.0,0,0,0,0,0,1,1,1,0,0,6,0
441e8866-33f1-4820-9fa3-3aa2c7535975 2013 d26a1ca5-722d-4274-8f97-c92e49c96315,11.479000000000001,0,0,8,45,10,94,8,140,2,1079,548,0
ccce5e8e-52ca-4f0f-a40f-fe5e7227d156 2013 d26a1ca5-722d-4274-8f97-c92e49c96315,9.517000000000001,0,0,5,33,26,60,17,86,6,571,173,0
f636d7ce-05f9-43d7-b63f-351acb5c2a70 2013 d26a1ca5-722d-4274-8f97-c92e49c96315,19.667,0,0,5,57,54,18,4,42,4,354,91,0
6e444737-a1e1-4ddd-b963-cd6a9496fde0 2013 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,15.543,0,0,9,78,78,92,19,142,14,1430,697,0
6ef43c53-53d7-4b0f-ad99-17664d663ae8 2013 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,5.0,0,0,1,10,0,9,2,12,0,45,17,0
f7841baa-9284-4c03-b698-442570651c6c 2013 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,0.0,0,0,1,0,0,0,0,1,0,0,0,0
2fda010a-8c62-4c07-b601-4ba03f57e6af 2013 6680d28d-d4d2-49f6-aace-5292d3ec02c2,-4.0,0,0,0,-4,0,1,0,1,0,-4,1,0
aca06a5e-0e3a-4285-a025-199f8fa0376f 2013 6680d28d-d4d2-49f6-aace-5292d3ec02c2,9.9,0,0,10,71,71,70,17,104,7,693,657,0
e033ce15-9fc5-430b-90e2-90dfe52b21c1 2013 6680d28d-d4d2-49f6-aace-5292d3ec02c2,8.611,0,0,1,26,12,18,7,24,1,155,162,0
26b9c11d-c557-4bef-b990-65498858df47 2013 1c1cec48-6352-4556-b789-35304c1a6ae1,11.444,0,0,3,29,0,9,0,17,0,103,31,0
5a20a439-bebc-4ef7-8b9f-30e1d677a26b 2013 1c1cec48-6352-4556-b789-35304c1a6ae1,9.0,0,0,1,25,0,7,0,11,0,63,50,0
996974b8-2e0a-47d9-90a7-c3455192d06b 2013 1c1cec48-6352-4556-b789-35304c1a6ae1,17.24,0,0,2,40,6,25,6,52,1,431,111,0
adadafa1-dc37-486d-8538-7db1e1b5f71e 2013 1c1cec48-6352-4556-b789-35304c1a6ae1,27.5,0,0,0,52,0,2,0,3,0,55,40,0
d2cad5f8-b35f-4cf4-9567-57c387ba6225 2013 1c1cec48-6352-4556-b789-35304c1a6ae1,14.8,0,0,4,66,48,60,10,99,4,888,314,0
3c2db5b7-77bf-4c52-bb77-b0fe3cf89e5e 2013 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,16.727,0,0,4,82,82,44,9,74,5,736,204,0
