Key,Int Ret Avg Yds,Int Ret Longest,Int Ret Longest TD,Int Ret Returns,Int Ret Touchdowns,Int Ret Yds
eeb9e3f4-e378-44ca-94b6-a724011ad710 2016 f0e724b0-4cbf-495a-be47-013907608da9,4.0,4,0,1,0,4
5f424505-f29f-433c-b3f2-1a143a04a010 2017 1f6dcffb-9823-43cd-9ff4-e7a8466749b5,32.0,32,0,1,0,32
