Key,Converse Defense Attempts,Converse Defense Success,Converse Pass Attempts,Converse Pass Success,Converse Rec Attempts,Converse Rec Success,Converse Rush Attempts,Converse Rush Success,Converse Turnover Success
166292fc-629e-4c7b-b7bf-f572ca9eeb43 2013 386bdbf9-9eea-4869-bb9a-274b0bc66e80,0,0,0,0,1,0,0,0,0
3e618eb6-41f2-4f20-ad70-2460f9366f43 2013 386bdbf9-9eea-4869-bb9a-274b0bc66e80,0,0,0,0,1,0,0,0,0
c8232b55-6617-4dd9-a7cf-cf14cd9a29ab 2013 386bdbf9-9eea-4869-bb9a-274b0bc66e80,0,0,5,2,0,0,0,0,0
de3421f7-2147-4835-89a5-724e87bad463 2013 386bdbf9-9eea-4869-bb9a-274b0bc66e80,0,0,0,0,0,0,1,0,0
8dfb370d-460c-4bfc-9d62-888687248783 2013 22052ff7-c065-42ee-bc8f-c4691c50e624,0,0,3,1,0,0,1,1,0
a824d9ff-12a4-4ed2-812d-404b0b4e52f9 2013 22052ff7-c065-42ee-bc8f-c4691c50e624,0,0,0,0,1,0,0,0,0
b030b668-0f41-484f-8e94-9fc576b8af63 2013 22052ff7-c065-42ee-bc8f-c4691c50e624,0,0,0,0,1,0,0,0,0
bbd0942c-6f77-4f83-a6d0-66ec6548019e 2013 22052ff7-c065-42ee-bc8f-c4691c50e624,0,0,1,0,0,0,0,0,0
c3bf8d3e-3b2e-4f9e-ad74-c0a684035f17 2013 22052ff7-c065-42ee-bc8f-c4691c50e624,0,0,0,0,1,0,0,0,0
c87f0526-a85d-439d-a447-070c66ede612 2013 22052ff7-c065-42ee-bc8f-c4691c50e624,0,0,0,0,1,1,0,0,0
5c529c33-8a1d-413a-b635-880ac86f30c1 2013 7b112545-38e6-483c-a55c-96cf6ee49cb8,0,0,0,0,1,1,0,0,0
a261fd0a-b096-4db7-bd51-2f13bde485da 2013 7b112545-38e6-483c-a55c-96cf6ee49cb8,0,0,1,1,0,0,0,0,0
bbca096b-fd15-498a-86c2-feb44737363f 2013 7b112545-38e6-483c-a55c-96cf6ee49cb8,0,0,0,0,2,2,0,0,0
ade43b1a-0601-4672-83b6-d246bc066a19 2013 c5a59daa-53a7-4de0-851f-fb12be893e9e,0,0,5,2,0,0,0,0,0
0ce48193-e2fa-466e-a986-33f751add206 2013 a20471b4-a8d9-40c7-95ad-90cc30e46932,0,0,1,0,0,0,0,0,0
8263e101-aa33-435f-bf0f-388e1c4eeb59 2013 33405046-04ee-4058-a950-d606f8c30852,0,0,1,0,0,0,0,0,0
471dbe81-54c4-4b52-8bd1-4933c9800e1f 2013 de760528-1dc0-416a-a978-b510d20692ff,0,0,0,0,2,0,0,0,0
b6a61b38-5cfa-46eb-b1c5-b0255d7ebaf5 2013 de760528-1dc0-416a-a978-b510d20692ff,0,0,0,0,1,0,0,0,0
409d4cac-ee90-4470-9710-ebe671678339 2013 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,0,0,1,0,0,0,0,0,0
e1b29179-074b-4c91-8797-763b76ac618a 2013 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,0,0,0,0,1,0,0,0,0
618bedee-9259-4536-b0ff-fec98d2a20de 2014 768c92aa-75ff-4a43-bcc0-f2798c2e1724,0,0,0,0,1,1,0,0,0
769d7178-df4e-4127-8166-8116165921e8 2014 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,0,0,0,0,2,0,0,0,0
cfc93f5e-105e-4a5e-88d3-f4279893cfa8 2014 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,0,0,3,0,0,0,0,0,0
