Key,Extra Pts Attempts,Extra Pts Blocked,Extra Pts Made
218d1644-603e-4da3-9ce1-48ce3927494f 2014 e6aa13a4-0055-48a9-bc41-be28dc106929,40,0,40
63f8a401-f308-4463-9d0b-4335b98da682 2014 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,34,0,34
e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d 2014 f0e724b0-4cbf-495a-be47-013907608da9,33,0,33
0d1171d4-c955-4966-9257-640b569866d1 2014 de760528-1dc0-416a-a978-b510d20692ff,27,0,27
40cda44b-2ee3-4ad1-834e-995e30db84d4 2014 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,41,0,41
c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e 2015 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,20,0,19
a527b7db-0b52-4379-9e4c-2e08c1fe1bed 2015 97354895-8c77-4fd4-a860-32e62ea7382a,52,0,52
e017e12b-07a7-4a35-b837-2faa9ffe3ce8 2015 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,48,1,48
20a0bad2-d530-4ff4-a2df-5c0a21a1f5db 2015 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,29,0,29
441eb531-1ec8-4f65-9174-78bc6adada63 2015 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,27,0,26
9ecf8040-10f9-4a5c-92da-1b4d77bd6760 2015 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,34,1,32
7af4c94b-529b-4403-ab66-2bfed3fcf0c7 2015 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,39,0,32
c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e 2015 82d2d380-3834-4938-835f-aec541e5ece7,5,0,3
ecc4f0c1-64e0-46cc-9b58-91c2b215e62a 2015 d26a1ca5-722d-4274-8f97-c92e49c96315,30,1,29
6444feb1-f5a4-4b45-9a45-79308a4445fd 2015 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,36,0,35
d96ff17c-841a-4768-8e08-3a4cfcb7f717 2015 6680d28d-d4d2-49f6-aace-5292d3ec02c2,41,0,39
480277d1-47c9-44df-969e-038a84cd0fea 2015 1c1cec48-6352-4556-b789-35304c1a6ae1,39,0,38
beb64618-614c-49f7-a3aa-c0c75b7839ea 2015 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,25,0,25
4b99ead5-0f79-4899-84a7-075c08890698 2015 386bdbf9-9eea-4869-bb9a-274b0bc66e80,7,0,7
596c4000-ede5-45b0-8336-33efeb686d2b 2015 386bdbf9-9eea-4869-bb9a-274b0bc66e80,37,0,35
058c99fc-470c-4579-a165-03e043335cc1 2015 22052ff7-c065-42ee-bc8f-c4691c50e624,40,0,39
5514afb6-bd43-49a8-9bf7-b8baaaecdabe 2015 22052ff7-c065-42ee-bc8f-c4691c50e624,1,0,1
abd73d50-ce60-47f1-b37f-2f9a05b0d7b9 2015 7b112545-38e6-483c-a55c-96cf6ee49cb8,28,1,28
67f5e782-f91c-4536-9818-cf4a0e7e821d 2015 c5a59daa-53a7-4de0-851f-fb12be893e9e,38,1,36
e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8 2015 a20471b4-a8d9-40c7-95ad-90cc30e46932,36,0,36
218d1644-603e-4da3-9ce1-48ce3927494f 2015 e6aa13a4-0055-48a9-bc41-be28dc106929,26,0,26
63f8a401-f308-4463-9d0b-4335b98da682 2015 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,58,1,56
5514afb6-bd43-49a8-9bf7-b8baaaecdabe 2015 0d855753-ea21-4953-89f9-0e20aff9eb73,34,0,33
e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d 2015 f0e724b0-4cbf-495a-be47-013907608da9,20,1,20
0d1171d4-c955-4966-9257-640b569866d1 2015 de760528-1dc0-416a-a978-b510d20692ff,58,0,53
40cda44b-2ee3-4ad1-834e-995e30db84d4 2015 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,42,2,40
a527b7db-0b52-4379-9e4c-2e08c1fe1bed 2016 97354895-8c77-4fd4-a860-32e62ea7382a,49,0,46
c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e 2016 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,6,0,6
e017e12b-07a7-4a35-b837-2faa9ffe3ce8 2016 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,29,0,23
4b99ead5-0f79-4899-84a7-075c08890698 2016 d5a2eb42-8065-4174-ab79-0a6fa820e35e,21,0,20
20a0bad2-d530-4ff4-a2df-5c0a21a1f5db 2016 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,27,0,27
441eb531-1ec8-4f65-9174-78bc6adada63 2016 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,36,0,36
c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e 2016 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,1,0,1
9ecf8040-10f9-4a5c-92da-1b4d77bd6760 2016 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,44,0,44
7af4c94b-529b-4403-ab66-2bfed3fcf0c7 2016 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,32,0,29
ecc4f0c1-64e0-46cc-9b58-91c2b215e62a 2016 d26a1ca5-722d-4274-8f97-c92e49c96315,41,1,39
6444feb1-f5a4-4b45-9a45-79308a4445fd 2016 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,33,1,32
d96ff17c-841a-4768-8e08-3a4cfcb7f717 2016 6680d28d-d4d2-49f6-aace-5292d3ec02c2,39,1,36
480277d1-47c9-44df-969e-038a84cd0fea 2016 1c1cec48-6352-4556-b789-35304c1a6ae1,39,1,37
beb64618-614c-49f7-a3aa-c0c75b7839ea 2016 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,46,0,46
596c4000-ede5-45b0-8336-33efeb686d2b 2016 386bdbf9-9eea-4869-bb9a-274b0bc66e80,31,0,30
abd73d50-ce60-47f1-b37f-2f9a05b0d7b9 2016 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,23,0,20
c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e 2016 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,3,0,2
058c99fc-470c-4579-a165-03e043335cc1 2016 22052ff7-c065-42ee-bc8f-c4691c50e624,39,0,36
67f5e782-f91c-4536-9818-cf4a0e7e821d 2016 c5a59daa-53a7-4de0-851f-fb12be893e9e,33,1,31
e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8 2016 a20471b4-a8d9-40c7-95ad-90cc30e46932,47,0,44
5514afb6-bd43-49a8-9bf7-b8baaaecdabe 2016 33405046-04ee-4058-a950-d606f8c30852,14,1,11
218d1644-603e-4da3-9ce1-48ce3927494f 2016 e6aa13a4-0055-48a9-bc41-be28dc106929,57,0,56
63f8a401-f308-4463-9d0b-4335b98da682 2016 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,34,2,31
c4cf84d0-6022-4ac1-a9ba-85587921c53f 2016 0d855753-ea21-4953-89f9-0e20aff9eb73,50,1,49
e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d 2016 f0e724b0-4cbf-495a-be47-013907608da9,34,0,33
0d1171d4-c955-4966-9257-640b569866d1 2016 de760528-1dc0-416a-a978-b510d20692ff,47,1,43
93d11276-45d2-4168-a9b7-df0cbf12dabb 2016 2eff2a03-54d4-46ba-890e-2bc3925548f3,23,0,23
40cda44b-2ee3-4ad1-834e-995e30db84d4 2016 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,35,5,29
40cda44b-2ee3-4ad1-834e-995e30db84d4 2017 768c92aa-75ff-4a43-bcc0-f2798c2e1724,29,0,29
4b99ead5-0f79-4899-84a7-075c08890698 2017 4809ecb0-abd3-451d-9c4a-92a90b83ca06,29,0,26
0d1171d4-c955-4966-9257-640b569866d1 2017 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,29,0,29
a527b7db-0b52-4379-9e4c-2e08c1fe1bed 2017 97354895-8c77-4fd4-a860-32e62ea7382a,47,0,45
c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e 2017 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,33,0,31
cd0f4ef0-9914-4125-be4d-804a72350ceb 2017 d5a2eb42-8065-4174-ab79-0a6fa820e35e,26,0,25
20a0bad2-d530-4ff4-a2df-5c0a21a1f5db 2017 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,39,0,39
441eb531-1ec8-4f65-9174-78bc6adada63 2017 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,39,1,37
9ecf8040-10f9-4a5c-92da-1b4d77bd6760 2017 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,24,0,22
69bdf41e-3c32-46c1-93b8-e952edf5c61d 2017 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,24,1,22
7af4c94b-529b-4403-ab66-2bfed3fcf0c7 2017 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,17,0,15
