Key,Passing Avg Yards,Passing Blitzes,Passing Completion Pct,Passing Completions,Passing Defended Passes,Passing Dropped Passes,Passing Gross Yards,Passing Hurries,Passing Interceptions,Passing Knockdowns,Passing Longest,Passing Longest TD,Passing Net Yds,Passing Pocket Time,Passing Rating,Passing Redzone Attempts,Passing Sack Yds,Passing Sacks,Passing Spikes,Passing Throw Away,Passing Touchdowns,Passing Yards
c8232b55-6617-4dd9-a7cf-cf14cd9a29ab 2012 386bdbf9-9eea-4869-bb9a-274b0bc66e80,6.4110000000000005,77,60.755,161,0,10,1699,0,5,0,46,44,1568,0.0,79.1,7,131,20,0,0,6,1699
6cb6226e-f08c-4192-95f1-69709ed686c6 2012 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,7.3660000000000005,168,59.888000000000005,321,0,32,3948,0,15,0,80,80,3812,0.0,87.2,14,136,19,0,0,26,3948
8dfb370d-460c-4bfc-9d62-888687248783 2012 22052ff7-c065-42ee-bc8f-c4691c50e624,8.142000000000001,102,65.649,258,0,35,3200,0,5,0,88,88,2983,0.0,102.4,3,217,30,0,0,20,3200
bbd0942c-6f77-4f83-a6d0-66ec6548019e 2012 22052ff7-c065-42ee-bc8f-c4691c50e624,9.708,9,68.75,33,0,2,466,0,3,0,77,77,439,0.0,101.6,1,27,3,0,0,4,466
ade43b1a-0601-4672-83b6-d246bc066a19 2012 c5a59daa-53a7-4de0-851f-fb12be893e9e,6.832000000000001,176,59.835,435,0,49,4967,0,17,0,57,46,4755,0.0,79.8,6,212,29,0,0,20,4967
0ce48193-e2fa-466e-a986-33f751add206 2012 a20471b4-a8d9-40c7-95ad-90cc30e46932,7.781000000000001,164,67.21,371,0,44,4295,0,8,0,73,72,4002,0.0,108.0,10,293,51,0,0,39,4295
7e648a0b-fdc8-4661-a587-5826f2cac11b 2012 e6aa13a4-0055-48a9-bc41-be28dc106929,7.672999999999999,173,68.618,422,0,27,4719,0,14,0,80,80,4509,0.0,99.1,14,210,28,0,0,32,4719
214e55e4-a089-412d-9598-a16495df0d25 2012 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,7.977,175,57.732,280,0,22,3869,0,12,0,82,53,3625,0.0,86.2,12,244,36,0,0,19,3869
72fbe462-91c5-4c84-9640-e8ad7cad6447 2012 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,14.5,0,100.0,4,0,0,58,0,0,0,23,0,58,0.0,118.8,0,0,0,0,0,0,58
0045a36c-f464-49e0-a25a-9210edc94bc1 2012 0d855753-ea21-4953-89f9-0e20aff9eb73,10.0,1,100.0,1,0,0,10,0,0,0,10,0,10,0.0,108.3,0,0,0,0,0,0,10
bb5957e6-ce7d-47ab-8036-22191ffc1c44 2012 0d855753-ea21-4953-89f9-0e20aff9eb73,7.727,198,62.985,422,0,49,5177,0,19,0,80,80,4987,0.0,96.3,13,190,26,0,0,43,5177
2fda010a-8c62-4c07-b601-4ba03f57e6af 2012 f0e724b0-4cbf-495a-be47-013907608da9,7.968,87,70.183,153,0,12,1737,0,5,0,55,47,1600,0.0,104.1,0,137,24,0,0,13,1737
af4ba620-2f00-4b00-9111-7897f2b1cde8 2012 de760528-1dc0-416a-a978-b510d20692ff,6.226,9,56.604,30,0,1,330,0,2,0,53,37,300,0.0,65.8,3,30,4,0,0,1,330
409d4cac-ee90-4470-9710-ebe671678339 2012 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,7.934,150,64.122,252,0,24,3118,0,10,0,67,46,2915,0.0,100.0,2,203,33,0,0,26,3118
c88d9352-b835-45ed-a909-1cfec09a58bc 2012 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,23.0,1,100.0,1,0,0,23,0,0,0,23,23,23,0.0,158.3,0,0,0,0,0,1,23
5812204c-6dae-4450-8011-99e0f72864ac 2013 4809ecb0-abd3-451d-9c4a-92a90b83ca06,6.655,210,60.373999999999995,355,0,32,3913,0,17,0,67,53,0,0.0,81.7,64,399,58,0,26,24,3913
4a38cda2-e92f-47f8-b324-0c34e09d83f2 2013 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,30.0,1,100.0,1,0,0,30,0,0,0,30,0,30,0.0,118.8,0,0,0,0,0,0,30
769d7178-df4e-4127-8166-8116165921e8 2013 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,39.6,0,0,0,0,0,0,0
cfc93f5e-105e-4a5e-88d3-f4279893cfa8 2013 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,6.876,206,55.756,247,0,26,3046,0,21,0,69,69,2731,0.0,66.5,44,315,43,0,26,12,3046
41c44740-d0f6-44ab-8347-3b5d515e5ecf 2013 97354895-8c77-4fd4-a860-32e62ea7382a,6.916,203,60.51,380,0,53,4343,0,11,0,81,81,4087,0.0,87.3,83,256,40,0,13,25,4343
1726a359-9444-4761-a1f2-cb35ee6fa60e 2013 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,25.0,1,100.0,1,0,0,25,0,0,0,25,0,25,0.0,118.8,0,0,0,0,0,0,25
d2a0e5af-3850-4f16-8e40-a0b1d15c2ce1 2013 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,7.3260000000000005,213,61.945,363,0,35,4293,0,20,0,82,82,4111,0.0,88.8,65,182,29,0,21,33,4293
01291a8d-d97c-4d88-b497-b5ad4b72f626 2013 d5a2eb42-8065-4174-ab79-0a6fa820e35e,6.483,87,52.809,141,0,24,1731,0,9,0,95,95,1551,0.0,70.3,28,180,27,0,17,9,1731
af4ba620-2f00-4b00-9111-7897f2b1cde8 2013 d5a2eb42-8065-4174-ab79-0a6fa820e35e,6.406000000000001,36,59.375,57,0,6,615,0,3,0,47,47,567,0.0,82.6,13,48,6,0,7,5,615
64797df2-efd3-4b27-86ee-1d48f7edb09f 2013 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,6.371,214,58.958,362,0,33,3912,0,22,0,74,66,3588,0.0,73.1,75,324,48,0,16,19,3912
7f3ef024-eb34-46af-8b9e-544cdf09378f 2013 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,0.4,1,20.0,1,0,1,2,0,1,0,2,0,2,0.0,0.0,0,0,0,0,0,0,2
16e33176-b73e-49b7-b0aa-c405b47a706e 2013 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,15.0,0,100.0,1,0,0,15,0,0,0,15,0,8,0.0,118.8,0,7,1,0,0,0,15
