Key,Punt Returns Avg Yards,Punt Returns Fair Catches,Punt Returns Longest,Punt Returns Longest TD,Punt Returns Returns,Punt Returns Touchdowns,Punt Returns Yards
f96db0af-5e25-42d1-a07a-49b4e065b364 2017 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,7.364,9,25,0,22,0,162
3aef6950-1c19-4454-a3d0-0afe9634ea9f 2017 0d855753-ea21-4953-89f9-0e20aff9eb73,5.421,13,17,0,19,0,103
8482bc94-0eb0-4e92-8f99-ced135f3cd5d 2017 0d855753-ea21-4953-89f9-0e20aff9eb73,0.0,0,0,0,1,0,0
b103b096-6be9-4f87-9ae4-5d217f560685 2017 0d855753-ea21-4953-89f9-0e20aff9eb73,8.214,10,24,0,14,0,115
30641ad1-3511-48a4-a63a-95c88846b705 2017 f0e724b0-4cbf-495a-be47-013907608da9,5.75,1,16,0,4,0,23
3e2e74e9-18a8-4275-9437-b275db27e2ff 2017 f0e724b0-4cbf-495a-be47-013907608da9,9.367,16,39,0,30,0,281
2806e915-c46f-492f-8a29-71d3a85e5620 2017 2eff2a03-54d4-46ba-890e-2bc3925548f3,0.0,2,0,0,0,0,0
4f724338-aa8c-436d-90b2-45299572c53e 2017 2eff2a03-54d4-46ba-890e-2bc3925548f3,12.469000000000001,8,53,0,32,0,399
502b3a6c-e965-478a-858e-964b4ac2296c 2017 2eff2a03-54d4-46ba-890e-2bc3925548f3,4.417,1,12,0,12,0,53
dffa69ad-331e-4f09-ae38-40a5a4406be6 2017 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,6.582999999999999,21,27,0,36,0,237
36007e6e-ca6b-42ee-b9f8-79a9a964f5bc 2018 768c92aa-75ff-4a43-bcc0-f2798c2e1724,7.5,2,9,0,2,0,15
6130be96-edf3-4361-b666-860c4ec46e7d 2018 768c92aa-75ff-4a43-bcc0-f2798c2e1724,6.2139999999999995,3,21,0,14,0,87
769d7178-df4e-4127-8166-8116165921e8 2018 768c92aa-75ff-4a43-bcc0-f2798c2e1724,5.0,0,6,0,2,0,10
f7ff7599-a175-4a0c-b887-3ae9e596fc64 2018 768c92aa-75ff-4a43-bcc0-f2798c2e1724,5.0,2,13,0,4,0,20
4734f8dc-2ca4-4437-88f2-c8b8974abefc 2018 4809ecb0-abd3-451d-9c4a-92a90b83ca06,3.0,1,6,0,2,0,6
5de11f0b-8da9-42ba-9a93-db7f0a58543b 2018 4809ecb0-abd3-451d-9c4a-92a90b83ca06,16.285999999999998,6,71,71,14,1,228
973bfe3c-6d0d-4130-a79c-f860650b1da6 2018 4809ecb0-abd3-451d-9c4a-92a90b83ca06,5.364,9,12,0,11,0,59
780a48de-d092-4e87-9c34-8d1b45a154cc 2018 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,0.0,0,0,0,1,0,0
9691f874-be36-4529-a7eb-dde22ee4a848 2018 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,14.087,27,78,78,23,1,324
b89c853a-6bd8-42ec-ae52-a11831923631 2018 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,0.0,1,0,0,0,0,0
2bb70d56-a79a-4fa1-ae37-99858a3ffd55 2018 97354895-8c77-4fd4-a860-32e62ea7382a,7.7,11,25,0,20,0,154
ab9cf0fc-f4e4-4d18-8132-97e518eb14f3 2018 97354895-8c77-4fd4-a860-32e62ea7382a,0.0,3,0,0,1,0,0
6bb4d6f8-c8fb-4ca7-a416-a7010526114d 2018 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,10.6,20,38,0,20,0,212
06e41dc1-d5dc-4bdc-8fc3-e0d7c3a99ac4 2018 d5a2eb42-8065-4174-ab79-0a6fa820e35e,5.0,1,8,0,2,0,10
71d9c2a0-81ee-4788-86bb-7ae326396e73 2018 d5a2eb42-8065-4174-ab79-0a6fa820e35e,12.2,1,37,0,5,0,61
393cdcc9-20ec-4d07-b8bf-6848398b6ab8 2018 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,7.428999999999999,4,51,0,7,0,52
4592fc87-9864-452d-8a19-5d4df714658f 2018 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,8.333,6,14,0,9,0,75
6259f62d-e16f-4369-a3be-ca02f79f3026 2018 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,8.4,26,23,0,30,0,252
fd4241f9-ab42-4dba-a701-455b896eca28 2018 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,0.0,0,0,0,1,0,0
958c9833-2e55-411a-8e0e-ecc229bbeb14 2018 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,9.347999999999999,28,51,0,23,0,215
b8426cea-f8b9-4061-8d56-e70d1230103e 2018 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,2.0,0,2,0,1,0,2
046c51bc-319e-4fbb-9cf3-f6ab808b8edf 2018 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,14.0,13,74,74,19,1,266
73d6cb8a-3d72-4a6a-b3c9-fe61dfd1bd41 2018 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,8.0,1,8,0,2,0,16
a0498a95-9dc3-4df5-8f51-a1564fb3de57 2018 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,4.917,2,16,0,12,0,59
c2a7bd8a-d141-423a-8810-0988a59ff0b4 2018 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,0.0,0,-8,0,0,0,-8
442eb96a-deb6-4e73-b65a-a2bb25ffa968 2018 82d2d380-3834-4938-835f-aec541e5ece7,8.333,7,27,0,21,0,175
9ae2584a-40c1-4b30-be34-a9567659eacd 2018 82d2d380-3834-4938-835f-aec541e5ece7,9.125,8,30,0,16,0,146
54c60acc-65ac-4e63-a988-697ee26e862a 2018 d26a1ca5-722d-4274-8f97-c92e49c96315,1.3330000000000002,1,5,0,3,0,4
969a4d68-1d76-4e64-bfff-e898a9ac6bd4 2018 d26a1ca5-722d-4274-8f97-c92e49c96315,9.5,0,18,0,4,0,38
c87f0526-a85d-439d-a447-070c66ede612 2018 d26a1ca5-722d-4274-8f97-c92e49c96315,11.75,1,38,0,4,0,47
6124c4d4-337b-4926-b3f8-d2feb1c16fa9 2018 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,3.333,11,20,0,12,0,40
6130be96-edf3-4361-b666-860c4ec46e7d 2018 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,6.5,0,11,0,2,0,13
8322b598-ab65-4b2c-8a54-af37f67a062d 2018 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,7.667000000000001,0,15,0,3,0,23
ccd5239f-e8ba-484c-acf5-af0bd9f6dadc 2018 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,10.333,5,13,0,3,0,31
4f0053fc-5559-4551-bd81-dcd1cdf3a9ec 2018 1f6dcffb-9823-43cd-9ff4-e7a8466749b5,3.2,4,8,0,5,0,16
5f424505-f29f-433c-b3f2-1a143a04a010 2018 1f6dcffb-9823-43cd-9ff4-e7a8466749b5,0.0,1,0,0,1,0,0
d5d86ddc-97e5-4acf-867f-a2a741071c22 2018 1f6dcffb-9823-43cd-9ff4-e7a8466749b5,4.8,2,11,0,5,0,24
01d8aee3-e1c4-4988-970a-8c0c2d08bd83 2018 6680d28d-d4d2-49f6-aace-5292d3ec02c2,10.65,3,91,91,20,1,213
35823109-daf1-4825-92b8-564271398ecb 2018 6680d28d-d4d2-49f6-aace-5292d3ec02c2,48.0,0,48,0,1,0,48
46b16198-116f-4913-85db-2bc21462bd66 2018 6680d28d-d4d2-49f6-aace-5292d3ec02c2,0.0,0,0,0,1,0,0
5ed2cea8-e0c6-482c-9ee1-548c06612226 2018 1c1cec48-6352-4556-b789-35304c1a6ae1,14.05,15,99,99,20,1,281
9f2aebe4-b654-4f0e-a437-ec46f20b6bfe 2018 1c1cec48-6352-4556-b789-35304c1a6ae1,3.5,2,7,0,2,0,7
c78c299b-7c73-40fc-9155-2ede7f9849c7 2018 1c1cec48-6352-4556-b789-35304c1a6ae1,1.5,2,3,0,2,0,3
502b3a6c-e965-478a-858e-964b4ac2296c 2018 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,5.8,7,22,0,10,0,58
7092bb09-a161-4ab9-8d19-fdcf1a91bb3d 2018 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,5.545,18,14,0,11,0,61
15b156b5-30cc-4070-b60a-1c09e62c5a9b 2018 386bdbf9-9eea-4869-bb9a-274b0bc66e80,8.3,9,14,0,10,0,83
69568326-f210-4b88-a5cb-10376c64893e 2018 386bdbf9-9eea-4869-bb9a-274b0bc66e80,2.833,2,10,0,6,0,17
9ae2584a-40c1-4b30-be34-a9567659eacd 2018 386bdbf9-9eea-4869-bb9a-274b0bc66e80,10.3,0,42,0,10,0,103
c88d9352-b835-45ed-a909-1cfec09a58bc 2018 386bdbf9-9eea-4869-bb9a-274b0bc66e80,2.6,0,12,0,5,0,13
cfb0ff68-51cb-4dad-ba81-f9e019a93a91 2018 386bdbf9-9eea-4869-bb9a-274b0bc66e80,0.0,0,0,0,1,0,0
0f28eda1-8042-4d0c-9392-81ef58be62a5 2018 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,7.417000000000001,4,23,0,12,0,89
16cd3b59-18a2-40a0-9236-e222bed17044 2018 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,3.0,1,6,0,2,0,6
354dec38-b88b-4ba0-8974-859123f27c45 2018 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,4.25,2,16,0,8,0,34
6efb8027-b537-4dd1-883f-459450708ad4 2018 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,19.0,2,19,0,1,0,19
c5f35a06-791b-43e1-befc-df0c54b3b486 2018 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,3.0,1,6,0,5,0,15
e120460b-5596-49ba-a601-b3d9ef9f5883 2018 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,7.556,3,21,0,9,0,68
35341f6c-bca9-427b-a8eb-f9a24a334184 2018 22052ff7-c065-42ee-bc8f-c4691c50e624,13.0,4,30,0,4,0,52
8002dd5e-a75a-4d72-9a8c-0f4dbc80d459 2018 22052ff7-c065-42ee-bc8f-c4691c50e624,10.0,3,11,0,2,0,20
c1ca7e3d-f072-41c7-8017-53401dbdd4d4 2018 22052ff7-c065-42ee-bc8f-c4691c50e624,3.667,3,6,0,3,0,11
a8342d20-9901-49a6-bc45-79f192418188 2018 7b112545-38e6-483c-a55c-96cf6ee49cb8,12.455,21,44,0,33,0,411
40958157-617f-40b4-91e5-9895f66da29c 2018 c5a59daa-53a7-4de0-851f-fb12be893e9e,10.875,8,25,0,8,0,87
5ec01774-4a79-40aa-be4a-e33c71bd5bf4 2018 c5a59daa-53a7-4de0-851f-fb12be893e9e,4.0,3,5,0,2,0,8
617435c6-4a3f-4689-ab15-44bd93b33615 2018 c5a59daa-53a7-4de0-851f-fb12be893e9e,0.0,5,0,0,1,0,0
c88d9352-b835-45ed-a909-1cfec09a58bc 2018 c5a59daa-53a7-4de0-851f-fb12be893e9e,7.5,0,9,0,2,0,15
3283f152-d373-43b3-b88f-f6f261c48e81 2018 a20471b4-a8d9-40c7-95ad-90cc30e46932,6.571000000000001,6,17,0,7,0,46
bc175901-4a1f-4132-abb4-e49cc7d35e12 2018 a20471b4-a8d9-40c7-95ad-90cc30e46932,11.0,1,15,0,4,0,44
2fa2b2da-4aa9-44b5-b27e-56876dfe2ad4 2018 33405046-04ee-4058-a950-d606f8c30852,0.0,1,0,0,0,0,0
3885b40b-c31b-4cd6-a0fd-3d24bede2771 2018 33405046-04ee-4058-a950-d606f8c30852,6.5,4,9,0,4,0,26
50eb4454-71bf-4012-a216-2fc9770ffd86 2018 33405046-04ee-4058-a950-d606f8c30852,0.0,1,0,0,0,0,0
3e618eb6-41f2-4f20-ad70-2460f9366f43 2018 4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4.8,0,11,0,5,0,24
d6d41a89-a8af-48b9-bf75-561de99a1d87 2018 4254d319-1bc7-4f81-b4ab-b5e6f3402b69,6.619,15,16,0,21,0,139
052a93cf-8536-4a12-9831-84b27e8608da 2018 e6aa13a4-0055-48a9-bc41-be28dc106929,7.35,23,18,0,20,0,147
1283923a-9716-4936-920a-a57f019bb2e8 2018 e6aa13a4-0055-48a9-bc41-be28dc106929,0.0,1,0,0,1,0,0
48d7bc31-808f-423c-afc8-45c2c5dfa45f 2018 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,9.455,5,30,0,11,0,104
5ec072b3-2837-4cf1-bb4f-ecd873949626 2018 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,4.143,6,13,0,7,0,29
d8202e6d-d03b-4cd1-a793-ff8fd39d9755 2018 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,5.332999999999999,5,15,0,6,0,32
3289f9ce-e1d1-40ed-9d3f-242a1712c586 2018 0d855753-ea21-4953-89f9-0e20aff9eb73,5.0,0,8,0,3,0,15
3aef6950-1c19-4454-a3d0-0afe9634ea9f 2018 0d855753-ea21-4953-89f9-0e20aff9eb73,0.0,2,0,0,0,0,0
3c8a55dd-20a8-4375-b711-49eb5e6e1d0e 2018 0d855753-ea21-4953-89f9-0e20aff9eb73,0.0,0,0,0,1,0,0
4316bbf5-0d02-4392-9fbc-33be86f87446 2018 0d855753-ea21-4953-89f9-0e20aff9eb73,0.0,1,0,0,0,0,0
b103b096-6be9-4f87-9ae4-5d217f560685 2018 0d855753-ea21-4953-89f9-0e20aff9eb73,7.5,6,17,0,8,0,60
d9c857b2-97da-4fb8-a527-afbbb2a67413 2018 0d855753-ea21-4953-89f9-0e20aff9eb73,6.832999999999999,9,16,0,12,0,82
20d16690-560b-4a01-af20-8870ef07ea70 2018 f0e724b0-4cbf-495a-be47-013907608da9,3.0,2,14,0,9,0,27
3e2e74e9-18a8-4275-9437-b275db27e2ff 2018 f0e724b0-4cbf-495a-be47-013907608da9,7.8,6,18,0,10,0,78
4aae1781-1eec-48c0-b41f-e4fee61c3c32 2018 f0e724b0-4cbf-495a-be47-013907608da9,6.25,10,23,0,12,0,75
4f724338-aa8c-436d-90b2-45299572c53e 2018 de760528-1dc0-416a-a978-b510d20692ff,11.167,0,45,0,6,0,67
ebcd87ce-218c-4144-810b-921c2f59d6e8 2018 de760528-1dc0-416a-a978-b510d20692ff,7.81,17,44,0,21,0,164
2806e915-c46f-492f-8a29-71d3a85e5620 2018 2eff2a03-54d4-46ba-890e-2bc3925548f3,4.0,3,4,0,1,0,4
2d52ede5-1c65-4f18-a8ac-9306192ef625 2018 2eff2a03-54d4-46ba-890e-2bc3925548f3,10.769,10,60,0,26,0,280
4f724338-aa8c-436d-90b2-45299572c53e 2018 2eff2a03-54d4-46ba-890e-2bc3925548f3,6.0,1,12,0,2,0,12
618bedee-9259-4536-b0ff-fec98d2a20de 2018 2eff2a03-54d4-46ba-890e-2bc3925548f3,0.0,1,0,0,0,0,0
dffa69ad-331e-4f09-ae38-40a5a4406be6 2018 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,5.72,20,19,0,25,0,143
