Key,Punt Returns Avg Yards,Punt Returns Fair Catches,Punt Returns Longest,Punt Returns Longest TD,Punt Returns Returns,Punt Returns Touchdowns,Punt Returns Yards
4f0053fc-5559-4551-bd81-dcd1cdf3a9ec 2014 d5a2eb42-8065-4174-ab79-0a6fa820e35e,8.467,8,37,0,15,0,127
16e33176-b73e-49b7-b0aa-c405b47a706e 2014 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,10.633,16,71,71,30,1,319
fd4e8681-f2f4-47c7-b954-a72be9b1ca00 2014 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,11.0,1,11,0,1,0,11
35823109-daf1-4825-92b8-564271398ecb 2014 6680d28d-d4d2-49f6-aace-5292d3ec02c2,11.912,0,81,81,34,1,405
5ed2cea8-e0c6-482c-9ee1-548c06612226 2014 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,9.167,13,38,0,30,0,275
15b156b5-30cc-4070-b60a-1c09e62c5a9b 2014 386bdbf9-9eea-4869-bb9a-274b0bc66e80,12.974,16,82,82,39,2,506
354dec38-b88b-4ba0-8974-859123f27c45 2014 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,8.142999999999999,11,25,0,21,0,171
3e618eb6-41f2-4f20-ad70-2460f9366f43 2014 22052ff7-c065-42ee-bc8f-c4691c50e624,0.0,2,0,0,1,0,0
9691f874-be36-4529-a7eb-dde22ee4a848 2014 22052ff7-c065-42ee-bc8f-c4691c50e624,7.428999999999999,25,37,0,28,0,208
3283f152-d373-43b3-b88f-f6f261c48e81 2014 a20471b4-a8d9-40c7-95ad-90cc30e46932,8.0,9,24,0,14,0,112
b4ce3e07-7848-4da2-a33e-4f04ce540ba5 2014 0d855753-ea21-4953-89f9-0e20aff9eb73,0.0,1,0,0,0,0,0
b6b954eb-4591-4b7a-86b9-a481f15fdd58 2014 0d855753-ea21-4953-89f9-0e20aff9eb73,3.5,15,15,0,10,0,35
617435c6-4a3f-4689-ab15-44bd93b33615 2014 f0e724b0-4cbf-495a-be47-013907608da9,8.174,12,23,0,23,0,188
3aef6950-1c19-4454-a3d0-0afe9634ea9f 2014 de760528-1dc0-416a-a978-b510d20692ff,10.654000000000002,24,71,71,26,1,277
e1b29179-074b-4c91-8797-763b76ac618a 2014 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,7.0,4,38,0,6,0,42
06e41dc1-d5dc-4bdc-8fc3-e0d7c3a99ac4 2015 4809ecb0-abd3-451d-9c4a-92a90b83ca06,9.889,16,69,69,36,1,356
969a4d68-1d76-4e64-bfff-e898a9ac6bd4 2015 4809ecb0-abd3-451d-9c4a-92a90b83ca06,9.0,0,9,0,1,0,9
769d7178-df4e-4127-8166-8116165921e8 2015 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,8.562999999999999,19,58,0,48,0,411
2bb70d56-a79a-4fa1-ae37-99858a3ffd55 2015 97354895-8c77-4fd4-a860-32e62ea7382a,8.1,1,19,0,10,0,81
973bfe3c-6d0d-4130-a79c-f860650b1da6 2015 97354895-8c77-4fd4-a860-32e62ea7382a,12.0,12,82,0,23,0,276
3289f9ce-e1d1-40ed-9d3f-242a1712c586 2015 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,6.332999999999999,11,18,0,27,0,171
4f0053fc-5559-4551-bd81-dcd1cdf3a9ec 2015 d5a2eb42-8065-4174-ab79-0a6fa820e35e,11.571,10,78,78,28,1,324
c5f35a06-791b-43e1-befc-df0c54b3b486 2015 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,10.609000000000002,3,82,82,23,1,244
16e33176-b73e-49b7-b0aa-c405b47a706e 2015 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,9.636000000000001,13,71,71,22,1,212
b8426cea-f8b9-4061-8d56-e70d1230103e 2015 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,4.0,2,10,0,4,0,16
c682e8ea-fe48-45d2-af60-682a6125ab22 2015 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,0.5,1,1,0,2,0,1
73d6cb8a-3d72-4a6a-b3c9-fe61dfd1bd41 2015 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,16.722,8,73,73,18,1,301
fd4e8681-f2f4-47c7-b954-a72be9b1ca00 2015 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,6.059,20,14,0,17,0,103
35823109-daf1-4825-92b8-564271398ecb 2015 6680d28d-d4d2-49f6-aace-5292d3ec02c2,7.827999999999999,2,37,0,29,0,227
00f88be8-45f9-4237-b2b8-3271ec790d07 2015 1c1cec48-6352-4556-b789-35304c1a6ae1,5.125,0,18,0,8,0,41
7092bb09-a161-4ab9-8d19-fdcf1a91bb3d 2015 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,5.75,17,22,0,12,0,69
15b156b5-30cc-4070-b60a-1c09e62c5a9b 2015 386bdbf9-9eea-4869-bb9a-274b0bc66e80,11.737,18,89,89,38,2,446
5ec072b3-2837-4cf1-bb4f-ecd873949626 2015 386bdbf9-9eea-4869-bb9a-274b0bc66e80,-3.0,0,-3,0,1,0,-3
354dec38-b88b-4ba0-8974-859123f27c45 2015 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,13.0,2,21,0,2,0,26
5ed2cea8-e0c6-482c-9ee1-548c06612226 2015 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,10.029,7,80,80,34,1,341
3e618eb6-41f2-4f20-ad70-2460f9366f43 2015 22052ff7-c065-42ee-bc8f-c4691c50e624,-2.5,1,2,0,2,0,-5
8002dd5e-a75a-4d72-9a8c-0f4dbc80d459 2015 22052ff7-c065-42ee-bc8f-c4691c50e624,5.267,16,16,0,30,0,158
40958157-617f-40b4-91e5-9895f66da29c 2015 c5a59daa-53a7-4de0-851f-fb12be893e9e,8.429,6,28,0,7,0,59
c88d9352-b835-45ed-a909-1cfec09a58bc 2015 c5a59daa-53a7-4de0-851f-fb12be893e9e,7.45,14,23,0,20,0,149
3283f152-d373-43b3-b88f-f6f261c48e81 2015 a20471b4-a8d9-40c7-95ad-90cc30e46932,2.5,4,10,0,4,0,10
3aef6950-1c19-4454-a3d0-0afe9634ea9f 2015 f14bf5cc-9a82-4a38-bc15-d39f75ed5314,10.259,22,37,0,27,0,277
36007e6e-ca6b-42ee-b9f8-79a9a964f5bc 2015 0d855753-ea21-4953-89f9-0e20aff9eb73,9.321,7,74,74,28,1,261
b4ce3e07-7848-4da2-a33e-4f04ce540ba5 2015 0d855753-ea21-4953-89f9-0e20aff9eb73,1.0,1,1,0,1,0,1
b6b954eb-4591-4b7a-86b9-a481f15fdd58 2015 0d855753-ea21-4953-89f9-0e20aff9eb73,6.0,0,6,0,2,0,12
617435c6-4a3f-4689-ab15-44bd93b33615 2015 f0e724b0-4cbf-495a-be47-013907608da9,7.211,17,36,0,19,0,137
617269c1-88b3-45a6-b4a8-b2806a0cdaea 2015 de760528-1dc0-416a-a978-b510d20692ff,3.25,4,11,0,4,0,13
dffa69ad-331e-4f09-ae38-40a5a4406be6 2015 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,9.475,21,66,57,40,1,379
3289f9ce-e1d1-40ed-9d3f-242a1712c586 2016 768c92aa-75ff-4a43-bcc0-f2798c2e1724,11.577,14,43,0,26,0,301
06e41dc1-d5dc-4bdc-8fc3-e0d7c3a99ac4 2016 4809ecb0-abd3-451d-9c4a-92a90b83ca06,10.187999999999999,15,20,0,16,0,163
5de11f0b-8da9-42ba-9a93-db7f0a58543b 2016 4809ecb0-abd3-451d-9c4a-92a90b83ca06,8.25,3,74,74,20,1,165
2bb70d56-a79a-4fa1-ae37-99858a3ffd55 2016 97354895-8c77-4fd4-a860-32e62ea7382a,9.0,7,23,0,15,0,135
973bfe3c-6d0d-4130-a79c-f860650b1da6 2016 97354895-8c77-4fd4-a860-32e62ea7382a,6.722,7,30,0,18,0,121
6bb4d6f8-c8fb-4ca7-a416-a7010526114d 2016 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,6.9639999999999995,19,24,0,28,0,195
31c376b7-2e10-473a-aa54-d9f709a5b93e 2016 d5a2eb42-8065-4174-ab79-0a6fa820e35e,6.587999999999999,1,18,0,17,0,112
16e33176-b73e-49b7-b0aa-c405b47a706e 2016 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,9.333,15,33,0,15,0,140
bb818cdc-cc6e-4e57-90bd-5a9d5f23f48e 2016 cb2f9f1f-ac67-424e-9e72-1475cb0ed398,6.428999999999999,4,15,0,7,0,45
958c9833-2e55-411a-8e0e-ecc229bbeb14 2016 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,9.154,12,30,0,13,0,119
b8426cea-f8b9-4061-8d56-e70d1230103e 2016 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,5.0,1,5,0,1,0,5
c682e8ea-fe48-45d2-af60-682a6125ab22 2016 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,0.0,1,0,0,0,0,0
4c3c6b63-aa1f-4452-9d1d-662073f06142 2016 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,1.5,3,3,0,2,0,3
73d6cb8a-3d72-4a6a-b3c9-fe61dfd1bd41 2016 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,6.2379999999999995,5,42,0,21,0,131
095e0c1a-0bea-4bc6-868f-e4bbe2ce6c30 2016 82d2d380-3834-4938-835f-aec541e5ece7,15.0,6,67,67,11,1,165
442eb96a-deb6-4e73-b65a-a2bb25ffa968 2016 82d2d380-3834-4938-835f-aec541e5ece7,9.667,23,57,0,27,0,261
01d8aee3-e1c4-4988-970a-8c0c2d08bd83 2016 6680d28d-d4d2-49f6-aace-5292d3ec02c2,15.179,8,95,95,39,2,592
c78c299b-7c73-40fc-9155-2ede7f9849c7 2016 1c1cec48-6352-4556-b789-35304c1a6ae1,9.0,5,47,0,34,0,306
7092bb09-a161-4ab9-8d19-fdcf1a91bb3d 2016 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,1.0,9,3,0,3,0,3
15b156b5-30cc-4070-b60a-1c09e62c5a9b 2016 386bdbf9-9eea-4869-bb9a-274b0bc66e80,13.175999999999998,13,66,0,17,0,224
5ec072b3-2837-4cf1-bb4f-ecd873949626 2016 386bdbf9-9eea-4869-bb9a-274b0bc66e80,11.0,0,22,0,2,0,22
354dec38-b88b-4ba0-8974-859123f27c45 2016 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,6.6,6,19,0,10,0,66
5ed2cea8-e0c6-482c-9ee1-548c06612226 2016 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,5.862,10,17,0,29,0,170
8002dd5e-a75a-4d72-9a8c-0f4dbc80d459 2016 22052ff7-c065-42ee-bc8f-c4691c50e624,12.148,15,85,85,27,1,328
9691f874-be36-4529-a7eb-dde22ee4a848 2016 c5a59daa-53a7-4de0-851f-fb12be893e9e,12.3,16,85,85,20,2,246
3283f152-d373-43b3-b88f-f6f261c48e81 2016 a20471b4-a8d9-40c7-95ad-90cc30e46932,13.5,4,23,0,4,0,54
bc175901-4a1f-4132-abb4-e49cc7d35e12 2016 a20471b4-a8d9-40c7-95ad-90cc30e46932,12.777999999999999,11,55,0,9,0,115
