Key,Def Assisted Tackles,Def Blitzes,Def Combined Tackles,Def Defensive Completions,Def Defensive Targets,Def Forced Fumbles,Def Fumble Recoveries,Def Hurries,Def Interceptions,Def Knockdowns,Def Misc Assists,Def Misc Forced Fumbles,Def Misc Fumble Recoveries,Def Misc Tackles,Def Missed Tackles,Def Passes Defended,Def QB Hits,Def Sack Yards,Def Sacks,Def Safeties,Def Special Team Assists,Def Special Team Bocks,Def Special Team Forced Fumbles,Def Special Team Fumble Recoveries,Def Special Team Tackles,Def Tackles,Def Tackles for Loss,Def Tackles for Loss Yards
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2012,190,0,877,407,587,10,6,155,18,48,0,0,7,15,120,82,62,193.0,27.0,0,9,3,1,4,65,687,105.0,17.0
e6aa13a4-0055-48a9-bc41-be28dc106929 2012,187,0,829,335,521,15,11,153,20,44,0,0,3,15,126,82,70,182.0,29.0,0,9,0,0,0,68,642,70.0,18.0
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2012,339,0,957,367,528,15,10,143,11,48,2,0,9,12,124,64,68,284.0,39.0,1,20,0,2,3,70,618,63.0,0.0
0d855753-ea21-4953-89f9-0e20aff9eb73 2012,317,0,955,362,563,10,10,156,15,45,0,0,6,15,122,90,81,194.0,30.0,0,11,2,1,1,67,638,60.0,0.0
f0e724b0-4cbf-495a-be47-013907608da9 2012,215,0,869,330,520,12,9,143,14,37,0,0,13,11,64,76,70,270.0,38.0,1,18,2,3,4,79,654,67.0,0.0
de760528-1dc0-416a-a978-b510d20692ff 2012,190,0,868,268,456,12,8,119,22,62,0,0,4,21,91,78,85,228.0,38.0,0,14,3,1,9,72,678,69.0,23.0
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2012,273,0,846,324,512,16,9,124,18,49,0,0,6,13,79,78,80,247.0,36.0,0,37,2,2,5,59,573,56.0,15.0
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2013,344,0,1035,306,544,12,6,205,23,52,0,0,11,21,92,91,99,395.0,57.0,0,33,0,0,6,82,691,98.0,452.0
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2013,234,0,954,342,571,8,5,211,18,66,0,0,6,21,111,78,95,272.0,42.0,1,11,2,2,3,75,720,68.0,308.0
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2013,334,0,935,341,562,9,1,164,13,48,2,0,8,18,99,62,83,227.0,41.0,1,32,2,1,1,68,601,85.0,338.0
