Key,Def Assisted Tackles,Def Blitzes,Def Combined Tackles,Def Defensive Completions,Def Defensive Targets,Def Forced Fumbles,Def Fumble Recoveries,Def Hurries,Def Interceptions,Def Knockdowns,Def Misc Assists,Def Misc Forced Fumbles,Def Misc Fumble Recoveries,Def Misc Tackles,Def Missed Tackles,Def Passes Defended,Def QB Hits,Def Sack Yards,Def Sacks,Def Safeties,Def Special Team Assists,Def Special Team Bocks,Def Special Team Forced Fumbles,Def Special Team Fumble Recoveries,Def Special Team Tackles,Def Tackles,Def Tackles for Loss,Def Tackles for Loss Yards
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2016,297,337,879,379,607,11,8,82,18,49,0,1,7,15,96,71,80,223.0,31.0,0,7,4,2,6,58,582,72.0,288.0
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2016,261,400,913,393,630,14,8,69,13,52,0,1,9,15,101,80,92,259.0,38.0,1,28,1,1,2,48,652,79.0,330.0
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2016,231,304,878,371,585,15,9,74,8,49,0,0,6,16,132,60,82,211.0,33.0,0,22,2,0,1,45,647,50.0,226.0
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2016,173,200,852,335,545,8,4,76,7,44,0,2,6,21,92,55,77,183.0,33.0,0,9,2,0,4,40,679,80.0,276.0
82d2d380-3834-4938-835f-aec541e5ece7 2016,271,376,847,308,529,6,6,74,11,59,2,0,6,17,108,70,89,198.0,31.0,1,22,0,1,2,90,576,68.0,257.0
d26a1ca5-722d-4274-8f97-c92e49c96315 2016,201,450,838,386,663,4,4,99,12,50,0,0,8,8,95,76,95,269.0,40.0,0,23,0,0,3,41,637,68.0,337.0
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2016,248,469,919,322,585,15,10,67,14,66,0,0,7,19,82,84,114,228.0,42.0,0,10,2,1,6,63,671,55.0,224.0
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2016,170,213,855,340,599,13,11,83,18,48,2,0,4,11,120,104,76,157.0,28.0,1,12,0,3,6,61,685,67.0,226.0
1c1cec48-6352-4556-b789-35304c1a6ae1 2016,186,263,827,339,562,19,11,92,16,54,0,0,5,12,81,73,80,147.0,25.0,0,20,2,1,4,67,641,49.0,178.0
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2016,283,183,927,437,645,17,10,59,9,52,0,0,11,14,87,64,90,197.0,36.0,0,16,0,1,3,48,644,79.0,282.0
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2016,234,173,816,348,570,12,9,93,16,55,4,0,14,15,132,77,90,207.0,34.0,1,13,3,3,2,63,582,75.0,313.0
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2016,286,334,988,377,657,13,7,85,17,49,0,0,4,22,108,101,85,242.0,35.0,0,27,2,2,5,66,702,78.0,279.0
22052ff7-c065-42ee-bc8f-c4691c50e624 2016,294,321,986,369,576,15,7,95,13,58,0,1,9,11,128,75,97,253.0,38.0,0,22,1,1,1,42,692,79.0,309.0
7b112545-38e6-483c-a55c-96cf6ee49cb8 2016,200,185,884,333,524,9,3,103,8,36,0,0,12,24,96,70,75,230.0,37.0,1,14,1,2,1,56,684,66.0,270.0
c5a59daa-53a7-4de0-851f-fb12be893e9e 2016,217,223,889,401,562,7,5,84,10,40,0,0,2,7,99,63,68,161.0,26.0,2,10,1,1,0,54,672,60.0,233.0
a20471b4-a8d9-40c7-95ad-90cc30e46932 2016,200,405,854,365,587,8,8,70,17,47,0,1,7,15,76,88,83,285.0,40.0,0,7,0,0,3,53,654,77.0,381.0
33405046-04ee-4058-a950-d606f8c30852 2016,304,257,890,336,568,13,12,78,14,72,0,0,6,11,104,59,114,310.0,41.0,1,11,1,0,4,58,586,63.0,339.0
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2016,182,217,885,350,575,16,10,69,17,42,0,0,6,21,112,87,83,234.0,38.0,1,3,0,0,4,50,703,76.0,270.0
e6aa13a4-0055-48a9-bc41-be28dc106929 2016,275,143,914,425,669,17,8,67,12,49,0,0,4,7,103,89,81,228.0,34.0,0,28,2,0,2,46,639,64.0,274.0
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2016,316,241,943,413,644,17,10,110,17,44,0,1,2,20,115,70,93,270.0,47.0,1,15,3,0,1,56,627,77.0,324.0
0d855753-ea21-4953-89f9-0e20aff9eb73 2016,244,385,887,366,578,11,12,70,9,71,2,0,4,15,98,67,106,213.0,30.0,1,11,0,0,2,65,643,65.0,251.0
f0e724b0-4cbf-495a-be47-013907608da9 2016,254,330,982,316,515,12,8,84,10,45,2,0,10,17,93,73,79,154.0,33.0,1,24,2,3,3,78,728,66.0,239.0
de760528-1dc0-416a-a978-b510d20692ff 2016,186,442,869,352,561,17,11,79,14,56,0,0,12,20,94,68,103,360.0,48.0,2,13,2,4,5,56,683,105.0,436.0
2eff2a03-54d4-46ba-890e-2bc3925548f3 2016,215,380,885,377,600,11,8,88,10,69,1,0,9,19,122,73,102,196.0,31.0,0,6,2,1,3,56,670,89.0,309.0
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2016,424,214,984,352,575,14,8,69,11,60,2,0,13,15,103,70,103,272.0,42.0,1,24,3,2,0,51,560,77.0,324.0
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2017,321,219,1015,388,594,13,7,91,18,40,0,0,7,12,121,82,71,156.0,27.0,0,24,0,3,3,64,694,77.0,254.0
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2017,251,240,880,352,534,7,6,83,9,52,0,0,11,19,110,57,89,185.0,30.0,2,23,3,2,2,55,629,75.0,301.0
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2017,259,455,900,338,568,8,9,120,11,55,0,0,8,14,103,62,95,155.0,28.0,0,23,0,1,4,58,641,73.0,250.0
97354895-8c77-4fd4-a860-32e62ea7382a 2017,205,356,887,402,621,9,4,98,12,43,0,0,6,8,95,67,93,299.0,42.0,2,20,3,0,2,73,682,64.0,302.0
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2017,321,175,986,357,588,4,3,113,11,52,2,0,4,18,90,73,100,278.0,41.0,0,23,2,0,4,63,665,84.0,384.0
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2017,322,512,967,401,584,14,7,86,7,34,0,0,6,27,143,73,77,197.0,34.0,0,9,2,0,3,61,645,97.0,354.0
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2017,202,419,869,348,579,15,12,121,22,45,0,1,9,15,101,83,99,280.0,41.0,0,13,1,0,4,61,667,90.0,389.0
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2017,202,461,814,318,523,11,6,108,16,42,0,0,6,14,137,80,104,393.0,56.0,1,27,2,1,1,55,612,98.0,481.0
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2017,330,242,949,345,546,11,5,103,13,40,0,0,10,8,101,69,73,177.0,25.0,2,5,3,0,4,37,619,69.0,281.0
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2017,185,163,818,306,523,17,11,126,21,41,0,0,8,16,94,81,105,356.0,55.0,0,15,2,0,3,57,633,83.0,335.0
82d2d380-3834-4938-835f-aec541e5ece7 2017,280,467,888,326,497,12,4,109,11,34,2,0,9,19,92,58,71,200.0,32.0,1,26,0,1,5,58,608,85.0,280.0
d26a1ca5-722d-4274-8f97-c92e49c96315 2017,283,493,903,393,627,11,8,132,12,35,0,0,1,18,95,74,90,272.0,43.0,0,21,0,0,1,61,620,67.0,275.0
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2017,228,426,814,310,506,8,7,96,10,41,0,0,5,25,93,62,77,175.0,33.0,0,6,3,0,6,51,586,78.0,293.0
1f6dcffb-9823-43cd-9ff4-e7a8466749b5 2017,261,179,960,344,543,13,9,121,18,34,0,0,9,12,156,79,85,261.0,43.0,0,28,1,0,2,84,699,87.0,309.0
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2017,213,411,864,345,595,11,8,96,16,34,0,0,6,9,111,86,69,179.0,31.0,0,5,1,1,6,44,651,78.0,273.0
1c1cec48-6352-4556-b789-35304c1a6ae1 2017,274,301,952,367,543,12,7,95,5,36,0,0,8,20,104,56,73,188.0,31.0,0,13,2,0,7,38,678,74.0,247.0
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2017,275,195,916,407,604,13,6,108,10,56,0,1,3,12,82,64,97,321.0,38.0,0,6,1,6,3,54,641,95.0,426.0
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2017,208,273,807,367,597,12,9,101,19,63,2,1,12,12,87,92,112,246.0,38.0,0,17,5,1,4,64,599,84.0,297.0
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2017,299,309,1008,373,599,11,6,78,13,36,0,0,10,20,106,73,64,161.0,27.0,1,19,1,1,2,71,709,68.0,219.0
22052ff7-c065-42ee-bc8f-c4691c50e624 2017,309,291,963,334,570,12,7,138,16,56,2,0,10,16,102,90,108,272.0,42.0,0,23,1,0,2,52,654,65.0,271.0
7b112545-38e6-483c-a55c-96cf6ee49cb8 2017,208,291,870,369,562,11,12,115,8,47,0,1,13,16,99,69,100,277.0,42.0,1,20,1,2,2,68,662,73.0,330.0
c5a59daa-53a7-4de0-851f-fb12be893e9e 2017,231,245,901,382,603,13,12,81,19,50,0,1,6,16,93,79,95,228.0,35.0,0,11,3,2,4,64,670,78.0,318.0
a20471b4-a8d9-40c7-95ad-90cc30e46932 2017,290,537,973,371,548,10,9,83,11,36,0,0,5,15,93,64,84,252.0,37.0,0,9,1,0,1,52,683,84.0,328.0
33405046-04ee-4058-a950-d606f8c30852 2017,264,187,822,322,568,5,4,106,14,45,0,2,1,14,70,71,84,251.0,37.0,1,25,0,1,2,56,558,77.0,338.0
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2017,224,210,930,390,575,15,9,83,13,49,0,1,13,22,137,56,79,137.0,22.0,0,15,3,2,5,63,706,65.0,224.0
e6aa13a4-0055-48a9-bc41-be28dc106929 2017,283,168,907,387,586,11,8,116,8,36,0,0,7,13,102,65,81,296.0,39.0,0,22,0,1,4,46,624,75.0,339.0
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2017,298,348,864,369,571,13,12,115,10,40,8,0,10,13,89,56,105,304.0,50.0,0,16,1,2,2,35,566,70.0,319.0
0d855753-ea21-4953-89f9-0e20aff9eb73 2017,247,369,870,351,579,15,5,93,20,35,0,0,6,12,97,102,81,287.0,42.0,0,7,1,2,3,54,623,78.0,344.0
f0e724b0-4cbf-495a-be47-013907608da9 2017,232,236,943,371,571,13,8,94,10,57,0,2,6,22,110,58,100,179.0,30.0,0,5,0,2,2,45,711,75.0,256.0
de760528-1dc0-416a-a978-b510d20692ff 2017,179,351,849,369,599,16,5,126,15,58,2,0,12,16,78,74,96,255.0,37.0,0,17,0,1,1,79,670,85.0,372.0
2eff2a03-54d4-46ba-890e-2bc3925548f3 2017,219,428,875,339,574,17,10,99,18,46,0,0,9,11,105,96,99,324.0,48.0,2,15,5,0,3,46,656,76.0,322.0
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2017,302,158,930,339,564,10,7,108,14,59,0,1,10,13,82,78,111,269.0,39.0,2,18,1,2,3,71,628,78.0,338.0
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2018,272,206,915,338,522,18,10,76,16,41,0,0,10,22,137,73,87,217.0,36.0,1,15,0,3,4,63,643,88.0,317.0
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2018,319,167,974,343,523,10,5,79,21,36,0,0,3,15,119,59,76,209.0,31.0,0,23,2,1,4,40,655,66.0,274.0
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2018,242,366,897,378,606,12,6,62,13,54,2,0,7,21,115,76,114,293.0,39.0,0,14,3,1,3,50,655,77.0,349.0
97354895-8c77-4fd4-a860-32e62ea7382a 2018,317,378,880,360,606,12,10,71,18,53,2,0,3,14,73,67,100,238.0,30.0,0,37,2,2,1,52,563,51.0,273.0
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2018,303,141,977,378,566,9,6,75,12,42,2,0,6,12,104,75,83,173.0,34.0,0,32,1,1,1,44,674,63.0,261.0
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2018,297,457,980,414,672,16,14,92,17,45,0,0,7,16,150,78,90,245.0,37.0,1,20,2,2,1,52,683,78.0,328.0
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2018,221,567,805,337,581,8,5,94,12,47,0,1,11,17,105,89,104,291.0,43.0,0,20,0,0,2,56,584,86.0,414.0
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2018,270,404,894,354,572,11,6,71,8,52,0,0,8,20,80,69,115,347.0,52.0,2,12,3,2,3,46,624,77.0,357.0
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2018,306,137,998,394,558,15,10,61,15,29,0,0,4,19,102,61,77,228.0,38.0,0,27,2,0,2,40,692,91.0,307.0
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2018,178,157,827,327,508,6,4,73,11,47,0,0,9,20,107,52,93,241.0,37.0,2,13,0,1,2,48,649,73.0,283.0
82d2d380-3834-4938-835f-aec541e5ece7 2018,252,298,912,401,593,19,11,94,15,43,0,0,7,9,134,90,92,310.0,43.0,0,26,1,1,5,49,660,80.0,356.0
d26a1ca5-722d-4274-8f97-c92e49c96315 2018,300,320,955,344,548,10,6,77,11,31,3,1,6,13,100,64,84,248.0,39.0,0,20,0,1,3,52,655,65.0,276.0
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2018,283,367,919,371,564,13,8,53,17,40,0,0,10,15,117,82,94,311.0,44.0,0,18,4,0,2,52,636,70.0,341.0
1f6dcffb-9823-43cd-9ff4-e7a8466749b5 2018,286,153,901,385,585,5,7,61,13,34,0,0,5,11,112,73,85,240.0,38.0,0,47,0,2,4,67,615,68.0,276.0
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2018,291,226,980,419,639,21,11,92,15,48,0,0,8,11,116,64,105,347.0,52.0,0,15,1,2,4,47,689,70.0,337.0
1c1cec48-6352-4556-b789-35304c1a6ae1 2018,245,154,862,325,514,5,3,54,14,26,1,0,6,17,114,73,48,80.0,13.0,0,33,1,0,2,53,617,53.0,163.0
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2018,278,151,916,373,569,14,11,77,9,50,0,0,12,12,112,66,98,229.0,39.0,0,25,0,0,0,43,638,69.0,285.0
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2018,205,182,856,428,645,12,6,75,10,65,2,0,10,15,102,68,133,311.0,44.0,0,19,0,0,5,47,651,86.0,379.0
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2018,291,302,981,362,562,9,5,73,16,49,0,0,4,14,108,76,84,185.0,30.0,0,21,0,2,2,53,690,71.0,249.0
22052ff7-c065-42ee-bc8f-c4691c50e624 2018,292,257,945,357,533,18,10,70,15,33,2,0,11,12,106,60,94,297.0,46.0,0,21,0,1,3,36,653,67.0,308.0
7b112545-38e6-483c-a55c-96cf6ee49cb8 2018,193,187,855,387,621,17,8,93,27,41,1,0,8,20,81,98,100,339.0,50.0,1,7,0,1,4,39,662,86.0,389.0
c5a59daa-53a7-4de0-851f-fb12be893e9e 2018,194,211,821,307,502,9,5,54,7,28,0,1,5,12,83,48,77,298.0,43.0,0,15,0,0,3,59,627,68.0,347.0
a20471b4-a8d9-40c7-95ad-90cc30e46932 2018,263,386,927,344,527,9,7,78,7,24,0,0,4,9,130,59,74,322.0,44.0,0,5,1,1,6,60,664,72.0,389.0
33405046-04ee-4058-a950-d606f8c30852 2018,267,192,906,312,479,7,7,80,12,20,1,0,4,12,76,63,94,361.0,50.0,0,19,0,1,2,50,639,88.0,444.0
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2018,190,173,891,406,559,11,6,39,9,42,0,0,11,29,99,56,93,232.0,38.0,0,12,0,1,4,55,701,85.0,349.0
e6aa13a4-0055-48a9-bc41-be28dc106929 2018,299,155,945,379,592,8,3,71,15,30,0,0,10,13,113,72,77,255.0,37.0,0,27,1,0,2,53,646,58.0,276.0
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2018,287,237,877,335,532,13,8,69,13,25,0,0,10,13,105,71,71,215.0,35.0,0,15,0,0,1,31,590,82.0,303.0
0d855753-ea21-4953-89f9-0e20aff9eb73 2018,245,275,881,385,597,19,12,84,12,45,0,0,6,12,87,69,98,321.0,49.0,0,11,2,0,1,45,636,83.0,393.0
f0e724b0-4cbf-495a-be47-013907608da9 2018,234,191,904,344,520,9,5,95,2,44,0,0,12,22,114,39,92,227.0,37.0,1,8,0,2,4,51,670,81.0,293.0
de760528-1dc0-416a-a978-b510d20692ff 2018,240,285,982,345,505,13,9,68,7,38,0,0,11,22,125,52,90,333.0,49.0,0,6,1,0,1,67,742,99.0,360.0
2eff2a03-54d4-46ba-890e-2bc3925548f3 2018,265,235,889,346,535,12,11,93,18,48,0,0,9,11,93,68,100,326.0,41.0,2,9,2,1,2,38,624,72.0,338.0
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2018,231,158,842,361,537,16,12,73,12,57,2,0,9,7,98,64,109,261.0,43.0,0,25,1,2,3,63,611,69.0,302.0
