Key,Kick Off End Zone,Kick Off Inside 20,Kick Off Kick Offs,Kick Off Onside Attempts,Kick Off Onside Successes,Kick Off OOB,Kick Off Ret Yds,Kick Off Squib Kicks,Kick Off Touchbacks,Kick Off Yds
a20471b4-a8d9-40c7-95ad-90cc30e46932 2013,33,15,93,1,1,1,1577,0,30,5847
33405046-04ee-4058-a950-d606f8c30852 2013,29,11,88,2,0,1,1113,0,44,5494
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2013,16,16,69,4,2,1,452,0,41,4294
e6aa13a4-0055-48a9-bc41-be28dc106929 2013,14,6,79,6,3,0,571,0,50,4836
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2013,13,7,82,1,0,0,407,0,63,5305
0d855753-ea21-4953-89f9-0e20aff9eb73 2013,21,10,87,2,2,0,830,0,52,5572
f0e724b0-4cbf-495a-be47-013907608da9 2013,27,23,92,0,0,0,1104,0,38,5949
de760528-1dc0-416a-a978-b510d20692ff 2013,38,13,87,0,0,0,1298,0,33,5680
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2013,35,18,94,0,0,1,1056,0,48,6118
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2014,19,14,85,3,0,1,639,0,49,5323
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2014,33,15,85,1,0,1,1237,0,37,5448
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2014,30,20,74,1,0,0,1110,0,21,4655
97354895-8c77-4fd4-a860-32e62ea7382a 2014,23,16,99,0,0,1,955,0,53,6328
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2014,37,15,81,1,0,0,1123,0,37,5316
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2014,25,16,71,0,0,0,695,0,40,4679
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2014,21,14,88,2,0,1,601,0,60,5704
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2014,30,12,89,3,0,1,1249,0,32,5552
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2014,21,15,99,3,3,0,587,0,70,6335
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2014,16,8,65,5,2,1,516,0,37,3955
82d2d380-3834-4938-835f-aec541e5ece7 2014,33,12,87,2,0,0,1169,0,40,5680
d26a1ca5-722d-4274-8f97-c92e49c96315 2014,20,5,65,3,0,0,855,0,31,4086
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2014,22,10,99,0,0,0,905,0,64,6437
