Key,Interceptions,Interception Return Yards,Interceptions Returned
0d855753-ea21-4953-89f9-0e20aff9eb73 2014,12,120,12
f0e724b0-4cbf-495a-be47-013907608da9 2014,23,315,23
de760528-1dc0-416a-a978-b510d20692ff 2014,18,321,18
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2014,13,319,13
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2015,17,253,17
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2015,13,184,13
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2015,18,191,18
97354895-8c77-4fd4-a860-32e62ea7382a 2015,12,176,12
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2015,21,202,21
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2015,11,210,11
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2015,6,51,6
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2015,17,282,17
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2015,17,196,17
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2015,9,120,9
82d2d380-3834-4938-835f-aec541e5ece7 2015,14,180,14
d26a1ca5-722d-4274-8f97-c92e49c96315 2015,11,164,11
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2015,14,321,14
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2015,22,477,22
1c1cec48-6352-4556-b789-35304c1a6ae1 2015,14,73,14
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2015,8,62,8
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2015,15,280,15
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2015,15,206,15
22052ff7-c065-42ee-bc8f-c4691c50e624 2015,11,181,11
7b112545-38e6-483c-a55c-96cf6ee49cb8 2015,8,103,8
c5a59daa-53a7-4de0-851f-fb12be893e9e 2015,9,103,9
a20471b4-a8d9-40c7-95ad-90cc30e46932 2015,16,198,16
33405046-04ee-4058-a950-d606f8c30852 2015,13,215,13
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2015,11,93,11
e6aa13a4-0055-48a9-bc41-be28dc106929 2015,15,220,15
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2015,24,301,24
0d855753-ea21-4953-89f9-0e20aff9eb73 2015,9,87,9
f0e724b0-4cbf-495a-be47-013907608da9 2015,9,125,9
de760528-1dc0-416a-a978-b510d20692ff 2015,19,263,19
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2015,14,205,14
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2016,12,207,12
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2016,16,186,16
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2016,8,141,8
97354895-8c77-4fd4-a860-32e62ea7382a 2016,13,109,13
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2016,17,138,17
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2016,10,146,10
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2016,18,178,18
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2016,13,133,13
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2016,8,100,8
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2016,7,104,7
82d2d380-3834-4938-835f-aec541e5ece7 2016,11,132,11
d26a1ca5-722d-4274-8f97-c92e49c96315 2016,12,68,12
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2016,14,367,14
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2016,18,271,18
1c1cec48-6352-4556-b789-35304c1a6ae1 2016,16,147,16
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2016,9,75,9
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2016,16,207,16
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2016,17,174,17
22052ff7-c065-42ee-bc8f-c4691c50e624 2016,13,186,13
7b112545-38e6-483c-a55c-96cf6ee49cb8 2016,8,73,8
c5a59daa-53a7-4de0-851f-fb12be893e9e 2016,10,96,10
a20471b4-a8d9-40c7-95ad-90cc30e46932 2016,17,209,17
33405046-04ee-4058-a950-d606f8c30852 2016,14,253,14
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2016,17,234,17
e6aa13a4-0055-48a9-bc41-be28dc106929 2016,12,279,12
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2016,17,204,17
0d855753-ea21-4953-89f9-0e20aff9eb73 2016,9,109,9
f0e724b0-4cbf-495a-be47-013907608da9 2016,10,96,10
de760528-1dc0-416a-a978-b510d20692ff 2016,14,263,14
2eff2a03-54d4-46ba-890e-2bc3925548f3 2016,10,71,10
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2016,11,72,11
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2017,18,275,18
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2017,9,99,9
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2017,11,151,11
97354895-8c77-4fd4-a860-32e62ea7382a 2017,12,114,12
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2017,11,339,11
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2017,7,97,7
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2017,22,385,22
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2017,16,184,16
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2017,13,215,13
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2017,21,294,21
82d2d380-3834-4938-835f-aec541e5ece7 2017,11,144,11
d26a1ca5-722d-4274-8f97-c92e49c96315 2017,12,154,12
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2017,10,237,10
1f6dcffb-9823-43cd-9ff4-e7a8466749b5 2017,18,302,18
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2017,16,201,16
1c1cec48-6352-4556-b789-35304c1a6ae1 2017,5,10,5
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2017,10,98,10
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2017,19,278,19
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2017,13,161,13
22052ff7-c065-42ee-bc8f-c4691c50e624 2017,16,194,16
7b112545-38e6-483c-a55c-96cf6ee49cb8 2017,8,253,8
c5a59daa-53a7-4de0-851f-fb12be893e9e 2017,19,253,19
a20471b4-a8d9-40c7-95ad-90cc30e46932 2017,11,54,11
33405046-04ee-4058-a950-d606f8c30852 2017,14,200,14
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2017,13,218,13
e6aa13a4-0055-48a9-bc41-be28dc106929 2017,8,108,8
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2017,10,78,10
0d855753-ea21-4953-89f9-0e20aff9eb73 2017,20,192,20
f0e724b0-4cbf-495a-be47-013907608da9 2017,10,185,10
de760528-1dc0-416a-a978-b510d20692ff 2017,15,258,15
2eff2a03-54d4-46ba-890e-2bc3925548f3 2017,18,401,18
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2017,14,212,14
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2018,16,133,16
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2018,21,321,21
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2018,13,318,13
97354895-8c77-4fd4-a860-32e62ea7382a 2018,18,156,18
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2018,12,222,12
