Key,Punt Returns Avg Yards,Punt Returns Fair Catches,Punt Returns Longest,Punt Returns Longest TD,Punt Returns Returns,Punt Returns Touchdowns,Punt Returns Yards
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2014,6.704,25,37,0,27,0,181
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2014,9.125,23,45,0,32,0,292
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2014,10.031,16,71,71,32,1,321
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2014,6.933,25,22,0,45,0,312
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2014,7.135,15,23,0,37,0,264
82d2d380-3834-4938-835f-aec541e5ece7 2014,6.117999999999999,28,21,0,34,0,208
d26a1ca5-722d-4274-8f97-c92e49c96315 2014,6.9,18,48,0,30,0,207
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2014,7.22,28,22,0,41,0,296
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2014,12.1,4,81,81,50,1,605
1c1cec48-6352-4556-b789-35304c1a6ae1 2014,7.053999999999999,17,27,0,37,0,261
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2014,9.167,13,38,0,30,0,275
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2014,12.950999999999999,21,82,82,41,2,531
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2014,7.724,27,25,0,29,0,224
22052ff7-c065-42ee-bc8f-c4691c50e624 2014,7.172000000000001,27,37,0,29,0,208
7b112545-38e6-483c-a55c-96cf6ee49cb8 2014,5.19,13,22,0,21,0,109
c5a59daa-53a7-4de0-851f-fb12be893e9e 2014,8.875,37,28,0,32,0,284
a20471b4-a8d9-40c7-95ad-90cc30e46932 2014,11.482999999999999,12,75,75,29,2,333
33405046-04ee-4058-a950-d606f8c30852 2014,11.0,26,35,0,27,0,297
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2014,10.825999999999999,17,53,0,23,0,249
e6aa13a4-0055-48a9-bc41-be28dc106929 2014,13.277999999999999,11,68,62,18,1,239
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2014,7.9670000000000005,26,79,79,30,1,239
0d855753-ea21-4953-89f9-0e20aff9eb73 2014,7.053,26,32,0,19,0,134
f0e724b0-4cbf-495a-be47-013907608da9 2014,6.486000000000001,13,23,0,35,0,227
de760528-1dc0-416a-a978-b510d20692ff 2014,10.654000000000002,24,71,71,26,1,277
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2014,7.0,28,38,0,36,0,252
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2015,7.484,22,27,0,31,0,232
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2015,10.341,16,69,69,41,1,424
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2015,8.612,22,58,0,49,0,422
97354895-8c77-4fd4-a860-32e62ea7382a 2015,10.064,18,82,0,47,0,473
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2015,8.14,12,35,0,43,0,350
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2015,11.207,10,78,78,29,1,325
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2015,11.25,15,82,82,40,1,450
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2015,8.25,17,71,71,28,1,231
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2015,6.872000000000001,28,33,0,39,0,268
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2015,11.645,16,73,73,31,1,361
82d2d380-3834-4938-835f-aec541e5ece7 2015,7.25,23,20,0,52,0,377
d26a1ca5-722d-4274-8f97-c92e49c96315 2015,8.079,17,37,0,38,0,307
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2015,9.759,26,83,83,29,1,283
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2015,7.888999999999999,9,37,0,45,0,355
1c1cec48-6352-4556-b789-35304c1a6ae1 2015,6.476,13,22,0,42,0,272
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2015,5.545,21,28,0,33,0,183
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2015,11.359000000000002,18,89,89,39,2,443
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2015,10.193999999999999,9,80,80,36,1,367
22052ff7-c065-42ee-bc8f-c4691c50e624 2015,4.781000000000001,17,16,0,32,0,153
7b112545-38e6-483c-a55c-96cf6ee49cb8 2015,7.806,22,34,0,31,0,242
c5a59daa-53a7-4de0-851f-fb12be893e9e 2015,6.9670000000000005,22,28,0,30,0,209
a20471b4-a8d9-40c7-95ad-90cc30e46932 2015,5.3870000000000005,23,16,0,31,0,167
33405046-04ee-4058-a950-d606f8c30852 2015,9.147,15,65,65,34,1,311
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2015,9.931000000000001,14,58,0,29,0,288
e6aa13a4-0055-48a9-bc41-be28dc106929 2015,9.443999999999999,20,41,0,27,0,255
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2015,9.4,25,37,0,30,0,282
0d855753-ea21-4953-89f9-0e20aff9eb73 2015,8.594,13,74,74,32,1,275
f0e724b0-4cbf-495a-be47-013907608da9 2015,7.5329999999999995,23,37,0,30,0,226
de760528-1dc0-416a-a978-b510d20692ff 2015,7.41,22,38,0,39,0,289
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2015,10.714,22,66,57,42,1,450
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2016,11.214,17,43,0,28,0,314
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2016,9.111,18,74,74,36,1,328
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2016,5.519,28,27,0,27,0,149
97354895-8c77-4fd4-a860-32e62ea7382a 2016,6.867000000000001,18,30,0,45,0,309
