Key,Season,Team ID,TD Fumble Returns,TD Interception Return,TD Kick Return,TD Other,TD Pass,TD Punt Return,TD Rush,TD Total,TD Total Return,Rush Attempts,Rush Avg Yards,Rush Broken Tackles,Rush Kneel Downs,Rush Longest,Rush Longest TD,Rush Red Zone Attempts,Rush Scrambles,Rush Tackles for Loss,Rush Tackles for Loss Yards,Rush Touchdowns,Rush Yards,Rush Yards After Contact,Rec Air Yards,Rec Avg Yards,Rec Broken Tackles,Rec Catchable Passes,Rec Dropped Passes,Rec Longest,Rec Longest TD,Rec Receptions,Rec Red Zone Targets,Rec Targets,Rec Touchdowns,Rec Yards,Rec Yards After Catch,Rec Yards After Contact,Punt Attempts,Punt Avg Hang Time,Punt Avg Net Yards,Punt Avg Yards,Punt Blocked,Punt Hangtime,Punt Inside 20,Punt Longest,Punt Net Yards,Punt Return Yards,Punt Touchbacks,Punt Yards,Punt Returns Avg Yards,Punt Returns Fair Catches,Punt Returns Longest,Punt Returns Longest TD,Punt Returns Returns,Punt Returns Touchdowns,Punt Returns Yards,Penalties,Penalty Yards,Pass Air Yds,Pass Attempts,Pass Avg Pocket Time,Pass Poor Throws,Passing Avg Yards,Passing Blitzes,Passing Completion Pct,Passing Completions,Passing Defended Passes,Passing Dropped Passes,Passing Gross Yards,Passing Hurries,Passing Interceptions,Passing Knockdowns,Passing Longest,Passing Longest TD,Passing Net Yds,Passing Pocket Time,Passing Rating,Passing Redzone Attempts,Passing Sack Yds,Passing Sacks,Passing Spikes,Passing Throw Away,Passing Touchdowns,Passing Yards,Kick Return Yards,Kick Return Avg Yards,Kick Return Fair Catches,Kick Return Longest,Kick Return Returns,Kick Return Touchdowns,Kick Off End Zone,Kick Off Inside 20,Kick Off Kick Offs,Kick Off Onside Attempts,Kick Off Onside Successes,Kick Off OOB,Kick Off Ret Yds,Kick Off Squib Kicks,Kick Off Touchbacks,Kick Off Yds,Interceptions,Interception Return Yards,Interceptions Returned,Int Ret Avg Yds,Int Ret Longest,Int Ret Longest TD,Int Ret Returns,Int Ret Touchdowns,Int Ret Yds,Games Played,Fumble End Zone Touch Downs,Forced Fumbles,Fumbles,Lost Fumbles,Fumbles Opponent Recovery,Fumbles Opponent Recovery Touchdowns,Fumbles Opponent Recovery Yards,Fumbles Out of Bounds,Fumbles Own Recovery,Fumbles Own Recovery Touchdowns,Fumbles Own Recovery Yards,FD Pass,FD Penalty,FD Rush,FD Total,Field Goal Attempts,Field Goal Avg Yards,Field Goal Blocked,Field Goal Longest,Field Goal Made,Field Goal Yards,Extra Pts Attempts,Extra Pts Blocked,Extra Pts Made,3D Attempt,3D Successes,3D Pct,4D Attempt,4D Successes,4D Pct,Goal to Go Attempts,Goal to Go Successes,Goal to Go Pct,RedZone Attempts,RedZone Successes,RedZone Pct,Def Assisted Tackles,Def Blitzes,Def Combined Tackles,Def Defensive Completions,Def Defensive Targets,Def Forced Fumbles,Def Fumble Recoveries,Def Hurries,Def Interceptions,Def Knockdowns,Def Misc Assists,Def Misc Forced Fumbles,Def Misc Fumble Recoveries,Def Misc Tackles,Def Missed Tackles,Def Passes Defended,Def QB Hits,Def Sack Yards,Def Sacks,Def Safeties,Def Special Team Assists,Def Special Team Bocks,Def Special Team Forced Fumbles,Def Special Team Fumble Recoveries,Def Special Team Tackles,Def Tackles,Def Tackles for Loss,Def Tackles for Loss Yards,Converse Defense Attempts,Converse Defense Success,Converse Pass Attempts,Converse Pass Success,Converse Rush Attempts,Converse Rush Success,Converse Turnover Success
82d2d380-3834-4938-835f-aec541e5ece7 2012,2012,82d2d380-3834-4938-835f-aec541e5ece7,0,3,0,2,22,0,19,46,3,508,4.178999999999999,0,17,81,81,5,0,55,-118,19,2123,1201,2259,11.429,0,0,34,60,60,354,4,549,22,4046,1787,0,88,4.52,40.534,47.159,0,397.8,28,66,3567,483,5,4150,10.895,16,71,0,38,0,414,108,873,2259,554,0,0,7.303,163,63.898999999999994,354,0,34,4046,0,13,0,60,60,3830,0.0,89,4,216,28,0,0,22,3830,953,21.659000000000002,0,0,44,0,33,11,92,2,0,0,1595,0,28,5690,15,333,15,22.2,86,63,15,3,333,16,0,17,12,4,14,0,40,1,7,0,-2,205,22,114,341,38,29.784000000000002,1,51,31,1102,45,0,45,221,83,37.556999999999995,7,4,57.143,33,24,72.727,57,32,56.14,202,0,809,307,524,16,14,149,15,65,0,0,6,15,61,116,110,269.0,44.0,1,29,2,1,1,98,607,88.0,15.0,0,0,0,0,0,0,0
d26a1ca5-722d-4274-8f97-c92e49c96315 2012,2012,d26a1ca5-722d-4274-8f97-c92e49c96315,1,4,1,0,17,3,10,36,9,378,4.463,0,7,94,94,6,0,50,-161,10,1687,736,2185,11.248,0,0,40,71,71,318,5,537,17,3577,1392,0,83,4.396,41.358000000000004,47.593,2,356.06,30,71,3350,405,5,3855,15.323,17,81,81,31,3,475,106,847,2179,540,0,0,6.624,224,58.888999999999996,318,0,40,3577,0,16,0,71,71,3323,0.0,76,5,254,39,0,0,17,3323,1489,23.635,0,105,63,1,21,6,74,3,0,2,860,0,37,4583,19,358,19,18.842,79,79,19,4,358,16,0,13,21,12,5,1,78,3,6,0,-6,166,24,70,260,31,29.467,1,53,25,884,35,0,35,217,83,38.249,15,5,33.333,11,7,63.636,36,18,50.0,310,0,1008,371,529,13,6,157,19,58,0,0,4,18,130,69,88,241.0,39.0,1,21,2,0,1,63,698,82.0,0.0,0,0,1,1,0,0,0
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2012,2012,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,1,5,1,0,37,1,12,57,8,481,3.8089999999999997,0,25,31,7,19,0,47,-93,12,1832,984,2779,11.619000000000002,0,0,40,71,71,402,14,584,37,4671,1892,0,67,4.551,42.119,46.343,0,304.9,27,67,2822,203,4,3105,9.271,20,76,76,48,1,445,100,805,2796,588,0,0,7.944,216,68.367,402,0,39,4671,0,11,0,71,71,4534,0.0,105,15,137,21,0,0,37,4534,646,23.070999999999998,0,105,28,1,17,7,99,0,0,0,751,0,65,6314,16,347,16,21.688000000000002,98,98,16,5,347,16,0,19,22,14,8,1,77,2,6,0,0,232,36,112,380,32,27.781,0,53,26,889,55,0,55,213,96,45.07,5,3,60.0,37,28,75.676,66,39,59.091,246,0,868,318,513,18,7,156,16,63,0,0,2,16,60,75,97,364.0,52.0,2,10,1,1,5,62,622,83.0,0.0,0,0,1,1,1,0,0
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2012,2012,6680d28d-d4d2-49f6-aace-5292d3ec02c2,1,0,0,0,8,0,9,18,1,500,4.79,0,6,91,91,5,0,54,-139,9,2395,1058,1676,10.758,0,0,34,57,33,273,6,466,8,2937,1261,0,83,4.457,40.783,46.831,0,369.9,45,71,3385,362,7,3887,8.86,8,27,0,43,0,381,92,733,1676,475,0,0,6.183,165,57.474,273,0,34,2937,0,20,0,57,33,2713,0.0,63,6,224,40,0,0,8,2713,1059,21.612,0,0,49,0,22,6,58,2,0,2,690,0,27,3579,7,119,7,17.0,32,0,7,0,119,16,0,14,26,17,6,1,80,1,8,0,-12,144,24,118,286,34,30.941,0,52,28,1052,17,0,17,212,70,33.019,15,7,46.667,13,7,53.846000000000004,37,10,27.026999999999997,142,0,815,275,424,11,3,88,7,24,0,0,5,24,84,65,51,161.0,27.0,1,2,1,3,6,53,673,71.0,0.0,0,0,1,0,0,0,0
1c1cec48-6352-4556-b789-35304c1a6ae1 2012,2012,1c1cec48-6352-4556-b789-35304c1a6ae1,0,0,0,0,24,0,4,28,0,376,3.7769999999999997,0,4,64,64,5,0,47,-127,4,1420,933,2265,11.415,0,0,42,64,64,376,6,624,24,4292,2027,0,82,4.216,39.457,47.235,1,341.5,21,68,3196,450,9,3826,5.088,14,47,0,34,0,173,108,939,2265,629,0,0,6.824,207,59.777,376,0,42,4292,0,16,0,64,64,4084,0.0,82,6,208,27,0,0,24,4084,935,22.261999999999997,0,0,42,0,23,11,73,7,0,2,868,0,38,4473,11,91,11,8.273,24,0,11,0,91,16,0,9,22,10,8,0,4,1,11,0,-53,200,28,72,300,34,32.176,0,57,31,1094,25,0,25,220,77,35.0,16,4,25.0,22,12,54.545,42,18,42.857,250,0,896,346,488,8,6,119,11,80,4,0,9,18,96,55,85,185.0,25.0,0,10,3,1,4,71,646,77.0,0.0,0,0,3,2,0,0,0
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2012,2012,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,2,1,0,0,29,1,8,41,4,355,3.563,0,14,48,22,5,0,40,-101,8,1265,743,3016,11.502,0,0,40,85,85,434,6,650,29,4992,1976,0,69,4.257,39.705999999999996,44.691,1,289.5,28,64,2700,279,3,3039,12.353,13,78,78,34,1,420,117,853,3016,658,0,0,7.587000000000001,231,65.957,434,0,40,4992,0,19,0,85,85,4729,0.0,91,6,263,36,0,0,29,4729,741,20.583000000000002,0,0,36,0,31,19,84,5,1,1,1102,0,30,5089,7,147,7,21.0,47,47,7,1,147,16,1,14,20,10,9,2,56,0,10,0,-12,237,25,76,338,31,33.903,0,51,29,1051,37,0,37,212,93,43.868,11,8,72.727,19,11,57.895,49,25,51.02,318,0,921,317,471,13,7,140,7,47,2,0,6,18,95,54,77,211.0,34.0,0,27,0,1,6,66,603,59.0,0.0,0,0,3,2,1,1,0
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2012,2012,386bdbf9-9eea-4869-bb9a-274b0bc66e80,0,0,0,0,18,1,10,29,1,413,4.538,0,6,65,65,6,0,52,-146,10,1874,1031,2260,11.104000000000001,0,0,31,77,77,367,9,598,18,4075,1815,0,72,4.27,37.38,46.986000000000004,1,303.2000000000001,15,66,2654,542,7,3336,10.333,26,98,98,30,1,310,98,813,2245,618,0,0,6.1339999999999995,234,59.385,367,0,31,4075,0,15,0,77,77,3791,0.0,78,10,284,48,0,0,18,3791,1259,20.983,0,0,60,0,26,13,70,3,1,0,1012,0,26,4405,8,31,8,3.875,14,0,8,0,31,16,0,13,37,22,5,0,4,2,13,0,-59,190,31,111,332,31,30.258000000000003,0,49,27,938,26,0,25,222,83,37.387,24,14,58.333,28,13,46.428999999999995,50,22,44.0,178,0,839,290,454,9,4,143,8,47,1,0,13,22,105,72,64,198.0,30.0,0,11,1,4,1,81,661,78.0,0.0,0,0,3,0,0,0,0
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2012,2012,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,1,1,1,0,26,0,18,47,3,409,4.553,0,13,52,52,15,0,30,-54,18,1862,1050,2561,12.282,0,0,32,80,80,323,14,535,26,3967,1406,0,58,4.196000000000001,39.379,47.534,0,243.37,22,68,2284,353,6,2757,7.2,19,18,0,20,0,144,72,578,2561,539,0,0,7.36,170,59.926,323,0,32,3967,0,15,0,80,80,3825,0.0,87,14,142,20,0,0,26,3825,1648,26.159000000000002,0,97,63,1,43,19,94,1,0,0,1662,0,24,6010,21,496,21,23.619,70,28,21,1,496,16,0,16,13,6,14,1,105,0,7,0,1,187,37,103,327,39,29.395,1,50,33,1117,46,0,46,192,78,40.625,10,5,50.0,33,24,72.727,62,34,54.839,279,0,984,340,496,11,9,154,21,45,6,0,5,16,83,67,64,231.0,33.0,0,23,0,5,7,104,705,69.0,0.0,0,0,0,0,1,1,0
22052ff7-c065-42ee-bc8f-c4691c50e624 2012,2012,22052ff7-c065-42ee-bc8f-c4691c50e624,3,3,0,0,24,0,22,52,6,519,5.22,0,10,76,76,12,0,43,-111,22,2709,1407,2023,12.597999999999999,0,0,37,88,88,291,3,434,24,3666,1643,0,70,4.465,38.294000000000004,43.882,2,303.6,22,61,2604,320,3,2984,9.306000000000001,7,64,0,36,0,335,116,985,2023,442,0,0,8.294,111,65.837,291,0,37,3666,0,8,0,88,88,3422,0.0,102,4,244,33,0,0,24,3422,892,23.474,0,0,38,0,24,12,91,2,0,1,1264,0,33,5694,21,257,21,12.238,49,28,21,3,257,16,0,12,26,6,9,1,60,3,17,2,-2,171,26,144,341,30,31.7,0,50,24,951,51,1,50,190,68,35.789,17,12,70.58800000000001,31,26,83.87100000000001,53,32,60.376999999999995,345,0,946,391,588,12,9,169,21,58,0,0,14,13,114,93,77,202.0,32.0,0,24,1,0,3,82,601,61.0,0.0,0,0,0,0,1,1,0
7b112545-38e6-483c-a55c-96cf6ee49cb8 2012,2012,7b112545-38e6-483c-a55c-96cf6ee49cb8,1,8,0,1,21,0,11,42,9,470,4.191,0,19,46,46,5,0,39,-80,11,1970,1035,2067,11.491,0,0,37,60,60,287,10,484,21,3298,1231,0,81,4.265,39.444,41.963,0,345.5,34,64,3195,84,6,3399,7.568,8,44,0,44,0,333,102,811,2067,485,0,0,6.8,174,59.175,287,0,37,3298,0,16,0,60,60,2999,0.0,80,10,299,44,0,0,21,2999,929,19.766,0,0,47,0,28,16,86,1,0,0,767,0,49,5596,24,488,24,20.333,74,74,24,8,488,16,0,26,20,8,20,1,26,0,12,0,-6,163,30,99,292,33,31.233,3,54,27,937,40,0,40,219,80,36.53,13,5,38.461999999999996,23,12,52.174,46,23,50.0,204,0,846,348,557,23,16,177,24,32,0,0,9,20,82,96,66,289.0,41.0,0,22,2,3,7,49,642,80.0,0.0,0,0,1,0,1,1,0
