Key,Penalties,Penalty Yards
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2015,134,1090
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2015,96,787
97354895-8c77-4fd4-a860-32e62ea7382a 2015,96,859
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2015,111,917
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2015,120,1083
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2015,122,1153
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2015,94,868
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2015,108,931
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2015,105,880
82d2d380-3834-4938-835f-aec541e5ece7 2015,107,910
d26a1ca5-722d-4274-8f97-c92e49c96315 2015,93,779
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2015,115,1063
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2015,104,878
1c1cec48-6352-4556-b789-35304c1a6ae1 2015,139,1102
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2015,112,879
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2015,104,819
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2015,102,779
22052ff7-c065-42ee-bc8f-c4691c50e624 2015,105,827
7b112545-38e6-483c-a55c-96cf6ee49cb8 2015,99,909
c5a59daa-53a7-4de0-851f-fb12be893e9e 2015,104,930
a20471b4-a8d9-40c7-95ad-90cc30e46932 2015,105,906
33405046-04ee-4058-a950-d606f8c30852 2015,88,797
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2015,143,1195
e6aa13a4-0055-48a9-bc41-be28dc106929 2015,100,969
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2015,103,887
0d855753-ea21-4953-89f9-0e20aff9eb73 2015,130,1112
f0e724b0-4cbf-495a-be47-013907608da9 2015,113,823
de760528-1dc0-416a-a978-b510d20692ff 2015,94,758
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2015,117,1007
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2016,112,960
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2016,125,1141
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2016,93,837
97354895-8c77-4fd4-a860-32e62ea7382a 2016,93,819
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2016,88,726
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2016,95,736
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2016,125,1111
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2016,113,1068
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2016,102,883
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2016,129,1178
82d2d380-3834-4938-835f-aec541e5ece7 2016,87,868
d26a1ca5-722d-4274-8f97-c92e49c96315 2016,110,1012
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2016,119,985
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2016,109,848
1c1cec48-6352-4556-b789-35304c1a6ae1 2016,147,1251
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2016,105,879
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2016,113,945
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2016,88,857
22052ff7-c065-42ee-bc8f-c4691c50e624 2016,110,909
7b112545-38e6-483c-a55c-96cf6ee49cb8 2016,110,967
c5a59daa-53a7-4de0-851f-fb12be893e9e 2016,100,861
a20471b4-a8d9-40c7-95ad-90cc30e46932 2016,100,827
33405046-04ee-4058-a950-d606f8c30852 2016,103,882
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2016,109,926
e6aa13a4-0055-48a9-bc41-be28dc106929 2016,104,847
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2016,98,850
0d855753-ea21-4953-89f9-0e20aff9eb73 2016,107,969
f0e724b0-4cbf-495a-be47-013907608da9 2016,99,831
de760528-1dc0-416a-a978-b510d20692ff 2016,104,889
2eff2a03-54d4-46ba-890e-2bc3925548f3 2016,126,1091
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2016,117,970
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2017,98,872
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2017,137,1154
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2017,119,1035
97354895-8c77-4fd4-a860-32e62ea7382a 2017,95,835
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2017,110,1027
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2017,110,924
