Key,Season,Team ID,TD Fumble Returns,TD Interception Return,TD Kick Return,TD Other,TD Pass,TD Punt Return,TD Rush,TD Total,TD Total Return
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2013,2013,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,1,1,0,0,16,0,7,25,2
82d2d380-3834-4938-835f-aec541e5ece7 2013,2013,82d2d380-3834-4938-835f-aec541e5ece7,0,1,0,0,19,1,7,28,2
d26a1ca5-722d-4274-8f97-c92e49c96315 2013,2013,d26a1ca5-722d-4274-8f97-c92e49c96315,2,1,0,0,22,0,16,41,3
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2013,2013,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,1,1,1,1,55,1,16,76,4
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2013,2013,6680d28d-d4d2-49f6-aace-5292d3ec02c2,2,5,2,0,24,2,17,52,11
1c1cec48-6352-4556-b789-35304c1a6ae1 2013,2013,1c1cec48-6352-4556-b789-35304c1a6ae1,2,1,0,1,17,0,16,37,3
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2013,2013,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,3,2,0,0,33,1,12,51,6
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2013,2013,386bdbf9-9eea-4869-bb9a-274b0bc66e80,1,1,0,0,32,0,19,53,2
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2013,2013,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,0,2,0,1,18,0,11,32,2
22052ff7-c065-42ee-bc8f-c4691c50e624 2013,2013,22052ff7-c065-42ee-bc8f-c4691c50e624,1,4,0,0,20,0,14,39,5
7b112545-38e6-483c-a55c-96cf6ee49cb8 2013,2013,7b112545-38e6-483c-a55c-96cf6ee49cb8,1,5,0,0,32,1,13,52,7
c5a59daa-53a7-4de0-851f-fb12be893e9e 2013,2013,c5a59daa-53a7-4de0-851f-fb12be893e9e,1,1,1,0,29,1,15,48,4
a20471b4-a8d9-40c7-95ad-90cc30e46932 2013,2013,a20471b4-a8d9-40c7-95ad-90cc30e46932,3,0,0,0,25,1,17,46,4
33405046-04ee-4058-a950-d606f8c30852 2013,2013,33405046-04ee-4058-a950-d606f8c30852,1,0,2,0,18,1,23,45,4
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2013,2013,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,0,3,0,0,22,0,6,31,3
e6aa13a4-0055-48a9-bc41-be28dc106929 2013,2013,e6aa13a4-0055-48a9-bc41-be28dc106929,1,2,0,0,26,0,11,40,3
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2013,2013,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,0,4,0,0,24,0,14,42,4
0d855753-ea21-4953-89f9-0e20aff9eb73 2013,2013,0d855753-ea21-4953-89f9-0e20aff9eb73,0,0,0,0,39,0,10,49,0
f0e724b0-4cbf-495a-be47-013907608da9 2013,2013,f0e724b0-4cbf-495a-be47-013907608da9,3,2,0,0,21,0,18,44,5
de760528-1dc0-416a-a978-b510d20692ff 2013,2013,de760528-1dc0-416a-a978-b510d20692ff,1,4,0,0,24,0,12,41,5
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2013,2013,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,1,3,0,0,27,0,14,45,4
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2014,2014,768c92aa-75ff-4a43-bcc0-f2798c2e1724,1,0,1,1,23,1,7,34,3
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2014,2014,4809ecb0-abd3-451d-9c4a-92a90b83ca06,1,2,0,0,27,0,12,42,3
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2014,2014,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,0,0,0,0,16,0,11,27,0
97354895-8c77-4fd4-a860-32e62ea7382a 2014,2014,97354895-8c77-4fd4-a860-32e62ea7382a,2,0,0,2,34,1,13,52,3
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2014,2014,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,0,1,0,0,20,0,19,40,1
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2014,2014,d5a2eb42-8065-4174-ab79-0a6fa820e35e,1,2,0,0,12,0,17,32,3
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2014,2014,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,0,1,1,1,27,0,16,46,2
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2014,2014,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,1,4,0,0,33,1,10,49,6
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2014,2014,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,1,1,0,0,42,0,9,53,2
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2014,2014,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,2,1,0,0,15,0,9,27,3
82d2d380-3834-4938-835f-aec541e5ece7 2014,2014,82d2d380-3834-4938-835f-aec541e5ece7,1,4,0,1,22,0,12,40,5
d26a1ca5-722d-4274-8f97-c92e49c96315 2014,2014,d26a1ca5-722d-4274-8f97-c92e49c96315,1,1,0,0,20,0,6,28,2
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2014,2014,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,1,2,0,0,40,0,15,58,3
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2014,2014,6680d28d-d4d2-49f6-aace-5292d3ec02c2,1,1,1,0,18,1,18,40,4
1c1cec48-6352-4556-b789-35304c1a6ae1 2014,2014,1c1cec48-6352-4556-b789-35304c1a6ae1,1,0,0,1,22,0,4,28,1
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2014,2014,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,1,2,0,0,37,0,16,56,3
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2014,2014,386bdbf9-9eea-4869-bb9a-274b0bc66e80,2,2,2,3,27,2,16,54,8
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2014,2014,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,1,0,0,0,30,0,13,44,1
22052ff7-c065-42ee-bc8f-c4691c50e624 2014,2014,22052ff7-c065-42ee-bc8f-c4691c50e624,0,0,0,0,18,0,15,33,0
7b112545-38e6-483c-a55c-96cf6ee49cb8 2014,2014,7b112545-38e6-483c-a55c-96cf6ee49cb8,0,1,1,0,30,0,8,40,2
c5a59daa-53a7-4de0-851f-fb12be893e9e 2014,2014,c5a59daa-53a7-4de0-851f-fb12be893e9e,1,1,0,0,22,0,11,35,2
a20471b4-a8d9-40c7-95ad-90cc30e46932 2014,2014,a20471b4-a8d9-40c7-95ad-90cc30e46932,1,3,0,0,38,2,14,58,6
33405046-04ee-4058-a950-d606f8c30852 2014,2014,33405046-04ee-4058-a950-d606f8c30852,2,2,0,2,17,0,12,35,4
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2014,2014,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,0,3,0,0,21,0,7,31,3
e6aa13a4-0055-48a9-bc41-be28dc106929 2014,2014,e6aa13a4-0055-48a9-bc41-be28dc106929,1,1,0,0,28,1,11,42,3
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2014,2014,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,0,2,0,0,23,1,10,36,3
0d855753-ea21-4953-89f9-0e20aff9eb73 2014,2014,0d855753-ea21-4953-89f9-0e20aff9eb73,0,0,0,0,33,0,16,49,0
f0e724b0-4cbf-495a-be47-013907608da9 2014,2014,f0e724b0-4cbf-495a-be47-013907608da9,1,2,0,0,20,0,10,33,3
de760528-1dc0-416a-a978-b510d20692ff 2014,2014,de760528-1dc0-416a-a978-b510d20692ff,1,3,0,0,21,1,6,32,5
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2014,2014,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,0,2,0,1,20,0,20,43,2
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2015,2015,768c92aa-75ff-4a43-bcc0-f2798c2e1724,1,2,0,0,23,0,19,45,3
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2015,2015,4809ecb0-abd3-451d-9c4a-92a90b83ca06,0,3,0,0,24,1,11,39,4
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2015,2015,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,0,0,0,0,33,0,11,44,0
97354895-8c77-4fd4-a860-32e62ea7382a 2015,2015,97354895-8c77-4fd4-a860-32e62ea7382a,2,0,0,0,36,0,14,52,2
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2015,2015,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,0,1,0,0,31,0,18,50,1
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2015,2015,d5a2eb42-8065-4174-ab79-0a6fa820e35e,0,2,0,0,20,1,5,28,3
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2015,2015,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,1,1,0,1,21,1,8,33,3
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2015,2015,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,0,2,0,0,26,1,16,45,3
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2015,2015,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,1,4,0,0,26,0,6,37,5
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2015,2015,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,2,1,0,0,35,1,5,44,4
82d2d380-3834-4938-835f-aec541e5ece7 2015,2015,82d2d380-3834-4938-835f-aec541e5ece7,1,2,0,0,29,0,7,39,3
d26a1ca5-722d-4274-8f97-c92e49c96315 2015,2015,d26a1ca5-722d-4274-8f97-c92e49c96315,1,1,0,0,25,0,10,37,2
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2015,2015,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,1,4,0,0,19,1,13,38,6
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2015,2015,6680d28d-d4d2-49f6-aace-5292d3ec02c2,2,4,0,0,20,0,19,45,6
1c1cec48-6352-4556-b789-35304c1a6ae1 2015,2015,1c1cec48-6352-4556-b789-35304c1a6ae1,0,1,0,0,34,0,7,42,1
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2015,2015,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,0,1,0,1,16,0,8,26,1
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2015,2015,386bdbf9-9eea-4869-bb9a-274b0bc66e80,1,3,0,1,23,2,15,45,6
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2015,2015,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,2,2,1,0,36,1,5,47,6
