Key,Rush Attempts,Rush Avg Yards,Rush Broken Tackles,Rush Kneel Downs,Rush Longest,Rush Longest TD,Rush Red Zone Attempts,Rush Scrambles,Rush Tackles for Loss,Rush Tackles for Loss Yards,Rush Touchdowns,Rush Yards,Rush Yards After Contact
a20471b4-a8d9-40c7-95ad-90cc30e46932 2018,333,5.006,14,6,67,33,19,38,31,-68,14,1667,578
33405046-04ee-4058-a950-d606f8c30852 2018,357,4.1819999999999995,22,9,70,38,18,17,39,-79,9,1493,643
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2018,389,3.915,24,10,28,14,26,59,38,-100,11,1523,674
e6aa13a4-0055-48a9-bc41-be28dc106929 2018,351,4.481,20,7,65,43,19,18,53,-138,11,1573,567
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2018,416,5.135,26,14,59,33,34,32,24,-55,17,2136,905
0d855753-ea21-4953-89f9-0e20aff9eb73 2018,471,4.2989999999999995,53,25,49,49,61,9,28,-60,26,2025,1079
f0e724b0-4cbf-495a-be47-013907608da9 2018,423,4.496,30,12,66,66,31,17,50,-116,7,1902,869
de760528-1dc0-416a-a978-b510d20692ff 2018,355,3.78,13,8,53,8,16,15,32,-72,9,1342,585
2eff2a03-54d4-46ba-890e-2bc3925548f3 2018,459,4.861000000000001,29,22,56,17,44,18,38,-92,23,2231,1034
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2018,534,4.794,42,16,61,20,29,30,36,-64,15,2560,1032
