Key,Int Ret Avg Yds,Int Ret Longest,Int Ret Longest TD,Int Ret Returns,Int Ret Touchdowns,Int Ret Yds
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2014,13.333,55,55,6,1,80
82d2d380-3834-4938-835f-aec541e5ece7 2014,24.15,80,80,20,4,483
d26a1ca5-722d-4274-8f97-c92e49c96315 2014,10.167,34,23,12,1,122
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2014,11.833,38,33,18,2,213
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2014,15.833,39,39,6,1,95
1c1cec48-6352-4556-b789-35304c1a6ae1 2014,8.443999999999999,30,0,9,0,76
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2014,12.667,58,58,18,2,228
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2014,12.083,53,53,12,2,145
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2014,13.882,39,0,17,0,236
22052ff7-c065-42ee-bc8f-c4691c50e624 2014,5.428999999999999,14,0,7,0,38
7b112545-38e6-483c-a55c-96cf6ee49cb8 2014,10.071,45,45,14,1,141
c5a59daa-53a7-4de0-851f-fb12be893e9e 2014,19.4,70,41,20,1,388
a20471b4-a8d9-40c7-95ad-90cc30e46932 2014,22.0,82,82,18,3,396
33405046-04ee-4058-a950-d606f8c30852 2014,15.462,81,81,13,2,201
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2014,11.071,33,33,14,3,155
e6aa13a4-0055-48a9-bc41-be28dc106929 2014,7.063,23,23,16,1,113
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2014,25.0,84,84,14,2,350
0d855753-ea21-4953-89f9-0e20aff9eb73 2014,10.0,45,0,12,0,120
f0e724b0-4cbf-495a-be47-013907608da9 2014,13.696,73,49,23,2,315
de760528-1dc0-416a-a978-b510d20692ff 2014,17.833,88,88,18,3,321
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2014,24.538,53,49,13,2,319
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2015,14.882,44,44,17,2,253
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2015,14.154000000000002,42,30,13,3,184
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2015,10.610999999999999,31,0,18,0,191
97354895-8c77-4fd4-a860-32e62ea7382a 2015,14.667,51,0,12,0,176
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2015,9.619,37,19,21,1,202
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2015,19.090999999999998,52,52,11,2,210
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2015,8.5,25,24,6,1,51
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2015,16.588,70,70,17,2,282
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2015,11.529000000000002,69,69,17,4,196
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2015,13.333,48,26,9,1,120
82d2d380-3834-4938-835f-aec541e5ece7 2015,12.857000000000001,50,31,14,2,180
d26a1ca5-722d-4274-8f97-c92e49c96315 2015,14.909,45,26,11,1,164
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2015,22.929000000000002,74,74,14,4,321
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2015,21.682,90,90,22,4,477
1c1cec48-6352-4556-b789-35304c1a6ae1 2015,5.2139999999999995,27,24,14,1,73
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2015,7.75,24,12,8,1,62
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2015,18.667,99,99,15,3,280
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2015,13.732999999999999,63,63,15,2,206
22052ff7-c065-42ee-bc8f-c4691c50e624 2015,16.455,44,35,11,1,181
7b112545-38e6-483c-a55c-96cf6ee49cb8 2015,12.875,39,0,8,0,103
c5a59daa-53a7-4de0-851f-fb12be893e9e 2015,11.444,31,31,9,1,103
a20471b4-a8d9-40c7-95ad-90cc30e46932 2015,12.375,45,45,16,2,198
33405046-04ee-4058-a950-d606f8c30852 2015,16.538,91,91,13,2,215
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2015,8.455,28,20,11,1,93
e6aa13a4-0055-48a9-bc41-be28dc106929 2015,14.667,84,59,15,1,220
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2015,12.542,46,46,24,4,301
0d855753-ea21-4953-89f9-0e20aff9eb73 2015,9.667,24,0,9,0,87
f0e724b0-4cbf-495a-be47-013907608da9 2015,13.889000000000001,45,29,9,1,125
de760528-1dc0-416a-a978-b510d20692ff 2015,13.842,40,39,19,4,263
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2015,14.642999999999999,54,0,14,0,205
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2016,17.25,49,41,12,1,207
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2016,11.625,60,60,16,1,186
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2016,17.625,51,0,8,0,141
97354895-8c77-4fd4-a860-32e62ea7382a 2016,8.385,46,0,13,0,109
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2016,8.118,47,0,17,0,138
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2016,14.6,67,27,10,1,146
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2016,9.889,53,0,18,0,178
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2016,10.231,58,0,13,0,133
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2016,12.5,56,0,8,0,100
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2016,14.857000000000001,35,30,7,1,104
82d2d380-3834-4938-835f-aec541e5ece7 2016,12.0,42,42,11,1,132
d26a1ca5-722d-4274-8f97-c92e49c96315 2016,5.667000000000001,33,0,12,0,68
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2016,26.214000000000002,51,51,14,3,367
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2016,15.056,55,55,18,4,271
1c1cec48-6352-4556-b789-35304c1a6ae1 2016,9.187999999999999,40,6,16,1,147
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2016,8.333,27,0,9,0,75
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2016,12.937999999999999,64,64,16,3,207
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2016,10.235,44,44,17,1,174
22052ff7-c065-42ee-bc8f-c4691c50e624 2016,14.308,79,0,13,0,186
7b112545-38e6-483c-a55c-96cf6ee49cb8 2016,9.125,25,24,8,1,73
c5a59daa-53a7-4de0-851f-fb12be893e9e 2016,9.6,39,39,10,1,96
a20471b4-a8d9-40c7-95ad-90cc30e46932 2016,12.294,44,0,17,0,209
33405046-04ee-4058-a950-d606f8c30852 2016,18.070999999999998,100,100,14,2,253
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2016,13.765,53,38,17,4,234
e6aa13a4-0055-48a9-bc41-be28dc106929 2016,23.25,90,90,12,3,279
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2016,12.0,37,8,17,1,204
0d855753-ea21-4953-89f9-0e20aff9eb73 2016,12.110999999999999,30,0,9,0,109
f0e724b0-4cbf-495a-be47-013907608da9 2016,9.6,39,0,10,0,96
de760528-1dc0-416a-a978-b510d20692ff 2016,18.785999999999998,66,66,14,2,263
2eff2a03-54d4-46ba-890e-2bc3925548f3 2016,7.1,29,0,10,0,71
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2016,6.545,31,0,11,0,72
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2017,15.277999999999999,63,19,18,1,275
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2017,11.0,30,30,9,1,99
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2017,13.727,48,0,11,0,151
97354895-8c77-4fd4-a860-32e62ea7382a 2017,9.5,39,0,12,0,114
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2017,30.818,101,89,11,3,339
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2017,13.857000000000001,56,56,7,1,97
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2017,17.5,63,63,22,3,385
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2017,11.5,41,0,16,0,184
