Key,Converse Defense Attempts,Converse Defense Success,Converse Pass Attempts,Converse Pass Success,Converse Rush Attempts,Converse Rush Success,Converse Turnover Success
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2018,0,0,1,0,1,1,0
1c1cec48-6352-4556-b789-35304c1a6ae1 2018,0,0,1,1,1,0,0
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2018,0,0,1,1,1,1,0
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2018,0,0,2,1,4,4,0
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2018,0,0,5,3,2,1,0
22052ff7-c065-42ee-bc8f-c4691c50e624 2018,0,0,3,2,0,0,0
7b112545-38e6-483c-a55c-96cf6ee49cb8 2018,0,0,5,4,0,0,0
c5a59daa-53a7-4de0-851f-fb12be893e9e 2018,0,0,4,0,1,0,0
a20471b4-a8d9-40c7-95ad-90cc30e46932 2018,0,0,3,2,1,1,0
33405046-04ee-4058-a950-d606f8c30852 2018,0,0,5,3,0,0,0
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2018,0,0,4,1,1,0,0
e6aa13a4-0055-48a9-bc41-be28dc106929 2018,0,0,6,2,0,0,0
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2018,1,1,4,2,1,0,0
0d855753-ea21-4953-89f9-0e20aff9eb73 2018,0,0,2,1,4,3,0
f0e724b0-4cbf-495a-be47-013907608da9 2018,0,0,4,2,2,0,0
de760528-1dc0-416a-a978-b510d20692ff 2018,0,0,2,1,1,1,0
2eff2a03-54d4-46ba-890e-2bc3925548f3 2018,0,0,3,3,4,2,0
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2018,1,0,1,1,0,0,0
