Key,Fumble End Zone Touch Downs,Forced Fumbles,Fumbles,Lost Fumbles,Fumbles Opponent Recovery,Fumbles Opponent Recovery Touchdowns,Fumbles Opponent Recovery Yards,Fumbles Out of Bounds,Fumbles Own Recovery,Fumbles Own Recovery Touchdowns,Fumbles Own Recovery Yards
f0e724b0-4cbf-495a-be47-013907608da9 2013,1,12,20,10,11,3,44,3,7,0,14
de760528-1dc0-416a-a978-b510d20692ff 2013,0,11,22,9,10,1,48,3,10,0,9
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2013,0,17,26,10,11,1,20,4,12,0,-23
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2014,0,14,22,10,11,1,53,4,9,0,-10
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2014,0,13,27,11,11,1,50,3,13,0,-10
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2014,0,9,25,9,7,0,2,5,11,0,-27
97354895-8c77-4fd4-a860-32e62ea7382a 2014,0,15,13,4,9,2,26,0,9,0,-4
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2014,0,7,20,9,6,0,0,3,8,0,-5
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2014,1,15,16,7,8,1,34,0,9,0,-12
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2014,0,16,17,8,11,0,51,2,7,0,-12
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2014,1,12,16,11,10,1,39,0,5,0,-56
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2014,0,21,31,15,14,1,60,2,14,0,-18
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2014,1,19,15,8,14,2,49,0,7,0,-6
82d2d380-3834-4938-835f-aec541e5ece7 2014,0,17,19,9,14,1,132,1,9,0,-35
d26a1ca5-722d-4274-8f97-c92e49c96315 2014,0,5,23,10,4,1,105,1,12,0,-24
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2014,0,15,16,5,7,1,22,0,11,0,-10
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2014,0,13,22,11,7,0,0,4,7,1,-15
1c1cec48-6352-4556-b789-35304c1a6ae1 2014,0,12,28,13,5,1,39,3,12,0,-50
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2014,0,15,22,14,13,1,35,1,7,0,-18
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2014,1,24,25,15,16,2,103,1,9,0,-32
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2014,0,15,21,14,8,1,32,0,7,0,-30
22052ff7-c065-42ee-bc8f-c4691c50e624 2014,0,14,31,13,12,0,19,2,17,0,-3
7b112545-38e6-483c-a55c-96cf6ee49cb8 2014,0,18,19,10,10,0,19,2,7,0,-29
c5a59daa-53a7-4de0-851f-fb12be893e9e 2014,0,11,21,8,7,1,40,1,12,0,-5
a20471b4-a8d9-40c7-95ad-90cc30e46932 2014,0,12,19,7,9,1,51,0,12,0,-16
33405046-04ee-4058-a950-d606f8c30852 2014,0,9,11,2,6,1,27,2,7,1,-29
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2014,0,16,29,13,11,0,14,2,14,0,-29
e6aa13a4-0055-48a9-bc41-be28dc106929 2014,0,13,16,8,12,1,125,0,8,0,-3
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2014,0,22,25,11,12,0,39,0,14,0,-24
0d855753-ea21-4953-89f9-0e20aff9eb73 2014,0,11,22,13,5,0,0,2,7,0,-22
f0e724b0-4cbf-495a-be47-013907608da9 2014,0,10,18,12,6,1,35,0,6,0,-6
de760528-1dc0-416a-a978-b510d20692ff 2014,0,9,16,5,7,1,23,2,9,0,0
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2014,0,18,23,7,10,0,0,1,14,0,-20
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2015,0,9,28,10,8,1,50,3,15,0,-11
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2015,0,8,23,7,3,0,40,4,12,0,-15
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2015,0,15,17,8,12,0,26,3,6,0,-32
97354895-8c77-4fd4-a860-32e62ea7382a 2015,1,22,14,7,9,2,26,1,6,0,0
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2015,0,10,18,8,7,0,46,1,9,0,-54
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2015,0,14,28,18,10,0,47,1,9,0,-4
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2015,0,8,13,7,8,1,41,1,5,0,-22
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2015,0,16,16,7,13,0,3,0,9,0,0
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2015,1,13,19,11,8,1,31,1,7,0,-1
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2015,0,14,25,10,9,2,55,2,13,0,-51
82d2d380-3834-4938-835f-aec541e5ece7 2015,0,12,22,8,11,1,72,0,14,0,0
d26a1ca5-722d-4274-8f97-c92e49c96315 2015,0,11,25,16,8,1,3,0,9,0,-16
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2015,0,22,16,8,13,1,19,0,8,0,-3
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2015,1,13,16,8,7,2,72,1,7,0,-1
1c1cec48-6352-4556-b789-35304c1a6ae1 2015,0,14,27,10,11,0,76,5,12,0,-13
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2015,0,6,18,11,3,0,5,1,7,0,-4
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2015,0,18,26,13,11,1,130,2,11,0,-55
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2015,0,18,23,7,12,2,77,3,13,0,-17
22052ff7-c065-42ee-bc8f-c4691c50e624 2015,0,22,26,11,15,1,30,6,10,0,-4
7b112545-38e6-483c-a55c-96cf6ee49cb8 2015,0,6,20,9,9,0,0,2,9,0,-12
c5a59daa-53a7-4de0-851f-fb12be893e9e 2015,0,17,17,10,9,1,28,2,6,0,-5
a20471b4-a8d9-40c7-95ad-90cc30e46932 2015,0,12,24,9,6,0,21,2,13,1,-16
33405046-04ee-4058-a950-d606f8c30852 2015,0,11,21,8,9,1,83,3,10,0,-2
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2015,0,19,26,13,12,2,97,0,13,0,-19
e6aa13a4-0055-48a9-bc41-be28dc106929 2015,0,12,26,13,8,2,105,1,12,1,-41
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2015,0,22,12,9,15,0,27,0,3,1,47
0d855753-ea21-4953-89f9-0e20aff9eb73 2015,0,18,17,8,13,1,44,0,9,0,0
f0e724b0-4cbf-495a-be47-013907608da9 2015,0,5,21,5,3,0,16,4,12,0,-18
de760528-1dc0-416a-a978-b510d20692ff 2015,0,22,23,11,14,2,52,4,8,0,-7
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2015,0,18,18,8,8,3,58,4,6,0,-36
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2016,0,11,15,5,6,2,89,1,9,0,-26
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2016,0,16,26,8,9,0,2,2,16,0,-6
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2016,0,14,24,9,4,0,0,0,15,1,18
97354895-8c77-4fd4-a860-32e62ea7382a 2016,0,16,27,9,10,0,71,2,16,0,-3
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2016,0,6,20,9,3,0,10,1,10,0,-17
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2016,0,6,26,11,3,0,2,4,11,0,-51
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2016,1,14,19,7,10,1,4,2,11,0,-7
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2016,1,16,16,3,10,1,22,4,9,0,-4
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2016,0,15,16,7,9,1,14,3,7,0,-15
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2016,0,10,23,13,6,0,0,2,8,0,-9
82d2d380-3834-4938-835f-aec541e5ece7 2016,0,7,20,8,6,0,60,2,8,0,-11
d26a1ca5-722d-4274-8f97-c92e49c96315 2016,1,4,17,7,6,1,0,1,9,0,-22
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2016,0,16,24,14,13,1,57,0,10,0,-1
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2016,0,16,18,9,15,1,114,4,6,0,-22
1c1cec48-6352-4556-b789-35304c1a6ae1 2016,0,20,17,7,14,0,2,4,6,0,-17
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2016,0,18,22,9,11,0,1,0,13,0,-10
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2016,0,15,24,6,10,0,29,3,15,0,-43
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2016,0,15,22,11,8,2,60,3,8,0,4
22052ff7-c065-42ee-bc8f-c4691c50e624 2016,0,17,19,9,7,0,7,0,10,0,7
7b112545-38e6-483c-a55c-96cf6ee49cb8 2016,1,11,26,12,3,1,21,1,13,0,-24
c5a59daa-53a7-4de0-851f-fb12be893e9e 2016,0,8,9,5,4,0,0,1,3,0,-2
a20471b4-a8d9-40c7-95ad-90cc30e46932 2016,0,9,21,9,8,0,43,2,10,0,-4
33405046-04ee-4058-a950-d606f8c30852 2016,0,13,20,11,13,2,49,0,9,0,-5
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2016,0,16,19,9,12,0,73,2,8,0,-23
e6aa13a4-0055-48a9-bc41-be28dc106929 2016,0,17,8,4,10,2,36,0,4,0,-5
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2016,0,18,13,10,10,2,59,0,3,0,0
0d855753-ea21-4953-89f9-0e20aff9eb73 2016,0,11,17,9,12,0,6,2,6,0,10
f0e724b0-4cbf-495a-be47-013907608da9 2016,0,15,29,15,10,0,24,3,11,0,-4
de760528-1dc0-416a-a978-b510d20692ff 2016,0,21,27,11,14,1,72,2,14,0,-49
2eff2a03-54d4-46ba-890e-2bc3925548f3 2016,0,12,24,9,8,1,77,3,12,0,0
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2016,0,16,22,6,8,1,75,3,13,0,-21
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2017,0,16,17,6,7,2,124,1,10,0,-13
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2017,0,9,23,8,6,2,52,2,13,0,-20
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2017,0,9,25,12,9,0,20,2,12,0,-8
97354895-8c77-4fd4-a860-32e62ea7382a 2017,0,9,13,4,5,0,0,2,7,0,-24
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2017,0,4,22,11,2,0,0,2,9,0,-4
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2017,0,14,25,13,6,0,11,2,10,0,-27
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2017,0,16,19,4,12,2,82,2,13,1,-17
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2017,0,12,15,5,6,0,5,3,7,0,-30
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2017,0,11,20,6,7,0,32,2,12,0,-21
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2017,1,17,24,10,12,5,263,4,10,0,-6
82d2d380-3834-4938-835f-aec541e5ece7 2017,0,13,25,11,5,2,105,1,13,0,4
d26a1ca5-722d-4274-8f97-c92e49c96315 2017,0,11,10,8,9,1,10,2,1,0,-7
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2017,0,8,26,12,7,2,58,3,11,0,-5
1f6dcffb-9823-43cd-9ff4-e7a8466749b5 2017,0,13,17,4,9,1,50,2,11,1,5
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2017,0,12,14,3,10,3,79,1,10,0,-27
1c1cec48-6352-4556-b789-35304c1a6ae1 2017,0,12,33,14,9,0,1,7,13,0,-9
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2017,0,20,11,9,10,0,25,0,2,0,0
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2017,0,14,25,11,11,4,83,1,14,1,-31
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2017,0,12,20,8,6,0,36,0,12,0,-5
22052ff7-c065-42ee-bc8f-c4691c50e624 2017,0,12,28,14,7,0,12,2,12,0,-56
7b112545-38e6-483c-a55c-96cf6ee49cb8 2017,0,14,24,10,14,1,100,2,13,0,-14
c5a59daa-53a7-4de0-851f-fb12be893e9e 2017,0,16,21,11,13,2,96,1,9,0,-13
a20471b4-a8d9-40c7-95ad-90cc30e46932 2017,0,10,14,7,10,1,126,2,5,0,-6
33405046-04ee-4058-a950-d606f8c30852 2017,0,8,11,6,5,0,0,3,2,0,0
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2017,1,18,27,13,13,3,67,0,14,0,-19
e6aa13a4-0055-48a9-bc41-be28dc106929 2017,0,12,17,6,8,2,25,0,11,1,-10
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2017,0,15,19,6,11,1,64,0,13,0,-17
0d855753-ea21-4953-89f9-0e20aff9eb73 2017,1,17,19,10,5,1,8,0,9,0,-29
f0e724b0-4cbf-495a-be47-013907608da9 2017,0,17,14,8,10,0,45,0,6,0,-10
de760528-1dc0-416a-a978-b510d20692ff 2017,0,17,19,7,6,1,86,1,12,0,-6
2eff2a03-54d4-46ba-890e-2bc3925548f3 2017,0,17,29,14,10,0,11,4,12,0,0
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2017,0,13,18,5,9,1,41,2,11,0,-11
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2018,0,21,23,9,11,0,9,1,13,1,-39
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2018,0,11,17,10,7,0,0,2,5,0,-38
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2018,0,13,24,11,7,0,30,4,9,0,-13
97354895-8c77-4fd4-a860-32e62ea7382a 2018,0,14,11,7,10,1,64,0,4,0,0
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2018,0,10,11,4,6,2,102,0,7,0,-38
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2018,0,18,19,7,14,0,84,4,8,0,0
