Key,Kick Return Yards,Kick Return Avg Yards,Kick Return Fair Catches,Kick Return Longest,Kick Return Returns,Kick Return Touchdowns
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2014,758,21.656999999999996,0,0,35,0
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2014,1065,28.026,0,0,38,0
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2014,1033,24.023000000000003,1,0,43,0
82d2d380-3834-4938-835f-aec541e5ece7 2014,422,21.1,0,0,20,0
d26a1ca5-722d-4274-8f97-c92e49c96315 2014,1121,23.354,0,0,48,0
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2014,802,25.063000000000002,0,0,32,0
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2014,1430,28.039,0,99,51,1
1c1cec48-6352-4556-b789-35304c1a6ae1 2014,1027,21.851,0,0,47,0
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2014,790,23.939,0,0,33,0
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2014,874,27.313000000000002,0,107,32,2
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2014,1025,23.295,0,0,44,0
22052ff7-c065-42ee-bc8f-c4691c50e624 2014,783,21.75,0,0,36,0
7b112545-38e6-483c-a55c-96cf6ee49cb8 2014,1290,23.455,0,101,55,1
c5a59daa-53a7-4de0-851f-fb12be893e9e 2014,612,24.48,0,0,25,0
a20471b4-a8d9-40c7-95ad-90cc30e46932 2014,555,19.137999999999998,1,0,29,0
33405046-04ee-4058-a950-d606f8c30852 2014,1173,21.721999999999998,0,0,54,0
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2014,819,22.75,0,0,36,0
e6aa13a4-0055-48a9-bc41-be28dc106929 2014,1174,23.48,0,0,50,0
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2014,805,21.756999999999998,0,0,37,0
0d855753-ea21-4953-89f9-0e20aff9eb73 2014,543,25.857,0,0,21,0
f0e724b0-4cbf-495a-be47-013907608da9 2014,1104,24.533,0,0,45,0
de760528-1dc0-416a-a978-b510d20692ff 2014,417,18.955,0,0,22,0
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2014,820,21.026,0,0,39,0
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2015,772,18.829,0,0,41,0
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2015,958,22.279,0,0,43,0
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2015,771,20.838,0,0,37,0
97354895-8c77-4fd4-a860-32e62ea7382a 2015,469,18.76,0,0,25,0
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2015,700,20.588,0,0,34,0
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2015,1041,25.39,0,0,41,0
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2015,857,25.206,0,0,34,0
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2015,701,24.171999999999997,0,0,29,0
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2015,1047,24.349,0,0,43,0
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2015,721,23.258000000000003,0,0,31,0
82d2d380-3834-4938-835f-aec541e5ece7 2015,430,23.889,0,0,18,0
d26a1ca5-722d-4274-8f97-c92e49c96315 2015,680,20.605999999999998,0,0,33,0
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2015,588,21.778000000000002,0,0,27,0
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2015,791,22.6,0,0,35,0
1c1cec48-6352-4556-b789-35304c1a6ae1 2015,1268,23.925,0,0,53,0
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2015,704,25.143,0,0,28,0
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2015,565,20.926,0,0,27,0
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2015,971,24.897,0,100,39,1
22052ff7-c065-42ee-bc8f-c4691c50e624 2015,999,24.975,0,101,40,2
7b112545-38e6-483c-a55c-96cf6ee49cb8 2015,892,27.03,0,0,33,0
c5a59daa-53a7-4de0-851f-fb12be893e9e 2015,1220,27.726999999999997,0,0,44,0
a20471b4-a8d9-40c7-95ad-90cc30e46932 2015,881,24.471999999999998,0,0,36,0
33405046-04ee-4058-a950-d606f8c30852 2015,1190,28.333000000000002,0,101,42,2
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2015,506,24.095,0,0,21,0
e6aa13a4-0055-48a9-bc41-be28dc106929 2015,667,25.654,1,0,26,0
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2015,407,18.5,0,0,22,0
0d855753-ea21-4953-89f9-0e20aff9eb73 2015,605,21.607,0,0,28,0
f0e724b0-4cbf-495a-be47-013907608da9 2015,993,23.643,0,0,42,0
de760528-1dc0-416a-a978-b510d20692ff 2015,770,24.063000000000002,2,108,32,1
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2015,868,25.529,0,105,34,1
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2016,829,21.256,0,0,39,0
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2016,879,25.114,0,96,35,1
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2016,941,21.884,0,0,43,0
97354895-8c77-4fd4-a860-32e62ea7382a 2016,542,18.69,0,0,29,0
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2016,1003,25.718000000000004,0,0,39,0
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2016,634,18.647000000000002,0,0,34,0
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2016,636,22.714000000000002,0,0,28,0
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2016,603,21.535999999999998,0,0,28,0
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2016,804,25.125,0,99,32,1
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2016,881,23.811,0,100,37,1
82d2d380-3834-4938-835f-aec541e5ece7 2016,557,18.567,0,0,30,0
d26a1ca5-722d-4274-8f97-c92e49c96315 2016,629,19.061,0,0,33,0
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2016,481,22.905,0,0,21,0
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2016,943,23.575,0,86,40,1
1c1cec48-6352-4556-b789-35304c1a6ae1 2016,534,20.538,0,0,26,0
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2016,492,20.5,0,0,24,0
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2016,956,27.314,0,98,35,2
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2016,739,23.839000000000002,0,0,31,0
22052ff7-c065-42ee-bc8f-c4691c50e624 2016,570,21.111,0,0,27,0
7b112545-38e6-483c-a55c-96cf6ee49cb8 2016,897,21.357,0,0,42,0
c5a59daa-53a7-4de0-851f-fb12be893e9e 2016,793,22.656999999999996,0,0,35,0
a20471b4-a8d9-40c7-95ad-90cc30e46932 2016,631,19.719,0,0,32,0
33405046-04ee-4058-a950-d606f8c30852 2016,902,27.333000000000002,0,104,33,1
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2016,307,14.619000000000002,0,0,21,0
e6aa13a4-0055-48a9-bc41-be28dc106929 2016,484,21.043000000000003,0,0,23,0
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2016,828,22.378,0,0,37,0
0d855753-ea21-4953-89f9-0e20aff9eb73 2016,462,16.5,0,0,28,0
