Key,Extra Pts Attempts,Extra Pts Blocked,Extra Pts Made
0d855753-ea21-4953-89f9-0e20aff9eb73 2014,47,1,46
f0e724b0-4cbf-495a-be47-013907608da9 2014,33,0,33
de760528-1dc0-416a-a978-b510d20692ff 2014,27,0,27
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2014,41,0,41
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2015,40,0,34
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2015,36,0,33
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2015,43,0,42
97354895-8c77-4fd4-a860-32e62ea7382a 2015,52,0,52
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2015,49,1,48
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2015,24,0,22
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2015,29,0,29
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2015,34,0,32
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2015,35,1,32
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2015,39,0,32
82d2d380-3834-4938-835f-aec541e5ece7 2015,36,0,32
d26a1ca5-722d-4274-8f97-c92e49c96315 2015,31,1,29
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2015,36,0,35
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2015,41,0,39
1c1cec48-6352-4556-b789-35304c1a6ae1 2015,39,0,38
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2015,25,0,25
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2015,44,0,42
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2015,45,0,44
22052ff7-c065-42ee-bc8f-c4691c50e624 2015,41,0,40
7b112545-38e6-483c-a55c-96cf6ee49cb8 2015,29,1,28
c5a59daa-53a7-4de0-851f-fb12be893e9e 2015,39,1,36
a20471b4-a8d9-40c7-95ad-90cc30e46932 2015,36,0,36
33405046-04ee-4058-a950-d606f8c30852 2015,37,0,33
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2015,34,0,31
e6aa13a4-0055-48a9-bc41-be28dc106929 2015,34,0,34
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2015,59,1,56
0d855753-ea21-4953-89f9-0e20aff9eb73 2015,46,1,44
f0e724b0-4cbf-495a-be47-013907608da9 2015,21,1,20
de760528-1dc0-416a-a978-b510d20692ff 2015,58,0,53
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2015,44,2,40
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2016,45,1,40
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2016,42,0,41
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2016,26,0,24
97354895-8c77-4fd4-a860-32e62ea7382a 2016,49,0,46
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2016,35,0,29
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2016,25,1,23
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2016,27,0,27
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2016,37,0,37
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2016,44,0,44
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2016,32,0,29
82d2d380-3834-4938-835f-aec541e5ece7 2016,25,1,22
d26a1ca5-722d-4274-8f97-c92e49c96315 2016,41,1,39
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2016,33,1,32
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2016,39,1,36
1c1cec48-6352-4556-b789-35304c1a6ae1 2016,39,1,37
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2016,46,0,46
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2016,31,0,30
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2016,35,0,31
22052ff7-c065-42ee-bc8f-c4691c50e624 2016,39,0,36
7b112545-38e6-483c-a55c-96cf6ee49cb8 2016,32,0,31
c5a59daa-53a7-4de0-851f-fb12be893e9e 2016,33,1,31
a20471b4-a8d9-40c7-95ad-90cc30e46932 2016,47,0,44
33405046-04ee-4058-a950-d606f8c30852 2016,33,1,26
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2016,34,0,32
e6aa13a4-0055-48a9-bc41-be28dc106929 2016,57,0,56
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2016,34,2,31
0d855753-ea21-4953-89f9-0e20aff9eb73 2016,50,1,49
f0e724b0-4cbf-495a-be47-013907608da9 2016,34,0,33
de760528-1dc0-416a-a978-b510d20692ff 2016,47,1,43
2eff2a03-54d4-46ba-890e-2bc3925548f3 2016,23,0,23
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2016,35,5,29
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2017,29,0,29
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2017,29,0,26
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2017,29,0,29
97354895-8c77-4fd4-a860-32e62ea7382a 2017,47,0,45
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2017,34,0,32
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2017,26,0,25
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2017,39,0,39
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2017,39,1,37
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2017,24,0,22
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2017,41,1,37
82d2d380-3834-4938-835f-aec541e5ece7 2017,35,0,32
d26a1ca5-722d-4274-8f97-c92e49c96315 2017,33,1,31
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2017,27,0,27
1f6dcffb-9823-43cd-9ff4-e7a8466749b5 2017,42,1,37
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2017,40,0,40
1c1cec48-6352-4556-b789-35304c1a6ae1 2017,34,0,33
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2017,39,0,36
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2017,44,0,40
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2017,23,2,20
22052ff7-c065-42ee-bc8f-c4691c50e624 2017,39,0,36
7b112545-38e6-483c-a55c-96cf6ee49cb8 2017,28,1,26
c5a59daa-53a7-4de0-851f-fb12be893e9e 2017,41,0,40
a20471b4-a8d9-40c7-95ad-90cc30e46932 2017,35,0,33
33405046-04ee-4058-a950-d606f8c30852 2017,39,2,34
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2017,31,0,28
e6aa13a4-0055-48a9-bc41-be28dc106929 2017,35,0,35
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2017,37,1,34
0d855753-ea21-4953-89f9-0e20aff9eb73 2017,50,2,47
f0e724b0-4cbf-495a-be47-013907608da9 2017,30,1,28
de760528-1dc0-416a-a978-b510d20692ff 2017,26,2,23
2eff2a03-54d4-46ba-890e-2bc3925548f3 2017,51,0,48
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2017,38,0,37
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2018,26,0,25
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2018,36,0,35
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2018,33,0,30
97354895-8c77-4fd4-a860-32e62ea7382a 2018,50,0,49
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2018,41,0,39
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2018,34,0,28
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2018,37,0,36
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2018,49,0,44
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2018,47,0,44
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2018,23,1,22
82d2d380-3834-4938-835f-aec541e5ece7 2018,41,0,39
d26a1ca5-722d-4274-8f97-c92e49c96315 2018,31,1,28
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2018,35,0,35
1f6dcffb-9823-43cd-9ff4-e7a8466749b5 2018,43,0,36
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2018,69,1,65
1c1cec48-6352-4556-b789-35304c1a6ae1 2018,28,1,27
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2018,33,0,32
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2018,35,0,33
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2018,32,0,31
22052ff7-c065-42ee-bc8f-c4691c50e624 2018,26,0,25
7b112545-38e6-483c-a55c-96cf6ee49cb8 2018,45,0,42
c5a59daa-53a7-4de0-851f-fb12be893e9e 2018,30,0,30
a20471b4-a8d9-40c7-95ad-90cc30e46932 2018,36,0,34
33405046-04ee-4058-a950-d606f8c30852 2018,37,0,36
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2018,44,0,40
e6aa13a4-0055-48a9-bc41-be28dc106929 2018,43,0,41
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2018,41,0,37
0d855753-ea21-4953-89f9-0e20aff9eb73 2018,53,0,52
f0e724b0-4cbf-495a-be47-013907608da9 2018,29,0,27
de760528-1dc0-416a-a978-b510d20692ff 2018,24,0,23
2eff2a03-54d4-46ba-890e-2bc3925548f3 2018,53,0,51
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2018,51,0,48
