Key,Rec Air Yards,Rec Avg Yards,Rec Broken Tackles,Rec Catchable Passes,Rec Dropped Passes,Rec Longest,Rec Longest TD,Rec Receptions,Rec Red Zone Targets,Rec Targets,Rec Touchdowns,Rec Yards,Rec Yards After Catch,Rec Yards After Contact
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2012,1625,11.1,0,0,37,68,68,309,5,509,24,3430,1805,0
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2012,2154,11.689,0,0,37,80,80,293,5,500,13,3425,1271,0
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2012,2054,11.684000000000001,0,0,33,66,33,272,4,488,14,3178,1124,0
97354895-8c77-4fd4-a860-32e62ea7382a 2012,2607,12.05,0,0,48,83,83,402,3,634,34,4844,2237,0
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2012,2112,11.364,0,0,28,73,73,335,10,529,28,3807,1695,0
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2012,1768,11.183,0,0,39,71,71,328,7,562,16,3668,1900,0
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2012,2372,11.964,0,0,25,61,61,334,4,556,22,3996,1624,0
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2012,2169,11.333,0,0,30,82,82,354,9,563,27,4012,1843,0
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2012,2718,12.902999999999999,0,0,50,70,70,339,9,618,23,4374,1656,0
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2012,2202,11.421,0,0,50,81,81,328,5,580,20,3746,1544,0
82d2d380-3834-4938-835f-aec541e5ece7 2012,2259,11.429,0,0,34,60,60,354,4,549,22,4046,1787,0
d26a1ca5-722d-4274-8f97-c92e49c96315 2012,2185,11.248,0,0,40,71,71,318,5,537,17,3577,1392,0
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2012,2779,11.619000000000002,0,0,40,71,71,402,14,584,37,4671,1892,0
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2012,1676,10.758,0,0,34,57,33,273,6,466,8,2937,1261,0
1c1cec48-6352-4556-b789-35304c1a6ae1 2012,2265,11.415,0,0,42,64,64,376,6,624,24,4292,2027,0
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2012,3016,11.502,0,0,40,85,85,434,6,650,29,4992,1976,0
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2012,2260,11.104000000000001,0,0,31,77,77,367,9,598,18,4075,1815,0
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2012,2561,12.282,0,0,32,80,80,323,14,535,26,3967,1406,0
22052ff7-c065-42ee-bc8f-c4691c50e624 2012,2023,12.597999999999999,0,0,37,88,88,291,3,434,24,3666,1643,0
7b112545-38e6-483c-a55c-96cf6ee49cb8 2012,2067,11.491,0,0,37,60,60,287,10,484,21,3298,1231,0
