,Player Season,Player ID,Team ID,Kick Off End Zone,Kick Off Inside 20,Kick Off Kick Offs,Kick Off Onside Attempts,Kick Off Onside Successes,Kick Off OOB,Kick Off Ret Yds,Kick Off Squib Kicks,Kick Off Touchbacks,Kick Off Yds
96,2017,40cda44b-2ee3-4ad1-834e-995e30db84d4,768c92aa-75ff-4a43-bcc0-f2798c2e1724,16,7,74,5,1,0,681,7,37,4361
97,2017,4b99ead5-0f79-4899-84a7-075c08890698,4809ecb0-abd3-451d-9c4a-92a90b83ca06,16,12,67,5,4,0,665,0,28,4013
98,2017,0d1171d4-c955-4966-9257-640b569866d1,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,14,7,71,4,1,1,455,1,45,4349
99,2017,a527b7db-0b52-4379-9e4c-2e08c1fe1bed,97354895-8c77-4fd4-a860-32e62ea7382a,20,20,99,1,0,0,1095,2,40,6228
100,2017,c7d8781f-b9f6-4e0f-b0b6-29fce3985f3e,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,9,4,65,0,0,1,782,0,30,4071
101,2017,cd0f4ef0-9914-4125-be4d-804a72350ceb,d5a2eb42-8065-4174-ab79-0a6fa820e35e,4,4,56,4,0,0,452,2,33,3286
102,2017,20a0bad2-d530-4ff4-a2df-5c0a21a1f5db,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,5,12,90,2,0,0,615,1,55,5601
103,2017,441eb531-1ec8-4f65-9174-78bc6adada63,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,19,13,90,0,0,1,906,2,46,5681
104,2017,69bdf41e-3c32-46c1-93b8-e952edf5c61d,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,9,6,57,2,1,1,601,6,22,3322
105,2017,7af4c94b-529b-4403-ab66-2bfed3fcf0c7,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,3,1,35,1,0,1,216,2,26,2117
106,2017,203b60aa-cb94-499c-a4ca-d3c6b94dddc4,82d2d380-3834-4938-835f-aec541e5ece7,11,9,75,1,0,0,542,2,49,4718
107,2017,ecc4f0c1-64e0-46cc-9b58-91c2b215e62a,d26a1ca5-722d-4274-8f97-c92e49c96315,19,9,80,1,0,0,750,0,47,5120
108,2017,6444feb1-f5a4-4b45-9a45-79308a4445fd,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,10,5,71,6,0,0,460,2,45,4191
109,2017,4ceb866c-8eaf-49b5-9043-56228e43a2e5,6680d28d-d4d2-49f6-aace-5292d3ec02c2,8,3,78,0,0,0,318,2,61,5006
110,2017,d96ff17c-841a-4768-8e08-3a4cfcb7f717,6680d28d-d4d2-49f6-aace-5292d3ec02c2,4,3,18,0,0,0,168,3,10,1178
111,2017,be449b4d-799c-4045-8e9e-e8a7fd7c2cc8,1c1cec48-6352-4556-b789-35304c1a6ae1,7,7,64,1,1,0,298,0,48,4058
112,2017,beb64618-614c-49f7-a3aa-c0c75b7839ea,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,9,10,56,0,0,0,519,0,32,3605
113,2017,e017e12b-07a7-4a35-b837-2faa9ffe3ce8,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,5,0,19,0,0,0,190,0,11,1246
114,2017,059e5bb7-1842-4558-9aaf-77c352a21216,386bdbf9-9eea-4869-bb9a-274b0bc66e80,13,8,84,1,1,1,857,2,42,5212
115,2017,596c4000-ede5-45b0-8336-33efeb686d2b,386bdbf9-9eea-4869-bb9a-274b0bc66e80,2,2,6,0,0,0,77,0,2,374
116,2017,8fb2ca06-3d13-4552-98e0-7b913b4ab5b9,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,10,9,62,2,0,2,656,0,26,3759
117,2017,058c99fc-470c-4579-a165-03e043335cc1,22052ff7-c065-42ee-bc8f-c4691c50e624,4,5,40,0,0,0,191,1,29,2574
118,2017,d96ff17c-841a-4768-8e08-3a4cfcb7f717,7b112545-38e6-483c-a55c-96cf6ee49cb8,0,0,2,0,0,0,0,0,2,130
119,2017,e017e12b-07a7-4a35-b837-2faa9ffe3ce8,7b112545-38e6-483c-a55c-96cf6ee49cb8,2,2,17,0,0,0,157,2,7,1016
120,2017,67f5e782-f91c-4536-9818-cf4a0e7e821d,c5a59daa-53a7-4de0-851f-fb12be893e9e,1,5,17,1,0,0,149,0,6,977
121,2017,e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8,a20471b4-a8d9-40c7-95ad-90cc30e46932,9,4,68,2,2,0,665,1,36,4248
122,2017,5514afb6-bd43-49a8-9bf7-b8baaaecdabe,33405046-04ee-4058-a950-d606f8c30852,18,9,88,0,0,0,1009,2,44,5587
123,2017,63f8a401-f308-4463-9d0b-4335b98da682,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,5,2,83,1,0,1,254,0,70,5313
