,Player ID,Season,Rec Air Yards,Team ID,Rec Avg Yards,Rec Broken Tackles,Rec Catchable Passes,Rec Dropped Passes,Rec Longest,Rec Longest TD,Rec Receptions,Rec Red Zone Targets,Rec Targets,Rec Touchdowns,Rec Yards,Rec Yards After Catch,Rec Yards After Contact
33,441e8866-33f1-4820-9fa3-3aa2c7535975,2012,312,d26a1ca5-722d-4274-8f97-c92e49c96315,9.781,0,0,7,38,23,64,1,104,4,626,314,0
34,6e444737-a1e1-4ddd-b963-cd6a9496fde0,2012,883,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,15.255,0,0,10,71,71,94,3,141,10,1434,551,0
35,6ef43c53-53d7-4b0f-ad99-17664d663ae8,2012,1,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,12.6,0,0,0,28,0,5,1,6,0,63,62,0
36,349f647e-bfc3-4d84-af89-b33f8a08e26e,2012,0,6680d28d-d4d2-49f6-aace-5292d3ec02c2,0.0,0,0,0,0,0,0,0,1,0,0,0,0
37,aca06a5e-0e3a-4285-a025-199f8fa0376f,2012,-19,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6.743,0,0,4,22,13,35,0,48,1,236,255,0
38,adadafa1-dc37-486d-8538-7db1e1b5f71e,2012,-5,1c1cec48-6352-4556-b789-35304c1a6ae1,5.5,0,0,0,7,0,2,0,2,0,11,16,0
39,af48c3f0-040b-40f9-95ab-6ebcb4c16cf8,2012,1,1c1cec48-6352-4556-b789-35304c1a6ae1,22.0,0,0,0,22,0,1,0,1,0,22,21,0
40,c456e060-d4d8-46cb-acf4-296edfb4f7bd,2012,375,1c1cec48-6352-4556-b789-35304c1a6ae1,14.78,0,0,6,59,56,41,2,80,5,606,231,0
41,d2cad5f8-b35f-4cf4-9567-57c387ba6225,2012,444,1c1cec48-6352-4556-b789-35304c1a6ae1,14.974,0,0,7,64,64,39,0,75,3,584,140,0
42,5ed2cea8-e0c6-482c-9ee1-548c06612226,2012,112,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,13.059,0,0,1,36,16,17,0,31,1,222,110,0
43,7092bb09-a161-4ab9-8d19-fdcf1a91bb3d,2012,69,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,8.533,0,0,2,20,0,15,1,24,0,128,59,0
44,996974b8-2e0a-47d9-90a7-c3455192d06b,2012,8,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,5.5,0,0,0,7,0,2,0,2,0,11,3,0
45,c43cf6a1-8faa-4f95-aa2a-f1aac3ffe103,2012,49,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,6.875,0,0,0,19,1,8,0,10,1,55,6,0
46,166292fc-629e-4c7b-b7bf-f572ca9eeb43,2012,-100,386bdbf9-9eea-4869-bb9a-274b0bc66e80,6.907,0,0,3,36,15,54,0,67,3,373,473,0
47,3e618eb6-41f2-4f20-ad70-2460f9366f43,2012,477,386bdbf9-9eea-4869-bb9a-274b0bc66e80,15.556,0,0,1,77,77,45,0,88,2,700,223,0
48,b25ba2bd-80bd-4295-9034-cf9242fb207b,2012,-5,386bdbf9-9eea-4869-bb9a-274b0bc66e80,12.0,0,0,0,28,0,2,0,2,0,24,29,0
49,c8232b55-6617-4dd9-a7cf-cf14cd9a29ab,2012,5,386bdbf9-9eea-4869-bb9a-274b0bc66e80,0.0,0,0,0,0,0,0,0,0,0,0,-5,0
50,38f5843a-8318-4eb7-b517-c83d415e77a4,2012,96,22052ff7-c065-42ee-bc8f-c4691c50e624,19.0,0,0,2,37,29,8,0,15,1,152,56,0
51,518c96c5-65bb-4559-8074-9cdb2ca32f99,2012,199,22052ff7-c065-42ee-bc8f-c4691c50e624,12.32,0,0,3,31,17,25,0,37,1,308,109,0
52,8dfb370d-460c-4bfc-9d62-888687248783,2012,0,22052ff7-c065-42ee-bc8f-c4691c50e624,0.0,0,0,0,0,0,0,0,1,0,0,0,0
53,a824d9ff-12a4-4ed2-812d-404b0b4e52f9,2012,324,22052ff7-c065-42ee-bc8f-c4691c50e624,14.386,0,0,5,88,88,44,1,67,4,633,309,0
54,b030b668-0f41-484f-8e94-9fc576b8af63,2012,175,22052ff7-c065-42ee-bc8f-c4691c50e624,21.545,0,0,3,68,68,11,0,19,3,237,62,0
55,bd10efdf-d8e7-4e23-ab1a-1e42fb65131b,2012,12,22052ff7-c065-42ee-bc8f-c4691c50e624,7.0,0,0,1,20,0,11,0,16,0,77,65,0
56,5c529c33-8a1d-413a-b635-880ac86f30c1,2012,302,7b112545-38e6-483c-a55c-96cf6ee49cb8,15.292,0,0,2,55,42,24,0,48,3,367,65,0
57,bbca096b-fd15-498a-86c2-feb44737363f,2012,1161,7b112545-38e6-483c-a55c-96cf6ee49cb8,12.78,0,0,13,56,39,118,6,194,11,1508,347,0
58,ade43b1a-0601-4672-83b6-d246bc066a19,2012,1,c5a59daa-53a7-4de0-851f-fb12be893e9e,3.0,0,0,0,3,0,1,0,1,0,3,2,0
59,0ce48193-e2fa-466e-a986-33f751add206,2012,-6,a20471b4-a8d9-40c7-95ad-90cc30e46932,-1.0,0,0,0,-1,0,1,0,1,0,-1,5,0
60,3283f152-d373-43b3-b88f-f6f261c48e81,2012,499,a20471b4-a8d9-40c7-95ad-90cc30e46932,11.925,0,0,12,39,39,80,0,104,8,954,455,0
61,9f2aebe4-b654-4f0e-a437-ec46f20b6bfe,2012,494,a20471b4-a8d9-40c7-95ad-90cc30e46932,15.204,0,0,8,73,61,49,2,73,7,745,251,0
62,1059e9dc-97df-4643-9116-883a0573d8b1,2012,218,33405046-04ee-4058-a950-d606f8c30852,9.302,0,0,6,29,20,53,1,94,9,493,275,0
63,6a11f09e-268c-4e5a-9b0f-cc0f4bc353c3,2012,201,33405046-04ee-4058-a950-d606f8c30852,14.091,0,0,4,65,8,22,2,36,2,310,109,0
64,ab58c0ac-a747-47e6-9b3c-505e41d2bd3d,2012,31,33405046-04ee-4058-a950-d606f8c30852,5.425,0,0,3,20,2,40,1,51,1,217,186,0
65,cccc9f16-9508-434f-b7a4-9a29cb0cacf9,2012,-1,33405046-04ee-4058-a950-d606f8c30852,9.286,0,0,0,29,0,7,0,9,0,65,66,0
66,5b712aed-201c-43dd-b978-b7b6ef91178e,2012,77,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,10.313,0,0,2,33,1,16,0,28,1,165,88,0
67,5c2a0c83-e18a-43dd-bd65-704771157e42,2012,36,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,9.633,0,0,7,64,64,49,0,70,1,472,436,0
68,f5d20030-d934-45e3-8282-e34c6c83ad84,2012,-5,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,2.0,0,0,0,2,0,1,0,2,0,2,7,0
69,0b3217b9-ba37-4222-95cb-a7a222441e8b,2012,734,e6aa13a4-0055-48a9-bc41-be28dc106929,15.165,0,0,7,80,80,79,2,129,10,1198,464,0
70,91a95850-9514-49d5-b2b0-f8e21156daa0,2012,-35,e6aa13a4-0055-48a9-bc41-be28dc106929,7.585,0,0,2,32,8,53,0,59,1,402,437,0
71,214e55e4-a089-412d-9598-a16495df0d25,2012,2,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,0.0,0,0,0,6,0,0,0,0,0,6,4,0
72,5707d2b0-ea9e-4a5e-8289-9d52197301d9,2012,365,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,15.386,0,0,3,62,43,44,2,76,4,677,312,0
73,587d0a98-7ec5-45a5-adba-8af26e8f256b,2012,597,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,12.217,0,0,4,47,47,69,2,104,5,843,246,0
74,96a1fc85-5af7-49fa-a5ac-ddc06c205ced,2012,-22,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,9.235,0,0,1,30,17,17,0,23,1,157,179,0
75,15b156b5-30cc-4070-b60a-1c09e62c5a9b,2012,2,0d855753-ea21-4953-89f9-0e20aff9eb73,8.893,0,0,10,44,33,75,4,104,7,667,665,0
76,72f5a27a-544f-468a-b10b-89a1fc5d0e9f,2012,-13,0d855753-ea21-4953-89f9-0e20aff9eb73,7.5,0,0,0,13,0,2,0,3,0,15,28,0
77,b4ce3e07-7848-4da2-a33e-4f04ce540ba5,2012,-10,0d855753-ea21-4953-89f9-0e20aff9eb73,8.8,0,0,0,17,0,5,0,8,0,44,54,0
78,f336567d-44a9-4245-8452-1dd485fd70fb,2012,-3,0d855753-ea21-4953-89f9-0e20aff9eb73,4.833,0,0,0,16,0,6,0,10,0,29,32,0
79,fd85786d-3900-4dc0-9b30-334ee30413ed,2012,676,0d855753-ea21-4953-89f9-0e20aff9eb73,11.553,0,0,15,46,29,85,4,135,9,982,306,0
