,Player Season,Player ID,Team ID,Extra Pts Attempts,Extra Pts Blocked,Extra Pts Made
0,2012,a527b7db-0b52-4379-9e4c-2e08c1fe1bed,97354895-8c77-4fd4-a860-32e62ea7382a,66,0,66
1,2012,e017e12b-07a7-4a35-b837-2faa9ffe3ce8,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,35,0,35
2,2012,e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d,d5a2eb42-8065-4174-ab79-0a6fa820e35e,29,0,29
3,2012,20a0bad2-d530-4ff4-a2df-5c0a21a1f5db,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,42,0,42
4,2012,9ecf8040-10f9-4a5c-92da-1b4d77bd6760,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,37,0,37
5,2012,67f5e782-f91c-4536-9818-cf4a0e7e821d,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,55,0,55
6,2012,ecc4f0c1-64e0-46cc-9b58-91c2b215e62a,6680d28d-d4d2-49f6-aace-5292d3ec02c2,17,0,17
7,2012,480277d1-47c9-44df-969e-038a84cd0fea,1c1cec48-6352-4556-b789-35304c1a6ae1,25,0,25
8,2012,beb64618-614c-49f7-a3aa-c0c75b7839ea,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,37,0,37
9,2012,5514afb6-bd43-49a8-9bf7-b8baaaecdabe,22052ff7-c065-42ee-bc8f-c4691c50e624,33,1,33
10,2012,abd73d50-ce60-47f1-b37f-2f9a05b0d7b9,7b112545-38e6-483c-a55c-96cf6ee49cb8,33,0,33
11,2012,e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8,a20471b4-a8d9-40c7-95ad-90cc30e46932,50,0,50
12,2012,218d1644-603e-4da3-9ce1-48ce3927494f,e6aa13a4-0055-48a9-bc41-be28dc106929,44,0,44
13,2012,63f8a401-f308-4463-9d0b-4335b98da682,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,21,0,20
14,2012,40cda44b-2ee3-4ad1-834e-995e30db84d4,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,46,2,46
15,2013,596c4000-ede5-45b0-8336-33efeb686d2b,4809ecb0-abd3-451d-9c4a-92a90b83ca06,33,0,33
16,2013,a527b7db-0b52-4379-9e4c-2e08c1fe1bed,97354895-8c77-4fd4-a860-32e62ea7382a,44,0,44
17,2013,e017e12b-07a7-4a35-b837-2faa9ffe3ce8,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,52,1,52
18,2013,20a0bad2-d530-4ff4-a2df-5c0a21a1f5db,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,26,0,26
