Key,Player Name,Player Team,Season,Position,Games Played,Games Started,Season Age,Rec Receptions,Rec Red Zone Targets,Rec Touchdowns,Rec Yards,Fumbles,Lost Fumbles,Rush Attempts,Rush Avg Yards,Rush Red Zone Attempts,Rush Scrambles,Rush Touchdowns,Rush Yards,Passing Completion Pct,Passing Hurries,Passing Interceptions,Passing Redzone Attempts,Passing Touchdowns,Passing Yards,Field Goal Attempts,Field Goal Longest,Field Goal Made,Field Goal Yards,Extra Pts Attempts,Extra Pts Made
2bb70d56-a79a-4fa1-ae37-99858a3ffd55 2012 97354895-8c77-4fd4-a860-32e62ea7382a,Julian Edelman,Patriots,2012,WR,9,3,26,21.0,0.0,3.0,235.0,1.0,1.0,4.0,11.25,0.0,0.0,0.0,45.0,,,,,,,,,,,,
2bb70d56-a79a-4fa1-ae37-99858a3ffd55 2013 97354895-8c77-4fd4-a860-32e62ea7382a,Julian Edelman,Patriots,2013,WR,16,11,27,105.0,23.0,6.0,1056.0,6.0,0.0,2.0,5.5,0.0,0.0,0.0,11.0,,,,,,,,,,,,
2bb70d56-a79a-4fa1-ae37-99858a3ffd55 2014 97354895-8c77-4fd4-a860-32e62ea7382a,Julian Edelman,Patriots,2014,WR,14,13,28,92.0,20.0,4.0,972.0,3.0,0.0,10.0,9.4,0.0,0.0,0.0,94.0,,,,,,,,,,,,
2bb70d56-a79a-4fa1-ae37-99858a3ffd55 2015 97354895-8c77-4fd4-a860-32e62ea7382a,Julian Edelman,Patriots,2015,WR,9,9,29,61.0,16.0,7.0,692.0,1.0,1.0,3.0,7.667000000000002,0.0,0.0,0.0,23.0,,,,,,,,,,,,
2bb70d56-a79a-4fa1-ae37-99858a3ffd55 2016 97354895-8c77-4fd4-a860-32e62ea7382a,Julian Edelman,Patriots,2016,WR,16,13,30,98.0,7.0,3.0,1106.0,3.0,2.0,12.0,4.75,1.0,0.0,0.0,57.0,,,,,,,,,,,,
2bb70d56-a79a-4fa1-ae37-99858a3ffd55 2018 97354895-8c77-4fd4-a860-32e62ea7382a,Julian Edelman,Patriots,2018,WR,12,12,32,74.0,9.0,6.0,850.0,1.0,0.0,9.0,11.889,0.0,0.0,0.0,107.0,100.0,0.0,0.0,0.0,0.0,43.0,,,,,,
3058b3c8-0fa3-4bd4-9df9-6a56a7b4af88 2012 97354895-8c77-4fd4-a860-32e62ea7382a,Kamar Aiken,Patriots,2012,WR,1,0,23,,,,,,,,,,,,,,,,,,,,,,,,
3058b3c8-0fa3-4bd4-9df9-6a56a7b4af88 2014 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Kamar Aiken,Ravens,2014,WR,16,0,25,24.0,6.0,3.0,267.0,,,,,,,,,,,,,,,,,,,,
3058b3c8-0fa3-4bd4-9df9-6a56a7b4af88 2015 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Kamar Aiken,Ravens,2015,WR,16,14,26,75.0,8.0,5.0,944.0,1.0,1.0,,,,,,,,,,,,,,,,,,
3058b3c8-0fa3-4bd4-9df9-6a56a7b4af88 2016 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Kamar Aiken,Ravens,2016,WR,16,6,27,29.0,3.0,1.0,328.0,0.0,0.0,,,,,,,,,,,,,,,,,,
3058b3c8-0fa3-4bd4-9df9-6a56a7b4af88 2017 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,Kamar Aiken,Colts,2017,WR,15,7,28,15.0,2.0,0.0,133.0,,,,,,,,,,,,,,,,,,,,
3058b3c8-0fa3-4bd4-9df9-6a56a7b4af88 2018 386bdbf9-9eea-4869-bb9a-274b0bc66e80,Kamar Aiken,Eagles,2018,WR,5,1,29,6.0,0.0,0.0,53.0,,,,,,,,,,,,,,,,,,,,
9d404288-65c5-414f-8ea5-ceb97eccaea0 2012 97354895-8c77-4fd4-a860-32e62ea7382a,Matthew Slater,Patriots,2012,WR,16,0,27,,,,,,,,,,,,,,,,,,,,,,,,
9d404288-65c5-414f-8ea5-ceb97eccaea0 2013 97354895-8c77-4fd4-a860-32e62ea7382a,Matthew Slater,Patriots,2013,WR,12,0,28,,,,,,,,,,,,,,,,,,,,,,,,
9d404288-65c5-414f-8ea5-ceb97eccaea0 2014 97354895-8c77-4fd4-a860-32e62ea7382a,Matthew Slater,Patriots,2014,WR,16,0,29,,,,,,,,,,,,,,,,,,,,,,,,
9d404288-65c5-414f-8ea5-ceb97eccaea0 2015 97354895-8c77-4fd4-a860-32e62ea7382a,Matthew Slater,Patriots,2015,WR,16,0,30,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
9d404288-65c5-414f-8ea5-ceb97eccaea0 2016 97354895-8c77-4fd4-a860-32e62ea7382a,Matthew Slater,Patriots,2016,WR,13,0,31,0.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,
