Key,Player Name,Player Team,Season,Position,Games Played,Games Started,Season Age,Rec Receptions,Rec Red Zone Targets,Rec Touchdowns,Rec Yards,Fumbles,Lost Fumbles,Rush Attempts,Rush Avg Yards,Rush Red Zone Attempts,Rush Scrambles,Rush Touchdowns,Rush Yards,Passing Completion Pct,Passing Hurries,Passing Interceptions,Passing Redzone Attempts,Passing Touchdowns,Passing Yards,Field Goal Attempts,Field Goal Longest,Field Goal Made,Field Goal Yards,Extra Pts Attempts,Extra Pts Made
20a0bad2-d530-4ff4-a2df-5c0a21a1f5db 2013 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Justin Tucker,Ravens,2013,K,16,0,24,,,,,,,,,,,,,,,,,,,41.0,61.0,38.0,1428.0,26.0,26.0
20a0bad2-d530-4ff4-a2df-5c0a21a1f5db 2014 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Justin Tucker,Ravens,2014,K,16,0,25,,,,,,,,,,,,,,,,,,,34.0,55.0,29.0,1006.0,42.0,42.0
20a0bad2-d530-4ff4-a2df-5c0a21a1f5db 2015 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Justin Tucker,Ravens,2015,K,16,0,26,,,,,,,,,,,,,,,,,,,40.0,52.0,33.0,1213.0,29.0,29.0
20a0bad2-d530-4ff4-a2df-5c0a21a1f5db 2016 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Justin Tucker,Ravens,2016,K,16,0,27,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,39.0,57.0,38.0,1601.0,27.0,27.0
20a0bad2-d530-4ff4-a2df-5c0a21a1f5db 2017 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Justin Tucker,Ravens,2017,K,16,0,28,,,,,,,,,,,,,,,,,,,37.0,57.0,34.0,1317.0,39.0,39.0
20a0bad2-d530-4ff4-a2df-5c0a21a1f5db 2018 ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Justin Tucker,Ravens,2018,K,16,0,29,,,,,,,,,,,,,,,,,,,39.0,56.0,35.0,1288.0,37.0,36.0
9ecf8040-10f9-4a5c-92da-1b4d77bd6760 2012 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,Adam Vinatieri,Colts,2012,K,16,0,40,,,,,,,,,,,,,,,,,,,33.0,53.0,26.0,961.0,37.0,37.0
9ecf8040-10f9-4a5c-92da-1b4d77bd6760 2013 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,Adam Vinatieri,Colts,2013,K,15,0,41,,,,,,,,,,,,,,,,,,,40.0,52.0,35.0,1365.0,34.0,34.0
9ecf8040-10f9-4a5c-92da-1b4d77bd6760 2014 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,Adam Vinatieri,Colts,2014,K,16,0,42,,,,,,,,,,,,,,,,,,,31.0,53.0,30.0,1049.0,50.0,50.0
9ecf8040-10f9-4a5c-92da-1b4d77bd6760 2015 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,Adam Vinatieri,Colts,2015,K,16,0,43,,,,,,,,,,,,,,,,,,,27.0,55.0,25.0,961.0,34.0,32.0
9ecf8040-10f9-4a5c-92da-1b4d77bd6760 2016 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,Adam Vinatieri,Colts,2016,K,16,0,44,,,,,,,,,,,,,,,,,,,31.0,54.0,27.0,1141.0,44.0,44.0
9ecf8040-10f9-4a5c-92da-1b4d77bd6760 2017 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,Adam Vinatieri,Colts,2017,K,15,0,45,,,,,,,,,,,,,,,,,,,34.0,54.0,29.0,1058.0,24.0,22.0
9ecf8040-10f9-4a5c-92da-1b4d77bd6760 2018 82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,Adam Vinatieri,Colts,2018,K,16,0,46,,,,,,,,,,,,,,,,,,,27.0,54.0,23.0,825.0,47.0,44.0
67f5e782-f91c-4536-9818-cf4a0e7e821d 2012 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,Matt Prater,Broncos,2012,K,16,0,28,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,32.0,53.0,26.0,889.0,55.0,55.0
67f5e782-f91c-4536-9818-cf4a0e7e821d 2013 ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,Matt Prater,Broncos,2013,K,16,0,29,,,,,,,,,,,,,,,,,,,26.0,64.0,25.0,987.0,75.0,75.0
67f5e782-f91c-4536-9818-cf4a0e7e821d 2014 c5a59daa-53a7-4de0-851f-fb12be893e9e,Matt Prater,Lions,2014,K,11,0,30,,,,,,,,,,,,,,,,,,,26.0,52.0,21.0,750.0,21.0,21.0
67f5e782-f91c-4536-9818-cf4a0e7e821d 2015 c5a59daa-53a7-4de0-851f-fb12be893e9e,Matt Prater,Lions,2015,K,16,0,31,,,,,,,,,,,,,,,,,,,24.0,59.0,22.0,892.0,38.0,36.0
67f5e782-f91c-4536-9818-cf4a0e7e821d 2016 c5a59daa-53a7-4de0-851f-fb12be893e9e,Matt Prater,Lions,2016,K,16,0,32,,,,,,,,,,,,,,,,,,,36.0,58.0,31.0,1219.0,33.0,31.0
67f5e782-f91c-4536-9818-cf4a0e7e821d 2017 c5a59daa-53a7-4de0-851f-fb12be893e9e,Matt Prater,Lions,2017,K,16,0,33,,,,,,,,,,,,,,,,,,,35.0,58.0,30.0,1166.0,41.0,40.0
67f5e782-f91c-4536-9818-cf4a0e7e821d 2018 c5a59daa-53a7-4de0-851f-fb12be893e9e,Matt Prater,Lions,2018,K,16,0,34,,,,,,,,,,,,,100.0,0.0,0.0,1.0,1.0,8.0,32.0,54.0,28.0,1007.0,30.0,30.0
ecc4f0c1-64e0-46cc-9b58-91c2b215e62a 2012 6680d28d-d4d2-49f6-aace-5292d3ec02c2,Ryan Succop,Chiefs,2012,K,16,0,26,,,,,,,,,,,,,,,,,,,34.0,52.0,28.0,1052.0,17.0,17.0
ecc4f0c1-64e0-46cc-9b58-91c2b215e62a 2013 6680d28d-d4d2-49f6-aace-5292d3ec02c2,Ryan Succop,Chiefs,2013,K,16,0,27,,,,,,,,,,,,,,,,,,,28.0,51.0,22.0,764.0,52.0,52.0
ecc4f0c1-64e0-46cc-9b58-91c2b215e62a 2014 d26a1ca5-722d-4274-8f97-c92e49c96315,Ryan Succop,Titans,2014,K,16,0,28,,,,,,,,,,,,,,,,,,,22.0,51.0,19.0,670.0,27.0,27.0
ecc4f0c1-64e0-46cc-9b58-91c2b215e62a 2015 d26a1ca5-722d-4274-8f97-c92e49c96315,Ryan Succop,Titans,2015,K,16,0,29,,,,,,,,,,,,,,,,,,,16.0,51.0,14.0,556.0,30.0,29.0
ecc4f0c1-64e0-46cc-9b58-91c2b215e62a 2016 d26a1ca5-722d-4274-8f97-c92e49c96315,Ryan Succop,Titans,2016,K,16,0,30,,,,,,,,,,,,,,,,,,,24.0,53.0,22.0,835.0,41.0,39.0
ecc4f0c1-64e0-46cc-9b58-91c2b215e62a 2017 d26a1ca5-722d-4274-8f97-c92e49c96315,Ryan Succop,Titans,2017,K,16,0,31,,,,,,,,,,,,,,,,,,,42.0,52.0,35.0,1311.0,33.0,31.0
ecc4f0c1-64e0-46cc-9b58-91c2b215e62a 2018 d26a1ca5-722d-4274-8f97-c92e49c96315,Ryan Succop,Titans,2018,K,16,0,32,,,,,,,,,,,,,,,,,,,30.0,54.0,26.0,942.0,31.0,28.0
480277d1-47c9-44df-969e-038a84cd0fea 2012 1c1cec48-6352-4556-b789-35304c1a6ae1,Sebastian Janikowski,Raiders,2012,K,16,0,34,,,,,,,,,,,,,,,,,,,34.0,57.0,31.0,1094.0,25.0,25.0
480277d1-47c9-44df-969e-038a84cd0fea 2013 1c1cec48-6352-4556-b789-35304c1a6ae1,Sebastian Janikowski,Raiders,2013,K,16,0,35,,,,,,,,,,,,,,,,,,,30.0,53.0,21.0,791.0,37.0,37.0
480277d1-47c9-44df-969e-038a84cd0fea 2014 1c1cec48-6352-4556-b789-35304c1a6ae1,Sebastian Janikowski,Raiders,2014,K,16,0,36,,,,,,,,,,,,,,,,,,,22.0,57.0,19.0,806.0,28.0,28.0
480277d1-47c9-44df-969e-038a84cd0fea 2015 1c1cec48-6352-4556-b789-35304c1a6ae1,Sebastian Janikowski,Raiders,2015,K,16,0,37,,,,,,,,,,,,,,,,,,,26.0,56.0,21.0,777.0,39.0,38.0
480277d1-47c9-44df-969e-038a84cd0fea 2016 1c1cec48-6352-4556-b789-35304c1a6ae1,Sebastian Janikowski,Raiders,2016,K,16,0,38,,,,,,,,,,,,,,,,,,,35.0,56.0,29.0,1039.0,39.0,37.0
480277d1-47c9-44df-969e-038a84cd0fea 2018 3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,Sebastian Janikowski,Seahawks,2018,K,16,0,40,,,,,,,,,,,,,,,,,,,27.0,56.0,22.0,868.0,51.0,48.0
beb64618-614c-49f7-a3aa-c0c75b7839ea 2012 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,Dan Bailey,Cowboys,2012,K,16,0,24,,,,,,,,,,,,,,,,,,,31.0,51.0,29.0,1051.0,37.0,37.0
beb64618-614c-49f7-a3aa-c0c75b7839ea 2013 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,Dan Bailey,Cowboys,2013,K,16,0,25,,,,,,,,,,,,,,,,,,,30.0,53.0,28.0,1112.0,47.0,47.0
beb64618-614c-49f7-a3aa-c0c75b7839ea 2014 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,Dan Bailey,Cowboys,2014,K,16,0,26,,,,,,,,,,,,,,,,,,,29.0,56.0,25.0,995.0,56.0,56.0
beb64618-614c-49f7-a3aa-c0c75b7839ea 2015 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,Dan Bailey,Cowboys,2015,K,16,0,27,,,,,,,,,,,,,,,,,,,32.0,54.0,30.0,1076.0,25.0,25.0
beb64618-614c-49f7-a3aa-c0c75b7839ea 2016 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,Dan Bailey,Cowboys,2016,K,16,0,28,,,,,,,,,,,,,,,,,,,32.0,56.0,27.0,972.0,46.0,46.0
beb64618-614c-49f7-a3aa-c0c75b7839ea 2017 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,Dan Bailey,Cowboys,2017,K,12,0,29,,,,,,,,,,,,,,,,,,,20.0,56.0,15.0,564.0,28.0,26.0
beb64618-614c-49f7-a3aa-c0c75b7839ea 2018 33405046-04ee-4058-a950-d606f8c30852,Dan Bailey,Vikings,2018,K,14,0,30,,,,,,,,,,,,,,,,,,,28.0,52.0,21.0,758.0,31.0,30.0
5514afb6-bd43-49a8-9bf7-b8baaaecdabe 2012 22052ff7-c065-42ee-bc8f-c4691c50e624,Kai Forbath,Redskins,2012,K,11,0,25,,,,,,,,,,,,,,,,,,,18.0,50.0,17.0,691.0,33.0,33.0
5514afb6-bd43-49a8-9bf7-b8baaaecdabe 2013 22052ff7-c065-42ee-bc8f-c4691c50e624,Kai Forbath,Redskins,2013,K,13,0,26,,,,,,,,,,,,,,,,,,,22.0,50.0,18.0,639.0,26.0,26.0
5514afb6-bd43-49a8-9bf7-b8baaaecdabe 2014 22052ff7-c065-42ee-bc8f-c4691c50e624,Kai Forbath,Redskins,2014,K,16,0,27,,,,,,,,,,,,,,,,,,,27.0,49.0,24.0,802.0,31.0,31.0
5514afb6-bd43-49a8-9bf7-b8baaaecdabe 2015 22052ff7-c065-42ee-bc8f-c4691c50e624,Kai Forbath,Redskins,2015,K,1,0,28,,,,,,,,,,,,,,,,,,,2.0,45.0,1.0,45.0,1.0,1.0
5514afb6-bd43-49a8-9bf7-b8baaaecdabe 2015 0d855753-ea21-4953-89f9-0e20aff9eb73,Kai Forbath,Saints,2015,K,10,0,28,,,,,,,,,,,,,,,,,,,13.0,57.0,9.0,335.0,34.0,33.0
5514afb6-bd43-49a8-9bf7-b8baaaecdabe 2016 33405046-04ee-4058-a950-d606f8c30852,Kai Forbath,Vikings,2016,K,7,0,29,,,,,,,,,,,,,,,,,,,15.0,51.0,15.0,515.0,14.0,11.0
5514afb6-bd43-49a8-9bf7-b8baaaecdabe 2017 33405046-04ee-4058-a950-d606f8c30852,Kai Forbath,Vikings,2017,K,16,0,30,,,,,,,,,,,,,,,,,,,38.0,53.0,32.0,1184.0,39.0,34.0
5514afb6-bd43-49a8-9bf7-b8baaaecdabe 2018 f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,Kai Forbath,Jaguars,2018,K,3,0,31,,,,,,,,,,,,,,,,,,,5.0,41.0,4.0,125.0,3.0,3.0
abd73d50-ce60-47f1-b37f-2f9a05b0d7b9 2012 7b112545-38e6-483c-a55c-96cf6ee49cb8,Robbie Gould,Bears,2012,K,13,0,30,,,,,,,,,,,,,,,,,,,25.0,54.0,21.0,748.0,33.0,33.0
abd73d50-ce60-47f1-b37f-2f9a05b0d7b9 2013 7b112545-38e6-483c-a55c-96cf6ee49cb8,Robbie Gould,Bears,2013,K,16,0,31,,,,,,,,,,,,,,,,,,,29.0,58.0,26.0,898.0,45.0,45.0
abd73d50-ce60-47f1-b37f-2f9a05b0d7b9 2014 7b112545-38e6-483c-a55c-96cf6ee49cb8,Robbie Gould,Bears,2014,K,12,0,32,,,,,,,,,,,,,,,,,,,12.0,45.0,9.0,303.0,28.0,28.0
abd73d50-ce60-47f1-b37f-2f9a05b0d7b9 2015 7b112545-38e6-483c-a55c-96cf6ee49cb8,Robbie Gould,Bears,2015,K,16,0,33,,,,,,,,,,,,,,,,,,,39.0,55.0,33.0,1253.0,28.0,28.0
abd73d50-ce60-47f1-b37f-2f9a05b0d7b9 2016 04aa1c9d-66da-489d-b16a-1dee3f2eec4d,Robbie Gould,Giants,2016,K,10,0,34,,,,,,,,,,,,,,,,,,,10.0,47.0,10.0,363.0,23.0,20.0
abd73d50-ce60-47f1-b37f-2f9a05b0d7b9 2017 f0e724b0-4cbf-495a-be47-013907608da9,Robbie Gould,49ers,2017,K,16,0,35,,,,,,,,,,,,,,,,,,,41.0,52.0,39.0,1537.0,30.0,28.0
abd73d50-ce60-47f1-b37f-2f9a05b0d7b9 2018 f0e724b0-4cbf-495a-be47-013907608da9,Robbie Gould,49ers,2018,K,16,0,36,,,,,,,,,,,,,,,,,,,34.0,53.0,33.0,1157.0,29.0,27.0
e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8 2012 a20471b4-a8d9-40c7-95ad-90cc30e46932,Mason Crosby,Packers,2012,K,16,0,28,,,,,,,,,,,,,,,,,,,33.0,54.0,21.0,812.0,50.0,50.0
e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8 2013 a20471b4-a8d9-40c7-95ad-90cc30e46932,Mason Crosby,Packers,2013,K,16,0,29,,,,,,,,,,,,,,,,,,,37.0,57.0,33.0,1121.0,42.0,42.0
e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8 2014 a20471b4-a8d9-40c7-95ad-90cc30e46932,Mason Crosby,Packers,2014,K,16,0,30,,,,,,,,,,,,,,,,,,,33.0,55.0,27.0,974.0,53.0,53.0
e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8 2015 a20471b4-a8d9-40c7-95ad-90cc30e46932,Mason Crosby,Packers,2015,K,16,0,31,,,,,0.0,0.0,,,,,,,,,,,,,28.0,56.0,24.0,879.0,36.0,36.0
e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8 2016 a20471b4-a8d9-40c7-95ad-90cc30e46932,Mason Crosby,Packers,2016,K,16,0,32,,,,,,,,,,,,,,,,,,,30.0,53.0,26.0,896.0,47.0,44.0
e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8 2017 a20471b4-a8d9-40c7-95ad-90cc30e46932,Mason Crosby,Packers,2017,K,16,0,33,,,,,,,,,,,,,,,,,,,19.0,50.0,15.0,494.0,35.0,33.0
e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8 2018 a20471b4-a8d9-40c7-95ad-90cc30e46932,Mason Crosby,Packers,2018,K,16,0,34,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,37.0,53.0,30.0,1205.0,36.0,34.0
218d1644-603e-4da3-9ce1-48ce3927494f 2012 e6aa13a4-0055-48a9-bc41-be28dc106929,Matt Bryant,Falcons,2012,K,16,0,37,,,,,,,,,,,,,,,,,,,38.0,55.0,33.0,1198.0,44.0,44.0
218d1644-603e-4da3-9ce1-48ce3927494f 2013 e6aa13a4-0055-48a9-bc41-be28dc106929,Matt Bryant,Falcons,2013,K,16,0,38,,,,,,,,,,,,,,,,,,,27.0,53.0,24.0,845.0,39.0,39.0
218d1644-603e-4da3-9ce1-48ce3927494f 2014 e6aa13a4-0055-48a9-bc41-be28dc106929,Matt Bryant,Falcons,2014,K,16,0,39,,,,,,,,,,,,,,,,,,,32.0,54.0,29.0,1075.0,40.0,40.0
218d1644-603e-4da3-9ce1-48ce3927494f 2015 e6aa13a4-0055-48a9-bc41-be28dc106929,Matt Bryant,Falcons,2015,K,10,0,40,,,,,,,,,,,,,,,,,,,18.0,47.0,14.0,486.0,26.0,26.0
