Player Name,Avg Passing Average Yards,Avg Passing Blitz,Avg Passing Completion Percent,Avg Passing Completions,Avg Passing Defended Passes,Avg Passing Dropped Passes,Avg Passing Gross Yards,Avg Passing Hurries,Avg Passing Interceptions,Avg Passing Knockdowns,Avg Passing Longest,Avg Passing Longest TD,Avg Passing Net Yds,Avg Passing Pocket Time,Avg Passing Rating,Avg Passing Redzone Attempts,Avg Passing Sack Yds,Avg Passing Sacks,Avg Passing Spikes,Avg Passing Throw Away,Avg Passing Touchdowns,Avg Passing Yards
AJ McCarron,4.852333333333333,13.666666666666666,49.906666666666666,29.0,3.3333333333333335,2.3333333333333335,309.3333333333333,13.333333333333334,0.6666666666666666,4.333333333333333,33.666666666666664,22.0,283.0,115.81766666666668,67.63333333333334,3.3333333333333335,26.333333333333332,4.666666666666667,0.0,4.333333333333333,2.0,309.3333333333333
Aaron Rodgers,7.624142857142857,133.42857142857142,64.67985714285714,311.2857142857143,24.142857142857142,27.428571428571427,3654.0,52.42857142857143,6.0,21.571428571428573,73.42857142857143,67.71428571428571,3416.1428571428573,764.3805714285714,102.4,48.57142857142857,237.85714285714286,36.0,0.8571428571428571,23.428571428571427,29.428571428571427,3654.0
Alex Smith,7.250857142857143,128.71428571428572,65.50500000000001,277.85714285714283,21.285714285714285,25.285714285714285,3075.0,37.285714285714285,6.142857142857143,17.0,69.57142857142857,67.57142857142857,2449.0,614.4514285714284,94.8,37.0,182.71428571428572,34.0,0.5714285714285714,16.0,17.857142857142858,3075.0
Alex Tanney,7.0710000000000015,12.0,71.429,10.0,2.0,1.0,99.0,5.0,0.0,0.0,29.0,5.0,65.0,32.808,114.9,2.0,34.0,3.0,0.0,0.0,1.0,99.0
Andrew Luck,7.133,178.16666666666666,60.33316666666667,333.3333333333333,33.333333333333336,34.0,3945.1666666666665,36.166666666666664,13.833333333333334,28.333333333333332,73.66666666666667,73.5,3069.8333333333335,627.8460000000002,88.33333333333333,43.166666666666664,187.33333333333334,29.0,1.1666666666666667,11.166666666666666,28.5,3945.1666666666665
Andy Dalton,7.279142857142858,156.85714285714286,63.001428571428576,306.14285714285717,32.42857142857143,24.857142857142858,3528.8571428571427,38.285714285714285,13.0,10.857142857142858,73.42857142857143,72.0,3339.0,618.316,90.57142857142857,37.42857142857143,189.85714285714286,31.0,0.8571428571428571,18.0,24.0,3528.8571428571427
Austin Davis,5.819,41.0,59.574,56.0,7.0,7.0,547.0,37.0,3.0,8.0,42.0,42.0,451.0,230.441,66.2,12.0,96.0,11.0,0.0,7.0,1.0,547.0
Baker Mayfield,7.665,169.0,63.786,310.0,48.0,31.0,3725.0,84.0,14.0,18.0,71.0,51.0,3552.0,1145.595,93.7,33.0,173.0,25.0,3.0,13.0,27.0,3725.0
Ben Roethlisberger,7.684285714285713,139.42857142857142,65.45142857142858,360.85714285714283,35.285714285714285,27.285714285714285,4230.714285714285,36.714285714285715,12.857142857142858,17.0,82.57142857142857,80.85714285714286,4056.0,766.7304285714287,96.01428571428572,53.142857142857146,174.71428571428572,26.714285714285715,1.5714285714285714,7.857142857142857,28.285714285714285,4230.714285714285
Blaine Gabbert,6.0760000000000005,51.714285714285715,55.130714285714284,90.28571428571429,12.714285714285714,11.857142857142858,978.4285714285714,16.714285714285715,5.142857142857143,5.857142857142857,57.142857142857146,55.285714285714285,889.4285714285714,238.69814285714287,73.54285714285713,7.571428571428571,89.0,14.0,0.0,3.142857142857143,5.142857142857143,978.4285714285714
